Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-11 22:14:06.876,5.1681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,448.64,2.23,0,0
20,2026-03-11 22:14:13.669,11.961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,684.28,1.46,0,0
30,2026-03-11 22:14:19.513,17.8058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,466.2,2.15,0,0
40,2026-03-11 22:14:24.905,23.1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,581.69,1.72,0,0
50,2026-03-11 22:14:30.757,29.0498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,481.19,2.08,0,0
60,2026-03-11 22:14:35.598,33.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,487.19,2.05,0,0
70,2026-03-11 22:14:39.426,37.7187,335.94,237.12,27.88,27.88,0.1614,-1.53,-0.18,9.57,LAB,0,6,0,15.94,-2.88,1483,1500,-17,0.0,0.0,0.0,12.55,79.71,0,1
80,2026-03-11 22:14:41.574,39.866,333.12,239.03,32.23,32.23,0.7104,-0.19,1.69,2.39,YOLO,0,16,0,13.12,-0.97,1483,1500,-17,0.0,0.0,0.0,552.5,1.81,0,1
90,2026-03-11 22:14:42.940,41.2325,332.91,237.71,29.22,29.22,0.1735,0.11,-0.06,0.75,LAB,0,26,0,12.91,-2.29,1483,1500,-17,0.355,-0.082,0.0,4.57,218.7,0,1
100,2026-03-11 22:14:44.523,42.8156,287.84,322.71,30.9,30.9,0.1608,-4.82,20.93,133.58,LAB,0,36,0,-32.16,82.71,1490,1536,-10,0.441,0.166,0.0,6.26,159.78,0,1
110,2026-03-11 22:14:46.193,44.4854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,41,0,0.0,0.0,1416,1599,0.0,0.0,0.0,0.0,84.07,11.89,1,0
120,2026-03-11 22:14:48.218,46.5102,581.45,272.88,86.15,86.15,0.6273,69.96,22.84,117.33,CSRT,0,48,0,261.45,32.88,1245,1631,-255,0.439,-3.655,-2.0,512.79,1.95,1,0
130,2026-03-11 22:14:49.946,48.2386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1215,1643,0.0,0.0,0.0,0.0,433.05,2.31,0,0
140,2026-03-11 22:14:54.775,53.0675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1215,1643,0.0,0.0,0.0,0.0,523.5,1.91,0,0
150,2026-03-11 22:14:58.458,56.7501,222.99,182.98,48.47,48.47,0.1701,22.18,21.03,179.67,LAB,0,6,1,-97.01,-57.02,1342,1565,-158,0.663,-0.953,-1.896,5.99,166.84,0,1
160,2026-03-11 22:15:00.514,58.8064,585.79,274.59,106.9,106.9,0.6321,62.56,-0.82,98.98,LAB,0,15,1,265.79,34.59,1296,1591,-204,0.39,-3.446,-2.0,476.52,2.1,0,1
170,2026-03-11 22:15:01.956,60.2485,73.56,166.79,107.62,107.62,0.16,-37.85,-7.46,241.1,LAB,0,22,1,-246.44,-73.21,1301,1588,-199,0.654,-0.486,-2.0,6.49,154.0,0,3
180,2026-03-11 22:15:03.553,61.8449,354.48,170.75,161.9,161.9,0.1563,13.0,-32.2,222.12,LAB,0,32,1,34.48,-69.25,1386,1533,-114,0.619,-1.422,-1.368,6.79,147.31,0,1
190,2026-03-11 22:15:05.144,63.4368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,40,1,0.0,0.0,1191,1406,0.0,0.0,0.0,0.0,2.45,408.84,0,0
200,2026-03-11 22:15:07.229,65.5212,387.78,192.48,81.29,81.29,0.6054,-29.95,11.96,53.28,CSRT,0,48,1,67.78,-47.52,1030,1252,-470,0.65,-2.777,-2.0,494.88,2.02,1,0
210,2026-03-11 22:15:08.663,66.9558,254.78,268.11,143.95,143.95,0.1672,21.49,-26.19,202.59,LAB,0,58,1,-65.22,28.11,1009,1374,-491,0.333,-1.347,-2.0,13.3,75.18,0,2
220,2026-03-11 22:15:10.246,68.5387,355.15,198.15,129.16,129.16,0.16,-29.3,28.86,256.98,LAB,0,68,1,35.15,-41.85,1038,1348,-462,0.627,-2.424,-2.0,4.2,238.35,0,1
230,2026-03-11 22:15:11.841,70.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,73,1,0.0,0.0,1096,1339,0.0,0.0,0.0,0.0,2.81,356.23,0,0
240,2026-03-11 22:15:13.914,72.2061,189.9,348.53,32.05,32.05,0.6355,-11.48,27.0,46.17,LAB,0,83,1,-130.1,108.53,1288,1457,-212,0.213,-0.979,-2.0,479.52,2.09,0,1
250,2026-03-11 22:15:15.354,73.6463,393.51,219.84,109.72,109.72,0.16,-50.16,-6.55,316.12,LAB,0,92,1,73.51,-20.16,1083,1351,-417,0.565,-2.865,-2.0,7.35,136.0,0,9
260,2026-03-11 22:15:16.948,75.2401,109.57,140.57,321.56,321.56,0.1601,-15.15,-5.8,101.32,LAB,0,102,1,-210.43,-99.43,1217,1307,-283,0.671,-0.587,-2.0,5.37,186.3,0,3
270,2026-03-11 22:15:18.541,76.833,132.26,253.66,188.69,188.69,0.1611,-20.58,-20.03,178.2,LAB,0,112,1,-187.74,13.66,1408,1312,-92,0.411,0.102,-1.104,6.13,163.02,0,2
280,2026-03-11 22:15:20.594,78.8861,278.0,357.86,87.32,87.32,0.6192,1.03,9.12,14.82,LAB,0,122,1,-42.0,117.86,1548,1435,48,0.251,0.431,0.0,463.21,2.16,0,2
