Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-11 22:10:24.839,5.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,451.74,2.21,0,0
20,2026-03-11 22:10:31.310,11.6156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,869.97,1.15,0,0
30,2026-03-11 22:10:37.033,17.3386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,605.68,1.65,0,0
40,2026-03-11 22:10:43.183,23.4881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,456.31,2.19,0,0
50,2026-03-11 22:10:47.881,28.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,467.68,2.14,0,0
60,2026-03-11 22:10:51.111,31.4168,363.45,237.7,27.12,27.12,0.1599,-10.11,0.24,63.25,LAB,0,7,0,43.45,-2.3,1411,1500,-89,0.0,0.0,0.0,5.09,196.42,0,1
70,2026-03-11 22:10:52.707,33.0121,332.48,238.03,27.22,27.22,0.1529,0.0,-0.05,0.35,LAB,0,17,0,12.48,-1.97,1392,1500,-108,0.0,0.0,0.0,4.39,227.95,0,1
80,2026-03-11 22:10:55.042,35.3471,332.73,239.53,30.59,30.59,0.738,-0.08,1.8,2.45,YOLO,0,27,0,12.73,-0.47,1392,1500,-108,0.0,0.0,0.0,587.24,1.7,0,1
90,2026-03-11 22:10:56.379,36.6841,332.8,237.71,26.4,26.4,0.1622,-0.11,0.46,2.95,LAB,0,37,0,12.8,-2.29,1392,1500,-108,0.0,0.0,0.0,8.18,122.25,0,1
100,2026-03-11 22:10:57.980,38.2858,332.8,237.74,26.52,26.52,0.1552,-0.1,0.4,2.63,LAB,0,47,0,12.8,-2.26,1392,1500,-108,0.0,0.0,0.0,17.63,56.74,0,1
110,2026-03-11 22:10:59.575,39.8804,187.93,272.56,37.13,37.13,0.1673,31.76,7.34,194.79,LAB,0,55,0,-132.07,32.56,1523,1515,23,0.579,1.146,0.0,5.89,169.77,0,1
120,2026-03-11 22:11:01.598,41.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,62,0,0.0,0.0,1454,1558,0.0,0.0,0.0,0.0,442.67,2.26,0,0
130,2026-03-11 22:11:02.909,43.2148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,68,0,0.0,0.0,1410,1533,0.0,0.0,0.0,0.0,2.52,396.17,0,0
140,2026-03-11 22:11:04.509,44.8144,423.08,275.07,130.62,130.62,0.158,-87.94,12.27,562.02,LAB,0,76,0,103.08,35.07,1215,1598,-285,0.41,-3.244,-2.0,6.08,164.51,0,5
150,2026-03-11 22:11:06.114,46.419,183.16,88.01,52.84,52.84,0.1557,24.07,54.77,384.23,LAB,0,86,0,-136.84,-151.99,1403,1425,-97,0.699,-0.182,-1.164,4.36,229.41,0,6
160,2026-03-11 22:11:08.124,48.4291,488.03,214.42,314.76,314.76,0.5873,-16.6,-48.53,87.33,LAB,0,96,0,168.03,-25.58,1217,1368,-283,0.505,-3.47,-2.0,432.34,2.31,0,3
170,2026-03-11 22:11:09.454,49.759,247.81,78.4,217.99,217.99,0.1609,42.28,-1.01,262.83,LAB,0,106,0,-72.19,-161.6,1375,1255,-125,0.689,-0.778,-1.5,6.45,154.98,0,1
180,2026-03-11 22:11:11.045,51.3502,142.87,365.62,236.83,236.83,0.1602,-73.97,-1.33,461.69,LAB,0,116,0,-177.13,125.62,1369,1405,-131,0.105,-0.756,-1.572,5.55,180.25,0,2
190,2026-03-11 22:11:12.643,52.9483,404.92,264.16,154.32,154.32,0.16,90.69,-30.18,597.39,LAB,0,126,0,84.92,24.16,1481,1520,-19,0.501,-0.276,0.0,7.65,130.72,0,4
200,2026-03-11 22:11:14.697,55.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,130,0,0.0,0.0,1361,1473,0.0,0.0,0.0,0.0,465.33,2.15,1,0
210,2026-03-11 22:11:16.035,56.3406,196.36,119.46,56.94,56.94,0.1669,-31.94,-19.47,224.2,LAB,0,140,0,-123.64,-120.54,1265,1522,-235,0.647,-1.303,-2.0,51.57,19.39,1,5
220,2026-03-11 22:11:17.587,57.8926,500.7,220.96,209.47,209.47,0.1211,19.1,31.92,307.29,LAB,0,150,0,180.7,-19.04,1238,1425,-262,0.593,-3.295,-2.0,7.67,130.29,0,2
230,2026-03-11 22:11:19.176,59.4819,270.74,274.83,326.95,326.95,0.1563,39.01,3.05,250.38,LAB,0,160,0,-49.26,34.83,1190,1435,-310,0.406,-1.5,-2.0,4.94,202.28,0,1
240,2026-03-11 22:11:21.214,61.5193,348.53,235.65,203.35,203.35,0.6015,7.08,12.77,24.27,YOLO,0,170,0,28.53,-4.35,1155,1461,-345,0.515,-2.268,-2.0,446.11,2.24,0,3
250,2026-03-11 22:11:22.539,62.8448,500.15,190.86,162.18,162.18,0.1697,-8.12,5.15,56.65,LAB,0,180,0,180.15,-49.14,1042,1429,-458,0.62,-3.38,-2.0,5.41,184.67,0,1
260,2026-03-11 22:11:24.134,64.4392,318.52,247.03,126.0,126.0,0.1733,1.98,-9.08,53.64,LAB,0,190,0,-1.48,7.03,936,1421,-564,0.462,-2.108,-2.0,7.67,130.32,0,1
270,2026-03-11 22:11:25.717,66.0225,469.24,181.29,105.16,105.16,0.16,26.05,13.22,182.57,LAB,0,200,0,149.24,-58.71,813,1351,-687,0.668,-3.138,-2.0,5.18,193.21,0,1
280,2026-03-11 22:11:27.745,68.0505,142.35,328.81,129.18,129.18,0.5917,-41.85,-12.77,73.94,LAB,0,207,0,-177.65,88.81,862,1414,-638,0.245,-0.98,-2.0,426.86,2.34,0,1
290,2026-03-11 22:11:29.067,69.3722,152.33,231.35,248.33,248.33,0.1603,19.3,1.51,120.72,LAB,0,217,0,-167.67,-8.65,1151,1525,-349,0.482,-0.504,-2.0,6.55,152.71,0,4
300,2026-03-11 22:11:30.661,70.9668,459.52,210.59,159.65,159.65,0.1556,-3.9,14.02,93.53,LAB,0,227,0,139.52,-29.41,1082,1439,-418,0.607,-3.107,-2.0,5.24,190.83,0,1
310,2026-03-11 22:11:32.256,72.5619,183.81,248.13,210.23,210.23,0.1631,0.75,4.04,25.2,LAB,0,237,0,-136.19,8.13,1063,1465,-437,0.463,-1.019,-2.0,8.12,123.12,0,2
320,2026-03-11 22:11:34.277,74.5825,416.96,240.93,97.01,97.01,0.5877,-29.99,-4.72,51.65,LAB,0,247,0,96.96,0.93,955,1441,-545,0.493,-2.919,-2.0,432.83,2.31,0,1
330,2026-03-11 22:11:35.616,75.9214,466.79,254.99,80.31,80.31,0.1704,45.2,15.75,280.95,LAB,0,257,0,146.79,14.99,947,1419,-553,0.497,-2.905,-2.0,15.65,63.89,0,1
