Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-11 22:22:14.800,9.5264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,462.52,2.16,0,0
20,2026-03-11 22:22:20.335,15.0607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,467.42,2.14,0,0
30,2026-03-11 22:22:25.583,20.3089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,638.0,1.57,0,0
40,2026-03-11 22:22:31.504,26.2299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,481.78,2.08,0,0
50,2026-03-11 22:22:36.321,31.0467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,481.44,2.08,0,0
60,2026-03-11 22:22:41.227,35.9535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,457.73,2.18,0,0
70,2026-03-11 22:22:46.326,41.0521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,557.19,1.79,0,0
80,2026-03-11 22:22:50.041,44.767,475.12,197.16,156.88,156.88,0.7643,0.32,-2.27,3.0,LAB,0,7,0,155.12,-42.84,1513,1488,13,0.0,0.0,0.0,609.64,1.64,0,2
90,2026-03-11 22:22:51.348,46.0739,339.65,228.95,157.74,157.74,0.1561,-2.98,3.58,29.8,LAB,0,17,0,19.65,-11.05,1411,1449,-89,0.0,0.0,0.0,5.17,193.38,0,2
100,2026-03-11 22:22:52.949,47.6754,329.82,231.13,156.77,156.77,0.1663,-0.11,-0.0,0.65,LAB,0,27,0,9.82,-8.87,1411,1449,-89,0.0,0.0,0.0,9.7,103.14,0,2
110,2026-03-11 22:22:54.706,49.4321,420.59,227.81,137.0,137.0,0.1558,92.27,-18.28,603.65,LAB,0,36,0,100.59,-12.19,1538,1486,38,0.0,0.0,0.0,4.98,200.72,0,2
120,2026-03-11 22:22:56.724,51.4498,345.51,217.59,155.01,155.01,0.5823,-6.47,0.64,11.16,LAB,0,46,0,25.51,-22.41,1411,1458,-89,0.0,0.0,0.0,426.6,2.34,0,2
130,2026-03-11 22:22:58.064,52.7898,328.24,230.22,153.85,153.85,0.1599,-0.12,0.19,1.38,LAB,0,56,0,8.24,-9.78,1405,1447,-95,0.0,0.0,0.0,10.55,94.77,0,2
140,2026-03-11 22:22:59.641,54.3669,327.49,230.48,153.63,153.63,0.1607,-0.04,0.01,0.26,LAB,0,66,0,7.49,-9.52,1405,1447,-95,0.0,0.0,0.0,5.72,174.76,0,2
150,2026-03-11 22:23:01.240,55.9656,327.01,230.58,153.41,153.41,0.1644,-0.04,0.02,0.27,LAB,0,76,0,7.01,-9.42,1405,1447,-95,0.0,0.0,0.0,8.52,117.38,0,1
160,2026-03-11 22:23:03.420,58.1457,326.68,230.66,153.28,153.28,0.7488,-0.03,0.01,0.04,LAB,0,86,0,6.68,-9.34,1405,1447,-95,0.0,0.0,0.0,596.52,1.68,0,1
170,2026-03-11 22:23:04.745,59.4712,326.45,230.7,153.18,153.18,0.1601,-0.02,0.0,0.13,LAB,0,96,0,6.45,-9.3,1405,1447,-95,0.0,0.0,0.0,5.79,172.75,0,1
180,2026-03-11 22:23:06.497,61.2229,215.4,260.92,33.1,33.1,0.1599,19.3,-4.09,123.36,LAB,0,106,0,-104.6,20.92,1666,1506,166,0.0,0.0,0.0,5.53,180.73,0,1
190,2026-03-11 22:23:08.092,62.8184,306.6,251.46,34.61,34.61,0.1593,1.33,0.0,8.35,LAB,0,116,0,-13.4,11.46,1717,1509,217,0.0,0.0,0.0,4.78,209.07,0,1
200,2026-03-11 22:23:10.204,64.93,306.5,255.69,39.39,39.39,0.6764,0.34,4.07,6.04,YOLO,0,126,0,-13.5,15.69,1717,1512,217,0.0,0.0,0.0,520.54,1.92,0,1
210,2026-03-11 22:23:11.603,66.3289,305.04,251.75,34.79,34.79,0.1592,-0.08,0.01,0.53,LAB,0,136,0,-14.96,11.75,1717,1511,217,0.0,0.0,0.0,6.32,158.13,0,1
220,2026-03-11 22:23:13.200,67.9258,314.55,250.81,35.36,35.36,0.1629,-0.04,0.01,0.25,LAB,0,146,0,-5.45,10.81,1724,1511,224,0.0,0.0,0.0,7.97,125.43,0,1
230,2026-03-11 22:23:14.799,69.5252,315.57,248.56,32.87,32.87,0.1434,0.8,-1.22,10.17,LAB,0,156,0,-4.43,8.56,1724,1511,224,0.0,0.0,0.0,4.33,230.82,0,1
240,2026-03-11 22:23:16.828,71.5536,319.21,213.01,38.53,38.53,0.5999,-1.22,-12.96,21.7,YOLO,0,165,0,-0.79,-26.99,1724,1507,224,0.0,0.0,0.0,447.67,2.23,0,1
250,2026-03-11 22:23:18.136,72.862,458.71,204.77,26.77,26.77,0.6361,127.76,2.38,200.86,LAB,0,172,0,138.71,-35.23,1702,1455,202,0.519,1.102,2.0,3.98,250.96,0,1
260,2026-03-11 22:23:19.730,74.4565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,179,0,0.0,0.0,1512,1413,0.0,0.0,0.0,0.0,2.45,407.41,0,0
270,2026-03-11 22:23:21.373,76.0991,501.13,224.48,72.11,72.11,0.1629,-22.09,5.06,139.11,CSRT,0,187,0,181.13,-15.52,1275,1373,-225,0.55,-3.57,-2.0,48.93,20.44,1,0
280,2026-03-11 22:23:23.424,78.15,134.14,264.13,201.38,201.38,0.6248,-27.49,14.2,49.53,YOLO,0,197,0,-185.86,24.13,1142,1511,-358,0.36,-1.058,-2.0,507.6,1.97,1,1
290,2026-03-11 22:23:24.839,79.5647,330.68,195.85,175.27,175.27,0.161,64.56,50.25,508.15,LAB,0,205,0,10.68,-44.15,1280,1383,-220,0.652,-1.701,-2.0,6.45,155.07,0,1
300,2026-03-11 22:23:26.430,81.1558,437.95,296.58,81.73,81.73,0.1527,2.59,21.53,142.0,LAB,0,215,0,117.95,56.58,1103,1366,-397,0.385,-3.003,-2.0,5.26,190.08,0,1
310,2026-03-11 22:23:28.029,82.7551,218.44,183.05,107.2,107.2,0.1634,-46.45,-17.09,302.88,LAB,0,225,0,-101.56,-56.95,1049,1380,-451,0.596,-1.552,-2.0,8.56,116.77,0,1
320,2026-03-11 22:23:30.067,84.7933,324.52,224.1,66.74,66.74,0.5979,12.22,-5.51,22.43,LAB,0,235,0,4.52,-15.9,958,1358,-542,0.519,-2.105,-2.0,454.72,2.2,0,1
330,2026-03-11 22:23:31.456,86.1819,387.07,228.5,61.02,61.02,0.872,3.82,4.09,6.42,CSRT,0,240,0,67.07,-11.5,904,1334,-596,0.539,-2.561,-2.0,87.25,11.46,1,0
340,2026-03-11 22:23:33.014,87.7399,279.45,220.58,81.29,81.29,0.1575,18.2,3.75,117.98,CSRT,0,250,0,-40.55,-19.42,948,1311,-552,0.548,-1.54,-2.0,49.1,20.37,1,0
350,2026-03-11 22:23:34.604,89.3299,401.99,198.24,85.14,85.14,0.1627,11.32,-2.19,70.88,CSRT,0,260,0,81.99,-41.76,903,1277,-597,0.599,-2.615,-2.0,47.11,21.23,0,0
360,2026-03-11 22:23:36.672,91.398,604.31,184.05,81.67,81.67,0.618,-0.26,38.78,62.75,CSRT,0,265,0,284.31,-55.95,800,1200,-700,0.67,-3.953,-2.0,508.77,1.97,1,0
370,2026-03-11 22:23:38.017,92.743,318.05,424.75,80.02,80.02,0.1289,15.62,21.13,203.84,CSRT,0,270,0,-1.95,184.75,801,1316,-699,0.058,-2.11,-2.0,43.95,22.75,1,0
380,2026-03-11 22:23:40.624,95.3499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,800,1455,0.0,0.0,0.0,0.0,458.21,2.18,0,0
390,2026-03-11 22:23:45.461,100.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,800,1455,0.0,0.0,0.0,0.0,550.81,1.82,0,0
400,2026-03-11 22:23:51.249,105.9752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,800,1455,0.0,0.0,0.0,0.0,618.88,1.62,0,0
410,2026-03-11 22:23:54.388,109.1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,3,1,0.0,0.0,800,1481,0.0,0.0,0.0,0.0,2.61,382.52,0,0
420,2026-03-11 22:23:56.026,110.7517,574.77,345.59,63.94,63.94,0.1627,10.6,15.85,117.18,CSRT,0,13,1,254.77,105.59,800,1583,-700,0.231,-3.989,-2.0,47.84,20.9,1,0
