Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-11 22:18:57.910,5.9495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,800.12,1.25,0,0
20,2026-03-11 22:19:04.473,12.5124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,470.52,2.13,0,0
30,2026-03-11 22:19:09.483,17.5226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,462.35,2.16,0,0
40,2026-03-11 22:19:14.242,22.2809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,455.44,2.2,0,0
50,2026-03-11 22:19:19.551,27.5897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,510.42,1.96,0,0
60,2026-03-11 22:19:21.919,29.9583,338.41,246.31,28.36,28.36,0.1575,-8.53,0.55,54.27,LAB,0,9,0,18.41,6.31,1446,1500,-54,0.0,0.0,0.0,4.57,218.72,0,2
70,2026-03-11 22:19:23.519,31.5582,312.88,246.56,29.52,29.52,0.163,0.25,-0.44,3.11,LAB,0,19,0,-7.12,6.56,1446,1500,-54,0.0,0.0,0.0,6.09,164.27,0,2
80,2026-03-11 22:19:25.534,33.573,312.42,249.53,36.18,36.18,0.5736,-0.18,2.21,3.87,YOLO,0,29,0,-7.58,9.53,1446,1500,-54,0.0,0.0,0.0,427.12,2.34,0,2
90,2026-03-11 22:19:26.863,34.9019,312.52,247.68,31.69,31.69,0.16,-0.25,0.42,3.05,LAB,0,39,0,-7.48,7.68,1446,1500,-54,0.0,0.0,0.0,4.08,245.04,0,2
100,2026-03-11 22:19:28.463,36.5021,312.6,247.58,31.56,31.56,0.1584,0.03,-0.11,0.72,LAB,0,49,0,-7.4,7.58,1446,1500,-54,0.0,0.0,0.0,8.17,122.33,0,2
110,2026-03-11 22:19:30.052,38.0911,312.64,247.68,31.64,31.64,0.1543,-0.28,0.41,3.22,LAB,0,59,0,-7.36,7.68,1446,1500,-54,0.0,0.0,0.0,5.05,197.85,0,2
120,2026-03-11 22:19:32.189,40.2278,312.62,249.55,36.51,36.51,0.6982,-0.35,2.4,3.48,YOLO,0,69,0,-7.38,9.55,1446,1500,-54,0.0,0.0,0.0,543.27,1.84,0,2
130,2026-03-11 22:19:33.561,41.5998,312.73,247.47,31.47,31.47,0.1563,-0.04,0.05,0.43,LAB,0,79,0,-7.27,7.47,1446,1500,-54,0.0,0.0,0.0,5.5,181.75,0,2
140,2026-03-11 22:19:35.157,43.1957,312.83,247.38,31.42,31.42,0.1601,-0.18,0.2,1.68,LAB,0,89,0,-7.17,7.38,1446,1500,-54,0.0,0.0,0.0,5.35,186.82,0,2
150,2026-03-11 22:19:36.754,44.7928,288.8,243.82,29.18,29.18,0.1566,-10.36,-0.18,66.2,LAB,0,99,0,-31.2,3.82,1453,1500,-47,0.0,0.0,0.0,6.39,156.5,0,2
160,2026-03-11 22:19:38.777,46.8166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,104,0,0.0,0.0,1553,1496,0.0,0.0,0.0,0.0,438.05,2.28,0,0
170,2026-03-11 22:19:40.110,48.1488,53.53,437.82,52.41,52.41,0.1193,-50.29,59.14,650.44,LAB,0,113,0,-266.47,197.82,1742,1526,242,0.0,0.0,0.0,3.99,250.86,0,1
180,2026-03-11 22:19:41.707,49.7464,404.08,171.33,62.71,62.71,0.3207,-11.88,3.43,38.57,LAB,0,119,0,84.08,-68.67,1671,1480,171,0.0,0.0,0.0,15.51,64.47,0,1
190,2026-03-11 22:19:43.288,51.327,332.79,224.14,60.47,60.47,0.1602,-5.16,6.52,51.88,LAB,0,128,0,12.79,-15.86,1622,1425,122,0.0,0.0,0.0,4.29,232.98,0,1
200,2026-03-11 22:19:45.543,53.5825,385.13,248.97,35.15,35.15,0.8176,58.76,17.55,75.0,YOLO,0,138,0,65.13,8.97,1612,1425,112,0.0,0.0,0.0,663.86,1.51,0,1
210,2026-03-11 22:19:47.280,55.3188,341.23,257.97,28.19,28.19,0.1617,-4.62,0.54,28.78,LAB,0,148,0,21.23,17.97,1527,1442,27,0.0,0.0,0.0,7.35,136.05,0,23
