Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-11 22:01:21.894,5.9825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,587.84,1.7,0,0
20,2026-03-11 22:01:27.972,12.0608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,648.59,1.54,0,0
30,2026-03-11 22:01:35.013,19.1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,772.37,1.29,0,0
40,2026-03-11 22:01:41.208,25.2966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,545.55,1.83,0,0
50,2026-03-11 22:01:46.002,30.0904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,473.03,2.11,0,0
60,2026-03-11 22:01:50.826,34.9147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,490.5,2.04,0,0
70,2026-03-11 22:01:55.075,39.1636,479.8,180.88,145.93,145.93,0.1566,46.46,11.41,305.51,LAB,0,5,0,159.8,-59.12,1422,1443,-78,0.0,0.0,0.0,6.11,163.79,0,3
80,2026-03-11 22:01:57.090,41.1784,365.8,224.45,111.95,111.95,0.5798,17.25,-1.97,29.95,LAB,0,15,0,45.8,-15.55,1266,1400,-234,0.0,0.0,0.0,425.2,2.35,0,9
90,2026-03-11 22:01:58.436,42.5245,347.06,234.24,87.78,87.78,0.1599,11.23,0.4,70.28,LAB,0,25,0,27.06,-5.76,1258,1395,-242,0.0,0.0,0.0,14.9,67.13,0,10
100,2026-03-11 22:02:00.018,44.1071,277.31,226.35,86.0,86.0,0.1526,-21.54,-15.37,173.43,LAB,0,35,0,-42.69,-13.65,1235,1395,-265,0.0,0.0,0.0,5.61,178.25,0,10
110,2026-03-11 22:02:01.616,45.7046,295.29,235.69,120.91,120.91,0.1605,-1.77,-0.9,12.37,LAB,0,45,0,-24.71,-4.31,1306,1395,-194,0.0,0.0,0.0,7.11,140.6,0,10
120,2026-03-11 22:02:03.630,47.7185,189.65,172.25,317.27,317.27,0.5787,0.99,-23.99,41.48,LAB,0,55,0,-130.35,-67.75,1390,1379,-110,0.0,0.0,0.0,428.86,2.33,0,6
130,2026-03-11 22:02:04.969,49.0574,337.78,186.49,456.42,456.42,0.156,-7.79,11.59,89.5,LAB,0,65,0,17.78,-53.51,1442,1279,-58,0.0,0.0,0.0,11.59,86.31,0,8
140,2026-03-11 22:02:06.574,50.6624,347.75,219.33,478.58,478.58,0.1659,-2.47,-7.17,45.69,LAB,0,75,0,27.75,-20.67,1410,1237,-90,0.0,0.0,0.0,20.65,48.42,0,9
150,2026-03-11 22:02:08.166,52.2552,329.93,226.29,476.2,476.2,0.1658,0.42,-0.52,4.05,LAB,0,85,0,9.93,-13.71,1398,1234,-102,0.0,0.0,0.0,20.98,47.65,0,8
160,2026-03-11 22:02:10.215,54.3034,329.56,229.66,479.43,479.43,0.6175,0.45,-0.66,1.29,LAB,0,95,0,9.56,-10.34,1398,1234,-102,0.0,0.0,0.0,473.48,2.11,0,9
170,2026-03-11 22:02:11.818,55.907,282.0,349.1,23.88,23.88,0.3206,15.37,-31.12,108.24,LAB,0,102,0,-38.0,109.1,1469,1412,-31,0.0,0.0,0.0,4.81,208.04,0,1
180,2026-03-11 22:02:13.414,57.5025,312.63,258.09,25.38,25.38,0.1401,0.22,-3.22,23.03,LAB,0,112,0,-7.37,18.09,1475,1485,-25,0.0,0.0,0.0,4.24,235.89,0,1
190,2026-03-11 22:02:15.010,59.0983,312.44,250.74,25.19,25.19,0.1595,0.02,-0.21,1.33,LAB,0,122,0,-7.56,10.74,1475,1493,-25,0.0,0.0,0.0,8.04,124.38,0,1
