Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-11 21:56:56.079,7.9731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,429.3,2.33,0,0
20,2026-03-11 21:57:00.689,12.5836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,476.99,2.1,0,0
30,2026-03-11 21:57:06.567,18.4612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,591.66,1.69,0,0
40,2026-03-11 21:57:12.912,24.8057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,496.59,2.01,0,0
50,2026-03-11 21:57:16.118,28.012,295.56,234.09,30.56,30.56,0.1563,4.05,-0.16,25.95,LAB,0,7,0,-24.44,-5.91,1534,1500,34,0.0,0.0,0.0,4.34,230.15,0,1
60,2026-03-11 21:57:17.716,29.6097,310.15,233.99,30.42,30.42,0.1528,0.0,0.0,0.0,LAB,0,17,0,-9.85,-6.01,1537,1500,37,0.0,0.0,0.0,6.28,159.29,0,1
70,2026-03-11 21:57:19.322,31.2157,310.11,233.99,30.43,30.43,0.164,-0.0,0.0,0.02,LAB,0,27,0,-9.89,-6.01,1537,1500,37,0.0,0.0,0.0,16.11,62.09,0,1
80,2026-03-11 21:57:21.463,33.3572,310.4,235.76,31.82,31.82,0.7215,0.33,1.74,2.45,YOLO,0,37,0,-9.6,-4.24,1537,1500,37,0.0,0.0,0.0,565.51,1.77,0,1
90,2026-03-11 21:57:22.819,34.7127,310.05,234.03,30.46,30.46,0.1557,0.01,-0.06,0.38,LAB,0,47,0,-9.95,-5.97,1537,1500,37,0.0,0.0,0.0,4.93,202.98,0,1
100,2026-03-11 21:57:24.414,36.3078,310.04,234.0,30.45,30.45,0.156,-0.0,0.0,0.01,LAB,0,57,0,-9.96,-6.0,1537,1500,37,0.0,0.0,0.0,7.85,127.31,0,1
110,2026-03-11 21:57:26.006,37.8998,310.03,234.0,30.46,30.46,0.1603,-0.0,0.0,0.01,LAB,0,67,0,-9.97,-6.0,1537,1500,37,0.0,0.0,0.0,3.75,266.56,0,1
120,2026-03-11 21:57:28.366,40.2598,310.26,235.83,31.8,31.8,0.9158,0.24,1.83,2.01,YOLO,0,77,0,-9.74,-4.17,1537,1500,37,0.0,0.0,0.0,767.73,1.3,0,1
130,2026-03-11 21:57:29.684,41.5782,310.01,234.0,30.46,30.46,0.169,-0.0,-0.0,0.0,LAB,0,87,0,-9.99,-6.0,1537,1500,37,0.0,0.0,0.0,3.81,262.32,0,1
140,2026-03-11 21:57:31.439,43.3329,303.14,274.72,48.49,48.49,0.1576,-5.26,9.76,70.37,LAB,0,97,0,-16.86,34.72,1540,1512,40,0.593,0.155,0.0,6.57,152.12,0,1
150,2026-03-11 21:57:33.027,44.9209,562.59,434.12,43.55,43.55,0.1599,119.16,5.94,745.94,LAB,0,107,0,242.59,194.12,1520,1699,20,-0.06,-1.066,0.0,8.68,115.25,0,1
160,2026-03-11 21:57:35.108,47.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,112,0,0.0,0.0,1492,1781,0.0,0.0,0.0,0.0,482.98,2.07,0,0
170,2026-03-11 21:57:37.640,49.5346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1492,1781,0.0,0.0,0.0,0.0,472.99,2.11,0,0
180,2026-03-11 21:57:42.353,54.2476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1492,1781,0.0,0.0,0.0,0.0,459.23,2.18,0,0
190,2026-03-11 21:57:47.798,59.6919,253.57,9.04,46.9,46.9,13.8198,161.61,-312.7,25.47,LAB,0,1,1,-66.43,-230.96,1502,1751,2,0.5,0.296,0.0,520.18,1.92,0,9
200,2026-03-11 21:57:49.561,61.4551,266.95,230.28,76.02,76.02,0.5844,-1.62,28.11,48.18,LAB,0,11,1,-53.05,-9.72,1583,1568,83,0.587,1.358,0.996,438.13,2.28,0,2
210,2026-03-11 21:57:50.955,62.8496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,16,1,0.0,0.0,1633,1666,0.0,0.0,0.0,0.0,76.68,13.04,1,0
220,2026-03-11 21:57:52.526,64.4199,367.46,396.29,81.47,81.47,1.2836,40.39,115.31,95.19,CSRT,0,19,1,47.46,156.29,1619,1715,119,0.132,1.229,1.428,50.8,19.68,1,0
230,2026-03-11 21:57:56.346,68.2401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1619,1715,0.0,0.0,0.0,0.0,442.72,2.26,0,0
240,2026-03-11 21:58:00.574,72.4679,346.64,74.93,43.58,43.58,0.5959,14.48,15.36,35.42,LAB,0,4,2,26.64,-165.07,1615,1608,115,0.656,1.109,1.38,446.37,2.24,0,1
