Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-11 22:06:11.371,6.1369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,592.07,1.69,0,0
20,2026-03-11 22:06:17.326,12.0913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,464.4,2.15,0,0
30,2026-03-11 22:06:23.462,18.2274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,492.14,2.03,0,0
40,2026-03-11 22:06:28.499,23.2646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,461.51,2.17,0,0
50,2026-03-11 22:06:33.287,28.0529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,476.27,2.1,0,0
60,2026-03-11 22:06:38.046,32.8115,284.49,202.32,543.9,543.9,0.1682,-2.64,-2.29,20.76,LAB,0,4,0,-35.51,-37.68,1516,1480,16,0.0,0.0,0.0,34.36,29.1,0,20
70,2026-03-11 22:06:39.641,34.407,299.01,210.44,612.5,612.5,0.1647,1.38,-1.97,14.61,LAB,0,14,0,-20.99,-29.56,1560,1432,60,0.0,0.0,0.0,33.57,29.79,0,19
80,2026-03-11 22:06:42.125,36.8902,297.46,192.02,652.95,652.95,0.7698,1.34,-4.44,6.03,LAB,0,24,0,-22.54,-47.98,1599,1363,99,0.0,0.0,0.0,615.65,1.62,0,1
90,2026-03-11 22:06:43.958,38.7235,308.03,238.88,648.64,648.64,0.1639,-0.21,-0.63,4.07,LAB,0,34,0,-11.97,-1.12,1563,1403,63,0.0,0.0,0.0,46.46,21.53,0,27
100,2026-03-11 22:06:45.662,40.4275,347.1,278.78,19.13,19.13,0.1596,-7.74,-7.09,65.78,LAB,0,43,0,27.1,38.78,1531,1444,31,0.0,0.0,0.0,4.82,207.27,0,1
110,2026-03-11 22:06:47.254,42.0201,329.89,244.52,19.48,19.48,0.1605,-0.08,-0.31,2.01,LAB,0,53,0,9.89,4.52,1525,1465,25,0.0,0.0,0.0,5.17,193.27,0,1
