Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-11 23:47:41.298,5.9851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,737.79,1.36,0,0
20,2026-03-11 23:47:48.104,12.7904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,556.05,1.8,0,0
30,2026-03-11 23:47:54.111,18.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,670.89,1.49,0,0
40,2026-03-11 23:47:59.889,24.5762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,485.04,2.06,0,0
50,2026-03-11 23:48:04.800,29.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,606.14,1.65,0,0
60,2026-03-11 23:48:07.759,32.4454,313.93,286.32,53.11,53.11,0.0817,-0.16,-8.39,102.68,LAB,0,7,0,-6.07,46.32,1500,1564,0,0.0,0.0,0.0,3.53,283.4,0,1
70,2026-03-11 23:48:08.580,33.2662,310.21,241.32,53.42,53.42,0.0851,-0.25,-0.73,9.03,LAB,0,17,0,-9.79,1.32,1500,1583,0,0.0,0.0,0.0,5.59,178.83,0,1
80,2026-03-11 23:48:09.952,34.6392,309.88,242.56,59.45,59.45,0.6667,-0.2,1.64,2.48,YOLO,0,27,0,-10.12,2.56,1500,1583,0,0.0,0.0,0.0,600.63,1.66,0,1
90,2026-03-11 23:48:10.640,35.3267,309.91,240.6,53.18,53.18,0.076,-0.16,-0.27,4.09,LAB,0,37,0,-10.09,0.6,1500,1583,0,0.0,0.0,0.0,4.11,243.54,0,1
100,2026-03-11 23:48:11.439,36.1262,309.86,240.53,53.12,53.12,0.0837,-0.06,-0.03,0.74,LAB,0,47,0,-10.14,0.53,1500,1583,0,0.0,0.0,0.0,5.83,171.47,0,1
110,2026-03-11 23:48:12.248,36.9343,310.28,240.64,52.93,52.93,0.0922,0.26,-0.12,3.12,LAB,0,57,0,-9.72,0.64,1500,1583,0,0.0,0.0,0.0,8.79,113.73,0,1
120,2026-03-11 23:48:13.515,38.2021,310.31,240.39,52.59,52.59,0.5559,0.24,0.05,0.45,LAB,0,67,0,-9.69,0.39,1500,1583,0,0.0,0.0,0.0,481.34,2.08,0,1
130,2026-03-11 23:48:14.220,38.9072,309.83,240.83,53.44,53.44,0.0783,-0.1,0.22,3.13,LAB,0,77,0,-10.17,0.83,1500,1583,0,0.0,0.0,0.0,4.43,225.78,0,1
140,2026-03-11 23:48:15.017,39.7034,328.65,278.17,71.77,71.77,0.0641,4.04,10.82,180.19,LAB,0,87,0,8.65,38.17,1500,1599,0,0.58,0.008,0.0,5.23,191.24,0,1
150,2026-03-11 23:48:15.822,40.5083,443.6,241.46,109.48,109.48,0.0899,11.32,-4.52,135.62,LAB,0,97,0,123.6,1.46,1409,1649,-91,0.493,-1.775,-1.092,5.45,183.47,0,6
160,2026-03-11 23:48:17.120,41.8063,507.68,298.31,294.62,294.62,0.5698,-1.58,-7.53,13.49,LAB,0,107,0,187.68,58.31,1135,1724,-365,0.305,-3.624,-2.0,495.27,2.02,0,3
170,2026-03-11 23:48:18.311,42.9975,323.86,219.67,73.26,73.26,0.1259,-16.71,-13.82,172.27,LAB,0,117,0,3.86,-20.33,1137,1656,-363,0.535,-2.137,-2.0,5.04,198.51,0,3
180,2026-03-11 23:48:19.639,44.3261,113.96,134.35,295.61,295.61,0.1313,-14.87,-18.72,182.08,LAB,0,127,0,-206.04,-105.65,1288,1516,-212,0.698,-0.46,-2.0,5.51,181.45,0,5
190,2026-03-11 23:48:21.045,45.7318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,135,0,0.0,0.0,1527,1559,0.0,0.0,0.0,0.0,3.12,320.54,0,0
200,2026-03-11 23:48:23.081,47.7681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,140,0,0.0,0.0,1656,1497,0.0,0.0,0.0,0.0,443.24,2.26,0,0
210,2026-03-11 23:48:24.393,49.0799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,144,0,0.0,0.0,1719,1433,0.0,0.0,0.0,0.0,3.09,324.11,0,0
220,2026-03-11 23:48:26.002,50.6888,414.5,212.1,177.14,177.14,0.1599,95.44,11.91,601.53,LAB,0,152,0,94.5,-27.9,1765,1362,265,0.562,1.911,2.0,5.57,179.54,0,3
230,2026-03-11 23:48:27.228,51.915,101.42,290.62,227.74,227.74,0.1099,-62.28,50.56,729.89,LAB,0,162,0,-218.58,50.62,1715,1310,215,0.452,3.277,2.0,7.72,129.59,0,3
240,2026-03-11 23:48:28.657,53.344,509.11,163.59,214.94,214.94,0.5417,-16.12,-21.83,50.09,LAB,0,172,0,189.11,-76.41,1712,1387,212,0.616,0.548,2.0,456.74,2.19,0,1
250,2026-03-11 23:48:29.844,54.5305,102.02,223.77,150.97,150.97,0.132,-44.47,12.12,349.13,LAB,0,182,0,-217.98,-16.23,1831,1314,331,0.57,3.525,2.0,5.1,196.25,0,2
260,2026-03-11 23:48:31.177,55.8634,361.51,299.06,208.6,208.6,0.1368,26.84,16.08,228.7,LAB,0,192,0,41.51,59.06,1945,1357,445,0.364,1.842,2.0,10.16,98.42,0,1
270,2026-03-11 23:48:32.504,57.1904,365.53,236.38,109.74,109.74,0.1367,-56.44,43.78,522.52,LAB,0,202,0,45.53,-3.62,1752,1347,252,0.569,1.251,2.0,5.16,193.88,0,1
280,2026-03-11 23:48:34.285,58.9721,365.19,293.73,75.96,75.96,0.5834,25.32,3.67,43.86,LAB,0,212,0,45.19,53.73,1756,1377,256,0.355,1.75,2.0,458.83,2.18,0,1
290,2026-03-11 23:48:35.612,60.2986,143.27,73.24,59.12,59.12,0.15,-98.64,-58.22,763.65,LAB,0,221,0,-176.73,-166.76,1627,1337,127,0.651,1.995,1.524,4.75,210.73,0,1
300,2026-03-11 23:48:37.208,61.895,272.4,157.45,58.45,58.45,0.15,-24.01,6.56,165.91,LAB,0,231,0,-47.6,-82.55,1808,1200,308,0.7,2.475,2.0,5.63,177.63,0,2
310,2026-03-11 23:48:39.212,63.8988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1743,1200,0.0,0.0,0.0,0.0,417.19,2.4,0,0
320,2026-03-11 23:48:43.949,68.6354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1743,1200,0.0,0.0,0.0,0.0,473.69,2.11,0,0
330,2026-03-11 23:48:48.716,73.4024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1743,1200,0.0,0.0,0.0,0.0,458.93,2.18,0,0
340,2026-03-11 23:48:54.836,79.5229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1743,1200,0.0,0.0,0.0,0.0,685.24,1.46,0,0
350,2026-03-11 23:48:55.864,80.5512,343.22,224.16,85.2,85.2,0.0401,-3.78,3.79,133.34,LAB,0,10,1,23.22,-15.84,1699,1200,199,0.541,1.736,2.0,7.34,136.32,0,1
360,2026-03-11 23:48:57.004,81.6903,336.57,261.63,109.17,109.17,0.5226,-4.48,10.18,21.28,LAB,0,20,1,16.57,21.63,1684,1203,184,0.453,1.796,2.0,473.72,2.11,0,1
370,2026-03-11 23:48:58.053,82.7401,463.35,284.8,192.61,192.61,0.1205,-10.19,11.13,125.19,LAB,0,30,1,143.35,44.8,1516,1291,16,0.498,-0.976,0.0,5.61,178.37,0,4
380,2026-03-11 23:48:59.229,83.9154,311.71,388.03,100.25,100.25,0.096,-35.72,-0.03,372.08,LAB,0,40,1,-8.29,148.03,1407,1410,-93,0.106,-1.275,-1.116,9.08,110.19,0,1
390,2026-03-11 23:49:00.076,84.7622,227.34,298.54,61.77,61.77,0.0818,-27.56,-13.09,372.83,LAB,0,50,1,-92.66,58.54,1478,1558,-22,0.41,0.552,0.0,4.08,244.88,0,1
400,2026-03-11 23:49:01.329,86.016,357.61,228.47,64.67,64.67,0.5405,20.37,4.35,38.54,YOLO,0,60,1,37.61,-11.53,1517,1564,17,0.75,-0.154,0.0,477.2,2.1,0,1
410,2026-03-11 23:49:02.064,86.7511,515.18,268.24,265.9,265.9,0.0727,-28.35,-19.82,475.94,LAB,0,70,1,195.18,28.24,1223,1637,-277,0.376,-3.725,-2.0,5.74,174.07,0,2
420,2026-03-11 23:49:03.065,87.7521,469.15,203.95,127.4,127.4,0.1357,-51.9,31.59,447.69,LAB,0,80,1,149.15,-36.05,974,1555,-526,0.636,-3.489,-2.0,5.45,183.65,0,1
430,2026-03-11 23:49:04.392,89.0787,207.96,247.69,104.16,104.16,0.1357,-6.82,0.36,50.29,LAB,0,90,1,-112.04,7.69,1051,1552,-449,0.471,-1.096,-2.0,4.11,243.39,0,1
440,2026-03-11 23:49:06.181,90.868,258.39,249.91,94.99,94.99,0.5919,0.08,0.72,1.22,LAB,0,100,1,-61.61,9.91,1195,1552,-305,0.47,-1.417,-2.0,465.27,2.15,0,2
450,2026-03-11 23:49:08.105,92.7914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1135,1570,0.0,0.0,0.0,0.0,485.97,2.06,0,0
460,2026-03-11 23:49:12.846,97.5325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1135,1570,0.0,0.0,0.0,0.0,459.72,2.18,0,0
470,2026-03-11 23:49:15.938,100.6244,241.72,228.52,42.46,42.46,0.092,11.95,4.38,138.3,LAB,0,6,2,-78.28,-11.48,1226,1556,-274,0.521,-1.223,-2.0,4.92,203.3,0,1
480,2026-03-11 23:49:17.344,102.0303,259.3,274.46,89.11,89.11,0.5638,-17.63,-12.3,38.13,LAB,0,16,2,-60.7,34.46,1274,1597,-226,0.374,-1.56,-2.0,478.8,2.09,0,2
490,2026-03-11 23:49:18.175,102.8622,597.57,145.02,185.64,185.64,0.079,50.38,73.48,1127.36,LAB,0,26,2,277.57,-94.98,1277,1483,-223,0.696,-3.636,-2.0,6.48,154.34,0,1
500,2026-03-11 23:49:20.678,105.3645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1277,1483,0.0,0.0,0.0,0.0,469.4,2.13,0,0
510,2026-03-11 23:49:24.833,109.5193,162.06,283.35,45.49,45.49,0.067,0.43,-0.27,7.59,LAB,0,3,3,-157.94,43.35,1349,1503,-151,0.322,-0.497,-1.812,5.03,198.86,0,1
520,2026-03-11 23:49:26.088,110.7749,294.75,286.93,66.86,66.86,0.5424,22.7,0.3,41.86,LAB,0,13,3,-25.25,46.93,1482,1573,-18,0.51,0.372,0.0,465.02,2.15,0,1
530,2026-03-11 23:49:26.745,111.4316,554.94,261.52,231.12,231.12,0.0792,29.44,38.62,613.37,LAB,0,23,3,234.94,21.52,1255,1570,-245,0.493,-3.766,-2.0,7.82,127.86,0,3
540,2026-03-11 23:49:27.649,112.3357,445.55,222.03,190.21,190.21,0.1032,6.18,8.38,100.92,LAB,0,33,3,125.55,-17.97,1007,1580,-493,0.542,-3.073,-2.0,7.53,132.87,0,3
550,2026-03-11 23:49:29.196,113.8823,302.79,154.73,34.77,34.77,0.1599,22.38,2.61,140.91,LAB,0,43,3,-17.21,-85.27,1038,1451,-462,0.698,-1.612,-2.0,10.49,95.32,0,3
560,2026-03-11 23:49:31.248,115.9343,22.62,130.86,53.58,53.58,0.6264,-36.87,-4.16,59.24,LAB,0,53,3,-297.38,-109.14,1173,1308,-327,0.7,0.096,-2.0,470.5,2.13,0,4
570,2026-03-11 23:49:32.538,117.225,274.99,78.04,99.84,99.84,0.1598,-4.97,3.47,37.9,LAB,0,63,3,-45.01,-161.96,1254,1200,-246,0.7,-1.61,-2.0,4.89,204.38,0,1
580,2026-03-11 23:49:34.130,118.8168,65.76,213.76,80.78,80.78,0.1603,-100.67,-20.98,641.51,LAB,0,73,3,-254.24,-26.24,1317,1200,-183,0.541,-0.532,-2.0,4.53,220.69,0,2
590,2026-03-11 23:49:35.727,120.414,235.1,248.49,145.35,145.35,0.1599,-2.62,11.92,76.34,LAB,0,79,3,-84.9,8.49,1430,1200,-70,0.492,-0.085,-0.84,5.83,171.4,0,4
600,2026-03-11 23:49:37.784,122.4704,160.81,207.69,163.45,163.45,0.6204,-55.84,35.59,106.74,LAB,0,89,3,-159.19,-32.31,1599,1215,99,0.626,2.041,1.188,466.13,2.15,0,5
610,2026-03-11 23:49:39.075,123.7613,265.14,281.87,34.83,34.83,0.1598,-103.11,2.82,645.4,LAB,0,99,3,-54.86,41.87,1428,1333,-72,0.384,-1.191,-0.864,4.95,202.11,0,4
620,2026-03-11 23:49:40.681,125.3677,268.03,49.71,40.36,40.36,0.1588,33.87,-81.63,556.49,LAB,0,105,3,-51.97,-190.29,1521,1255,21,0.977,0.643,0.0,4.98,200.88,0,2
630,2026-03-11 23:49:42.274,126.9603,348.94,146.05,88.93,88.93,0.1604,-1.66,28.51,178.07,LAB,0,115,3,28.94,-93.95,1469,1200,-31,1.0,-0.244,0.0,5.47,182.79,0,2
640,2026-03-11 23:49:44.160,128.8462,21.38,404.64,34.73,34.73,0.5799,-25.82,52.06,100.22,LAB,0,120,3,-298.62,164.64,1579,1243,79,0.281,2.537,0.948,465.59,2.15,0,1
650,2026-03-11 23:49:45.296,129.9824,466.23,135.93,132.16,132.16,0.1611,155.23,107.57,1172.2,LAB,0,130,3,146.23,-104.07,1606,1329,106,0.649,0.843,1.272,5.75,173.94,0,3
660,2026-03-11 23:49:46.885,131.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,139,3,0.0,0.0,1382,1248,0.0,0.0,0.0,0.0,3.12,320.62,0,0
670,2026-03-11 23:49:48.483,133.1701,375.23,159.02,113.87,113.87,0.1599,37.83,-52.19,403.18,LAB,0,147,3,55.23,-80.98,1399,1259,-101,0.595,-1.335,-1.212,5.35,186.91,0,3
