Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-11 23:52:11.482,6.4765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,739.27,1.35,0,0
20,2026-03-11 23:52:17.971,12.9651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,744.38,1.34,0,0
30,2026-03-11 23:52:23.765,18.7589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,657.54,1.52,0,0
40,2026-03-11 23:52:28.808,23.8026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,464.76,2.15,0,0
50,2026-03-11 23:52:33.556,28.5502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,460.17,2.17,0,0
60,2026-03-11 23:52:38.218,33.2117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,457.62,2.19,0,0
70,2026-03-11 23:52:43.053,38.0474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,474.17,2.11,0,0
80,2026-03-11 23:52:47.926,42.9205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,475.72,2.1,0,0
90,2026-03-11 23:52:52.761,47.7552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,474.55,2.11,0,0
100,2026-03-11 23:52:57.405,52.3991,323.17,291.42,47.49,47.49,0.0227,-0.27,-0.69,32.6,LAB,0,3,0,3.17,51.42,1500,1523,0,0.0,0.0,0.0,8.91,112.26,0,1
