Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-11 23:59:01.740,6.2167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,793.7,1.26,0,0
20,2026-03-11 23:59:07.913,12.3897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,479.26,2.09,0,0
30,2026-03-11 23:59:13.714,18.1906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,698.78,1.43,0,0
40,2026-03-11 23:59:17.674,22.1509,227.92,276.54,45.82,45.82,0.5978,31.42,-2.64,52.74,YOLO,0,6,0,-92.08,36.54,1620,1541,120,0.0,0.0,0.0,512.3,1.95,0,2
50,2026-03-11 23:59:18.481,22.9574,307.65,244.85,44.24,44.24,0.0956,0.28,-0.23,3.78,LAB,0,16,0,-12.35,4.85,1659,1553,159,0.0,0.0,0.0,4.47,223.92,0,2
60,2026-03-11 23:59:19.403,23.88,307.63,244.77,44.26,44.26,0.0803,-0.02,0.02,0.31,LAB,0,26,0,-12.37,4.77,1659,1553,159,0.0,0.0,0.0,4.93,203.01,0,2
70,2026-03-11 23:59:20.331,24.8075,307.45,244.75,44.21,44.21,0.0908,-0.02,0.16,1.72,LAB,0,36,0,-12.55,4.75,1659,1553,159,0.0,0.0,0.0,4.82,207.36,0,2
80,2026-03-11 23:59:21.714,26.1909,307.71,247.97,48.52,48.52,0.5384,0.38,3.08,5.76,YOLO,0,46,0,-12.29,7.97,1659,1553,159,0.0,0.0,0.0,460.04,2.17,0,2
90,2026-03-11 23:59:22.563,27.04,307.21,244.92,44.27,44.27,0.0922,-0.01,0.0,0.1,LAB,0,56,0,-12.79,4.92,1659,1553,159,0.0,0.0,0.0,5.21,192.06,0,2
100,2026-03-11 23:59:23.495,27.972,312.23,243.02,44.44,44.44,0.0919,-0.01,-0.17,1.85,LAB,0,66,0,-7.77,3.02,1659,1553,159,0.0,0.0,0.0,9.18,108.95,0,2
110,2026-03-11 23:59:24.434,28.9104,312.15,243.19,44.47,44.47,0.0923,0.0,-0.41,4.49,LAB,0,76,0,-7.85,3.19,1659,1553,159,0.0,0.0,0.0,5.01,199.45,0,2
120,2026-03-11 23:59:25.911,30.388,312.15,247.41,48.7,48.7,0.649,0.04,3.78,5.83,YOLO,0,86,0,-7.85,7.41,1659,1553,159,0.0,0.0,0.0,548.63,1.82,0,2
130,2026-03-11 23:59:26.747,31.2239,312.07,243.74,44.64,44.64,0.0919,-0.0,0.4,4.41,LAB,0,96,0,-7.93,3.74,1659,1553,159,0.0,0.0,0.0,4.82,207.26,0,2
140,2026-03-11 23:59:27.701,32.1773,312.04,243.23,44.47,44.47,0.1131,0.01,-0.41,3.62,LAB,0,106,0,-7.96,3.23,1659,1553,159,0.0,0.0,0.0,11.67,85.67,0,2
150,2026-03-11 23:59:28.619,33.0952,312.78,242.2,43.29,43.29,0.0869,-0.05,0.0,0.59,LAB,0,116,0,-7.22,2.2,1659,1553,159,0.0,0.0,0.0,5.15,194.14,0,2
160,2026-03-11 23:59:29.987,34.464,312.36,247.3,49.26,49.26,0.5409,-0.25,4.1,7.6,YOLO,0,126,0,-7.64,7.3,1659,1553,159,0.0,0.0,0.0,452.84,2.21,0,3
170,2026-03-11 23:59:30.747,35.2235,315.84,189.45,41.66,41.66,0.092,0.4,-3.58,39.12,LAB,0,136,0,-4.16,-50.55,1659,1522,159,0.0,0.0,0.0,4.39,227.64,0,3
180,2026-03-11 23:59:31.680,36.1562,305.94,244.53,42.16,42.16,0.0956,-0.95,10.99,115.44,LAB,0,146,0,-14.06,4.53,1659,1480,159,0.0,0.0,0.0,4.99,200.44,0,2
190,2026-03-11 23:59:32.607,37.0832,309.1,238.09,38.56,38.56,0.092,2.69,-0.78,30.4,LAB,0,156,0,-10.9,-1.91,1667,1480,167,0.0,0.0,0.0,3.87,258.67,0,2
200,2026-03-11 23:59:33.983,38.46,321.63,280.92,44.49,44.49,0.532,0.05,8.58,16.12,YOLO,0,166,0,1.63,40.92,1667,1498,167,0.0,0.0,0.0,438.26,2.28,0,2
210,2026-03-11 23:59:34.750,39.2263,310.01,258.57,41.56,41.56,0.0913,-0.16,-3.93,43.03,LAB,0,176,0,-9.99,18.57,1667,1543,167,0.0,0.0,0.0,6.86,145.73,0,2
220,2026-03-11 23:59:35.681,40.157,309.94,244.9,41.24,41.24,0.0964,0.0,-0.01,0.07,LAB,0,186,0,-10.06,4.9,1667,1545,167,0.0,0.0,0.0,5.6,178.63,0,2
230,2026-03-11 23:59:36.608,41.0845,309.96,244.93,41.24,41.24,0.0919,0.0,0.0,0.04,LAB,0,196,0,-10.04,4.93,1667,1545,167,0.0,0.0,0.0,5.02,199.26,0,2
240,2026-03-11 23:59:37.997,42.4732,309.8,248.89,47.16,47.16,0.5492,-0.17,3.93,7.17,YOLO,0,206,0,-10.2,8.89,1667,1545,167,0.0,0.0,0.0,461.55,2.17,0,2
250,2026-03-11 23:59:38.842,43.319,309.86,244.96,40.98,40.98,0.0955,-0.13,0.0,1.32,LAB,0,216,0,-10.14,4.96,1667,1545,167,0.0,0.0,0.0,7.31,136.85,0,2
260,2026-03-11 23:59:39.771,44.2474,309.99,244.97,41.23,41.23,0.0922,0.0,0.0,0.01,LAB,0,226,0,-10.01,4.97,1667,1545,167,0.0,0.0,0.0,3.74,267.27,0,2
270,2026-03-11 23:59:40.701,45.1772,309.94,244.98,41.14,41.14,0.0925,0.08,0.0,0.85,LAB,0,236,0,-10.06,4.98,1667,1545,167,0.0,0.0,0.0,5.3,188.69,0,2
280,2026-03-11 23:59:42.063,46.5392,309.8,248.73,46.47,46.47,0.5234,-0.17,3.65,6.97,YOLO,0,246,0,-10.2,8.73,1667,1545,167,0.0,0.0,0.0,435.5,2.3,0,2
290,2026-03-11 23:59:42.847,47.3238,309.98,244.99,41.19,41.19,0.0923,0.03,0.0,0.33,LAB,0,256,0,-10.02,4.99,1667,1545,167,0.0,0.0,0.0,12.01,83.29,0,2
300,2026-03-11 23:59:43.771,48.2476,310.0,244.99,41.23,41.23,0.096,0.0,0.0,0.0,LAB,0,266,0,-10.0,4.99,1667,1545,167,0.0,0.0,0.0,3.87,258.64,0,2
310,2026-03-11 23:59:44.712,49.1882,310.0,245.0,41.23,41.23,0.0927,0.0,-0.0,0.04,LAB,0,276,0,-10.0,5.0,1667,1545,167,0.0,0.0,0.0,4.5,222.24,0,2
320,2026-03-11 23:59:46.308,50.7842,309.86,248.61,46.84,46.84,0.764,-0.12,3.62,4.74,YOLO,0,286,0,-10.14,8.61,1667,1545,167,0.0,0.0,0.0,668.7,1.5,0,2
330,2026-03-11 23:59:47.127,51.604,309.99,244.99,41.21,41.21,0.096,0.02,-0.0,0.18,LAB,0,296,0,-10.01,4.99,1667,1545,167,0.0,0.0,0.0,11.69,85.53,0,2
340,2026-03-11 23:59:48.053,52.5298,309.87,245.0,40.98,40.98,0.0855,-0.13,0.0,1.48,LAB,0,306,0,-10.13,5.0,1667,1545,167,0.0,0.0,0.0,6.94,144.09,0,2
350,2026-03-11 23:59:48.984,53.4601,497.94,259.59,39.31,39.31,0.0913,54.42,4.55,598.22,LAB,0,316,0,177.94,19.59,1601,1551,101,0.443,0.364,1.212,7.86,127.2,0,1
360,2026-03-11 23:59:50.579,55.0558,310.1,343.31,94.33,94.33,0.5518,-76.98,39.11,156.46,LAB,0,326,0,-9.9,103.31,1402,1640,-98,0.254,-1.452,-1.176,435.63,2.3,0,3
370,2026-03-11 23:59:51.373,55.85,17.72,350.46,72.99,72.99,0.0813,-40.98,-22.58,575.18,LAB,0,336,0,-302.28,110.46,1370,1705,-130,0.201,0.254,-1.56,4.98,200.8,0,1
380,2026-03-11 23:59:53.916,58.3922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1370,1705,0.0,0.0,0.0,0.0,487.67,2.05,0,0
390,2026-03-11 23:59:58.069,62.5459,309.04,120.32,50.55,50.55,0.074,-4.1,3.7,74.6,LAB,0,4,1,-10.96,-119.68,1370,1630,-130,0.656,-1.359,-1.56,5.1,195.89,0,2
400,2026-03-11 23:59:59.466,63.9428,350.48,316.56,63.41,63.41,0.5499,12.61,2.4,23.34,LAB,0,14,1,30.48,76.56,1389,1631,-111,0.31,-1.427,-1.332,459.97,2.17,0,3
410,2026-03-12 00:00:00.312,64.788,66.48,206.05,145.56,145.56,0.099,-20.17,26.19,333.74,LAB,0,24,1,-253.52,-33.95,1646,1589,146,0.642,3.367,1.752,5.14,194.72,0,4
420,2026-03-12 00:00:01.380,65.8561,299.46,127.24,351.59,351.59,0.1618,-27.78,4.6,173.98,LAB,0,34,1,-20.54,-112.76,1860,1475,360,0.698,2.381,2.0,7.38,135.44,0,1
430,2026-03-12 00:00:02.974,67.4508,437.66,234.27,520.04,520.04,0.0849,95.01,-48.32,1254.9,LAB,0,44,1,117.66,-5.73,1791,1456,291,0.465,1.393,2.0,6.1,163.99,0,2
440,2026-03-12 00:00:05.012,69.4882,459.18,287.02,310.48,310.48,0.6017,-13.54,0.09,22.5,LAB,0,54,1,139.18,47.02,1570,1423,70,0.374,-0.134,0.84,451.24,2.22,0,5
450,2026-03-12 00:00:06.506,70.9826,295.06,265.83,148.92,148.92,0.1132,25.79,54.27,530.91,LAB,0,63,1,-24.94,25.83,1639,1376,139,0.508,1.997,1.668,5.65,177.03,0,2
460,2026-03-12 00:00:07.466,71.9421,441.44,286.64,117.24,117.24,0.0906,34.8,-18.58,435.36,LAB,0,73,1,121.44,46.64,1606,1435,106,0.339,0.737,1.272,5.23,191.15,0,2
470,2026-03-12 00:00:08.394,72.8703,454.19,227.6,103.02,103.02,0.0855,28.5,18.13,394.95,LAB,0,83,1,134.19,-12.4,1452,1356,-48,0.813,-0.975,0.0,5.28,189.5,0,1
480,2026-03-12 00:00:09.768,74.2447,284.71,152.46,142.04,142.04,0.5394,-57.04,-20.71,112.5,LAB,0,93,1,-35.29,-87.54,1278,1327,-222,0.653,-2.125,-2.0,465.13,2.15,0,1
490,2026-03-12 00:00:10.375,74.8517,399.92,303.67,164.39,164.39,0.0695,-13.54,26.25,425.32,LAB,0,103,1,79.92,63.67,1058,1335,-442,0.374,-2.815,-2.0,17.83,56.08,0,1
500,2026-03-12 00:00:11.512,75.9882,155.75,259.66,90.7,90.7,0.16,48.38,57.64,470.39,LAB,0,113,1,-164.25,19.66,1094,1396,-406,0.503,-0.781,-2.0,11.17,89.52,0,3
510,2026-03-12 00:00:13.097,77.5732,178.33,175.87,99.17,99.17,0.157,-39.32,-20.83,283.34,LAB,0,123,1,-141.67,-64.13,1028,1433,-472,0.621,-1.159,-2.0,4.03,248.18,0,2
520,2026-03-12 00:00:14.903,79.3791,526.45,216.38,76.65,76.65,0.5668,-0.16,3.85,6.79,LAB,0,133,1,206.45,-23.62,856,1358,-644,0.571,-3.663,-2.0,453.85,2.2,0,1
530,2026-03-12 00:00:16.050,80.5263,555.59,243.67,70.96,70.96,0.1599,34.04,20.14,247.35,LAB,0,142,1,235.59,3.67,800,1299,-700,0.532,-3.57,-2.0,5.09,196.56,0,1
540,2026-03-12 00:00:17.565,82.0417,49.94,296.36,60.61,60.61,0.1229,-50.82,-8.53,419.5,LAB,0,152,1,-270.06,56.36,901,1385,-599,0.313,-0.218,-2.0,8.39,119.14,0,2
550,2026-03-12 00:00:18.426,82.9024,392.67,228.1,60.2,60.2,0.081,35.8,-1.23,442.41,LAB,0,162,1,72.67,-11.9,1040,1397,-460,0.521,-2.255,-2.0,3.99,250.72,0,1
560,2026-03-12 00:00:19.542,84.0185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,170,1,0.0,0.0,935,1374,0.0,0.0,0.0,0.0,467.24,2.14,0,0
570,2026-03-12 00:00:22.649,87.1251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,935,1374,0.0,0.0,0.0,0.0,472.12,2.12,0,0
