Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-11 23:55:34.504,6.5039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,712.07,1.4,0,0
20,2026-03-11 23:55:40.437,12.4369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,466.15,2.15,0,0
30,2026-03-11 23:55:46.625,18.6244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,701.65,1.43,0,0
40,2026-03-11 23:55:51.572,23.5721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,479.68,2.08,0,0
50,2026-03-11 23:55:56.605,28.6051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,475.97,2.1,0,0
60,2026-03-11 23:56:02.307,34.3071,280.56,260.72,49.24,49.24,0.0,0.0,0.0,0.0,YOLO,0,1,0,-39.44,20.72,1506,1503,6,0.0,0.0,0.0,681.03,1.47,0,2
70,2026-03-11 23:56:03.012,35.0119,308.81,250.33,32.08,32.08,0.0928,3.75,-0.19,40.43,LAB,0,11,0,-11.19,10.33,1547,1517,47,0.0,0.0,0.0,5.58,179.35,0,2
80,2026-03-11 23:56:04.395,36.3952,310.99,253.45,36.31,36.31,0.664,0.03,2.99,4.5,YOLO,0,21,0,-9.01,13.45,1547,1517,47,0.0,0.0,0.0,602.28,1.66,0,2
90,2026-03-11 23:56:05.070,37.0696,311.06,250.75,31.84,31.84,0.0798,0.12,0.36,4.79,LAB,0,31,0,-8.94,10.75,1547,1517,47,0.0,0.0,0.0,3.62,276.14,0,2
100,2026-03-11 23:56:05.896,37.8955,310.95,250.44,32.25,32.25,0.0887,0.07,-0.34,3.87,LAB,0,41,0,-9.05,10.44,1547,1517,47,0.0,0.0,0.0,12.73,78.54,0,2
110,2026-03-11 23:56:06.760,38.7595,311.01,250.76,31.87,31.87,0.1578,0.1,0.38,2.51,LAB,0,51,0,-8.99,10.76,1547,1517,47,0.329,0.066,0.0,75.4,13.26,0,2
120,2026-03-11 23:56:07.973,39.9726,311.27,271.75,47.23,47.23,0.5786,3.73,5.16,11.01,YOLO,0,61,0,-8.73,31.75,1555,1538,55,0.423,0.767,0.66,501.95,1.99,0,2
130,2026-03-11 23:56:08.666,40.666,321.35,315.4,163.68,163.68,0.077,-11.45,-5.21,163.25,LAB,0,71,0,1.35,75.4,1527,1651,27,0.393,-0.058,0.0,6.59,151.75,0,7
140,2026-03-11 23:56:09.475,41.4751,316.21,192.73,126.59,126.59,0.0956,4.55,1.14,49.04,LAB,0,81,0,-3.79,-47.27,1524,1642,24,0.877,0.012,0.0,13.18,75.89,0,6
150,2026-03-11 23:56:10.257,42.2567,296.18,234.37,96.49,96.49,0.0828,-16.72,17.2,289.52,LAB,0,91,0,-23.82,-5.63,1505,1590,5,0.766,0.072,0.0,6.93,144.21,0,2
160,2026-03-11 23:56:11.516,43.5156,366.35,241.73,78.96,78.96,0.5309,23.24,-9.07,46.98,LAB,0,101,0,46.35,1.73,1564,1542,64,0.52,0.663,0.768,458.89,2.18,0,4
170,2026-03-11 23:56:12.245,44.2446,276.93,151.3,54.79,54.79,0.0761,5.39,-20.02,272.25,LAB,0,111,0,-43.07,-88.7,1649,1471,149,0.671,2.155,1.788,6.24,160.14,0,2
180,2026-03-11 23:56:13.060,45.0594,386.33,267.87,54.54,54.54,0.0946,23.3,2.94,248.08,LAB,0,121,0,66.33,27.87,1658,1437,158,0.428,1.605,1.896,10.21,97.94,0,2
190,2026-03-11 23:56:13.841,45.8409,374.65,256.44,58.47,58.47,0.0763,-18.4,-0.28,241.34,LAB,0,131,0,54.65,16.44,1521,1478,21,0.613,-0.53,0.0,6.32,158.21,0,2
200,2026-03-11 23:56:15.123,47.1233,325.15,251.91,61.42,61.42,0.5497,2.27,-0.66,4.3,YOLO,0,141,0,5.15,11.91,1513,1501,13,0.647,-0.053,0.0,492.75,2.03,0,1
210,2026-03-11 23:56:15.848,47.848,286.09,260.67,82.14,82.14,0.0849,-6.26,-2.87,81.22,LAB,0,151,0,-33.91,20.67,1526,1556,26,0.606,0.187,0.0,20.59,48.56,0,3
220,2026-03-11 23:56:16.653,48.6526,309.97,122.69,116.69,116.69,0.0866,-6.74,-25.58,305.25,LAB,0,161,0,-10.03,-117.31,1569,1500,69,0.686,0.95,0.828,12.79,78.16,0,2
230,2026-03-11 23:56:17.447,49.4468,275.41,281.61,166.83,166.83,0.0878,-13.44,-13.27,215.21,LAB,0,171,0,-44.59,41.61,1649,1458,149,0.352,2.102,1.788,6.11,163.65,0,1
240,2026-03-11 23:56:18.720,50.7194,326.72,204.41,46.0,46.0,0.5644,13.04,25.72,51.09,YOLO,0,181,0,6.72,-35.59,1659,1410,159,0.628,1.971,1.908,495.92,2.02,0,2
250,2026-03-11 23:56:19.439,51.439,398.97,278.24,55.25,55.25,0.0838,-1.72,2.65,37.71,LAB,0,191,0,78.97,38.24,1580,1444,80,0.39,0.427,0.96,9.18,108.97,0,2
260,2026-03-11 23:56:20.221,52.2205,326.6,245.97,59.63,59.63,0.0792,0.72,1.45,20.4,LAB,0,201,0,6.6,5.97,1541,1472,41,0.671,-0.117,0.0,5.5,181.96,0,2
270,2026-03-11 23:56:21.028,53.0278,317.98,276.06,68.92,68.92,0.0793,-4.86,1.95,66.02,LAB,0,211,0,-2.02,36.06,1532,1499,32,0.566,-0.036,0.0,5.33,187.77,0,1
280,2026-03-11 23:56:22.292,54.2916,284.02,266.26,101.66,101.66,0.5521,14.06,-2.21,25.78,LAB,0,221,0,-35.98,26.26,1580,1544,80,0.419,1.251,0.96,473.17,2.11,0,3
