Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-11 23:29:07.878,6.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,462.49,2.16,0,0
20,2026-03-11 23:29:12.593,10.7761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,459.0,2.18,0,0
30,2026-03-11 23:29:17.325,15.5076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,459.54,2.18,0,0
40,2026-03-11 23:29:22.032,20.2151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,452.15,2.21,0,0
50,2026-03-11 23:29:26.771,24.9538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,458.57,2.18,0,0
60,2026-03-11 23:29:31.442,29.6248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,462.23,2.16,0,0
70,2026-03-11 23:29:36.156,34.3391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,446.43,2.24,0,0
80,2026-03-11 23:29:40.884,39.0671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,471.15,2.12,0,0
90,2026-03-11 23:29:45.506,43.6887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,469.32,2.13,0,0
100,2026-03-11 23:29:50.196,48.3792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,457.39,2.19,0,0
110,2026-03-11 23:29:56.018,54.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,771.98,1.3,0,0
120,2026-03-11 23:30:01.180,59.3628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,462.45,2.16,0,0
130,2026-03-11 23:30:06.082,64.2647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,540.67,1.85,0,0
140,2026-03-11 23:30:12.369,70.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,650.56,1.54,0,0
150,2026-03-11 23:30:17.139,75.3217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,457.68,2.18,0,0
160,2026-03-11 23:30:22.755,80.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,471.33,2.12,0,0
170,2026-03-11 23:30:28.541,86.7238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,482.69,2.07,0,0
180,2026-03-11 23:30:33.411,91.5942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,493.15,2.03,0,0
190,2026-03-11 23:30:38.294,96.4766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,661.84,1.51,0,0
200,2026-03-11 23:30:43.344,101.5268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,436.85,2.29,0,0
210,2026-03-11 23:30:48.061,106.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,468.66,2.13,0,0
220,2026-03-11 23:30:52.901,111.0842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,473.22,2.11,0,0
230,2026-03-11 23:30:57.848,116.0309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,482.2,2.07,0,0
240,2026-03-11 23:31:02.546,120.7294,205.38,245.91,33.35,33.35,0.5917,35.34,-0.31,59.74,YOLO,0,5,0,-114.62,5.91,1611,1500,111,0.0,0.0,0.0,519.35,1.93,0,1
250,2026-03-11 23:31:03.243,121.4264,306.02,243.18,30.1,30.1,0.084,3.56,0.14,42.41,LAB,0,15,0,-13.98,3.18,1667,1500,167,0.0,0.0,0.0,6.23,160.48,0,1
260,2026-03-11 23:31:04.044,122.2265,308.95,242.67,30.22,30.22,0.0879,0.19,-0.31,4.15,LAB,0,25,0,-11.05,2.67,1667,1500,167,0.0,0.0,0.0,7.49,133.52,0,1
270,2026-03-11 23:31:04.840,123.0227,309.85,243.87,29.76,29.76,0.0768,3.77,-0.49,49.53,LAB,0,35,0,-10.15,3.87,1674,1500,174,0.0,0.0,0.0,5.4,185.1,0,1
280,2026-03-11 23:31:06.143,124.3262,312.79,244.73,33.57,33.57,0.5919,0.82,1.1,2.31,YOLO,0,45,0,-7.21,4.73,1674,1500,174,0.0,0.0,0.0,517.56,1.93,0,1
290,2026-03-11 23:31:06.828,125.0111,311.94,243.59,30.01,30.01,0.0803,-0.08,0.01,0.94,LAB,0,55,0,-8.06,3.59,1674,1500,174,0.0,0.0,0.0,4.28,233.63,0,1
300,2026-03-11 23:31:07.650,125.8329,311.75,243.6,30.05,30.05,0.0864,-0.11,0.09,1.66,LAB,0,65,0,-8.25,3.6,1674,1500,174,0.0,0.0,0.0,14.11,70.86,0,1
310,2026-03-11 23:31:08.428,126.6104,312.77,242.36,30.19,30.19,0.0884,0.63,-0.64,10.19,LAB,0,75,0,-7.23,2.36,1674,1500,174,0.0,0.0,0.0,15.45,64.74,0,1
320,2026-03-11 23:31:09.740,127.9224,315.42,243.15,33.96,33.96,0.5984,-1.0,1.97,3.69,YOLO,0,85,0,-4.58,3.15,1674,1500,174,0.0,0.0,0.0,525.91,1.9,0,1
330,2026-03-11 23:31:10.417,128.5998,563.62,243.6,31.29,31.29,0.0841,59.54,-0.93,708.14,LAB,0,94,0,243.62,3.6,1591,1500,91,0.479,-0.169,1.092,5.02,199.31,0,1
340,2026-03-11 23:31:11.601,129.7838,290.71,243.23,52.11,52.11,0.1131,-23.97,-5.36,217.09,LAB,0,104,0,-29.29,3.23,1437,1503,-63,0.476,-0.789,-0.756,5.19,192.73,0,2
