Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-11 23:43:04.813,6.6465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,662.31,1.51,0,0
20,2026-03-11 23:43:10.409,12.2427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,469.16,2.13,0,0
30,2026-03-11 23:43:16.029,17.8624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,618.46,1.62,0,0
40,2026-03-11 23:43:22.649,24.4823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,530.01,1.89,0,0
50,2026-03-11 23:43:27.393,29.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,461.18,2.17,0,0
60,2026-03-11 23:43:32.094,33.9279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,456.89,2.19,0,0
70,2026-03-11 23:43:35.659,37.4932,280.46,279.89,46.9,46.9,0.1399,6.69,-6.61,67.24,LAB,0,6,0,-39.54,39.89,1548,1546,48,0.0,0.0,0.0,9.61,104.02,0,1
80,2026-03-11 23:43:37.547,39.3812,311.66,250.1,53.41,53.41,0.7053,-0.93,0.46,1.48,YOLO,0,16,0,-8.34,10.1,1561,1564,61,0.0,0.0,0.0,579.9,1.72,0,1
90,2026-03-11 23:43:38.965,40.7984,312.21,248.05,45.15,45.15,0.132,-0.1,-0.19,1.6,LAB,0,26,0,-7.79,8.05,1561,1564,61,0.0,0.0,0.0,4.93,203.04,0,1
100,2026-03-11 23:43:40.297,42.1312,312.04,248.09,45.42,45.42,0.1339,-0.09,-0.04,0.73,LAB,0,36,0,-7.96,8.09,1561,1564,61,0.0,0.0,0.0,9.68,103.34,0,1
110,2026-03-11 23:43:41.632,43.4654,312.08,248.11,45.44,45.44,0.1369,0.04,0.03,0.37,LAB,0,46,0,-7.92,8.11,1561,1564,61,0.0,0.0,0.0,11.53,86.76,0,1
