Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 00:30:33.255,5.7692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,528.13,1.89,0,0
20,2026-03-12 00:30:39.837,12.3508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,555.65,1.8,0,0
30,2026-03-12 00:30:45.958,18.4727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,467.43,2.14,0,0
40,2026-03-12 00:30:51.487,24.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,476.5,2.1,0,0
50,2026-03-12 00:30:56.381,28.8954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,518.93,1.93,0,1
60,2026-03-12 00:31:00.911,33.4252,274.35,257.17,41.77,41.77,0.6771,6.37,-0.04,9.41,YOLO,0,6,0,-45.65,17.17,1550,1518,50,0.0,0.0,0.0,617.69,1.62,1,1
70,2026-03-12 00:31:03.098,35.6119,316.32,250.76,41.44,41.44,0.1101,0.06,0.3,2.74,CSRT,0,16,0,-3.68,10.76,1565,1529,65,0.0,0.0,0.0,32.7,30.58,1,0
80,2026-03-12 00:31:04.473,36.9877,314.9,249.92,39.96,39.96,0.1049,0.58,0.05,5.51,CSRT,0,26,0,-5.1,9.92,1565,1529,65,0.0,0.0,0.0,27.78,36.0,1,0
90,2026-03-12 00:31:06.033,38.547,314.81,249.46,41.64,41.64,0.5999,-0.25,0.52,0.96,YOLO,0,36,0,-5.19,9.46,1565,1529,65,0.0,0.0,0.0,515.94,1.94,1,1
100,2026-03-12 00:31:07.030,39.544,315.18,250.02,40.15,40.15,0.1046,-0.08,-0.06,0.95,CSRT,0,46,0,-4.82,10.02,1565,1529,65,0.0,0.0,0.0,30.7,32.57,1,0
110,2026-03-12 00:31:08.410,40.9246,314.08,249.61,40.0,40.0,0.1006,-0.01,0.63,6.23,CSRT,0,56,0,-5.92,9.61,1565,1529,65,0.0,0.0,0.0,32.56,30.71,1,0
