Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 00:23:27.159,6.1303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,734.05,1.36,0,0
20,2026-03-12 00:23:33.814,12.7854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,516.67,1.94,0,0
30,2026-03-12 00:23:39.421,18.3925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,479.18,2.09,0,0
40,2026-03-12 00:23:45.038,24.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,493.61,2.03,0,0
50,2026-03-12 00:23:50.015,28.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,454.07,2.2,0,1
60,2026-03-12 00:23:52.675,31.6467,334.62,254.81,39.55,39.55,0.7548,-2.51,0.4,3.37,YOLO,0,9,0,14.62,14.81,1470,1520,-30,0.0,0.0,0.0,686.82,1.46,1,1
70,2026-03-12 00:23:53.598,32.5699,328.94,250.94,40.01,40.01,0.0979,-0.09,0.0,0.91,CSRT,0,19,0,8.94,10.94,1470,1520,-30,0.0,0.0,0.0,33.02,30.29,1,0
80,2026-03-12 00:23:55.082,34.0537,329.79,249.8,40.0,40.0,0.1027,0.24,0.23,3.21,CSRT,0,29,0,9.79,9.8,1470,1520,-30,0.0,0.0,0.0,29.16,34.3,1,0
90,2026-03-12 00:23:56.765,35.7363,329.52,249.75,39.56,39.56,0.6934,0.08,-0.08,0.16,YOLO,0,39,0,9.52,9.75,1470,1520,-30,0.496,-0.102,0.0,638.45,1.57,1,1
100,2026-03-12 00:23:57.758,36.7301,325.98,277.76,35.1,35.1,0.1227,15.74,-4.72,133.91,CSRT,0,49,0,5.98,37.76,1472,1578,-28,0.539,-0.052,0.0,44.67,22.39,1,0
110,2026-03-12 00:24:00.773,39.7448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,54,0,0.0,0.0,1472,1636,0.0,0.0,0.0,0.0,495.5,2.02,0,0
120,2026-03-12 00:24:03.531,42.503,405.07,243.71,85.94,85.94,0.619,-13.7,7.12,24.94,CSRT,0,62,0,85.07,3.71,1361,1642,-139,0.484,-2.286,-1.668,518.03,1.93,1,0
130,2026-03-12 00:24:04.905,43.877,567.85,283.03,87.91,87.91,0.16,11.53,19.17,139.82,CSRT,0,72,0,247.85,43.03,1075,1649,-425,0.405,-3.954,-2.0,43.99,22.73,1,0
140,2026-03-12 00:24:08.169,47.1402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,942,1657,0.0,0.0,0.0,0.0,471.28,2.12,0,1
150,2026-03-12 00:24:13.370,52.3411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,942,1657,0.0,0.0,0.0,0.0,676.63,1.48,0,1
160,2026-03-12 00:24:16.618,55.5892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,5,1,0.0,0.0,800,1631,0.0,0.0,0.0,0.0,464.26,2.15,0,0
170,2026-03-12 00:24:21.280,60.2518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,800,1631,0.0,0.0,0.0,0.0,466.75,2.14,0,0
