Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 00:49:00.592,6.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,678.77,1.47,0,0
20,2026-03-12 00:49:06.508,12.5334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,482.83,2.07,0,0
30,2026-03-12 00:49:13.141,19.1665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,564.71,1.77,0,0
40,2026-03-12 00:49:18.303,24.3284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,481.68,2.08,0,0
50,2026-03-12 00:49:23.092,29.1171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,442.51,2.26,0,1
60,2026-03-12 00:49:26.990,33.0153,188.93,310.03,70.07,70.07,0.8292,52.27,-21.99,68.38,YOLO,0,7,0,-131.07,70.03,1695,1602,195,0.0,0.0,0.0,787.37,1.27,1,1
70,2026-03-12 00:49:27.790,33.8156,322.17,241.81,64.46,64.46,0.0546,0.22,0.86,16.2,CSRT,0,17,0,2.17,1.81,1714,1614,214,0.0,0.0,0.0,46.92,21.31,1,0
80,2026-03-12 00:49:29.254,35.2793,317.76,240.8,60.67,60.67,0.112,-0.56,0.3,5.63,CSRT,0,27,0,-2.24,0.8,1714,1614,214,0.0,0.0,0.0,102.0,9.8,1,0
90,2026-03-12 00:49:30.855,36.8801,319.79,241.48,70.91,70.91,0.6766,0.24,-0.35,0.63,YOLO,0,37,0,-0.21,1.48,1714,1614,214,0.425,1.805,2.0,664.47,1.5,1,1
100,2026-03-12 00:49:31.630,37.6553,529.39,352.29,58.52,58.52,0.0689,28.28,9.08,430.81,CSRT,0,47,0,209.39,112.29,1561,1718,61,0.202,-0.524,0.732,58.45,17.11,1,0
110,2026-03-12 00:49:33.322,39.3475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,55,0,0.0,0.0,1321,1866,0.0,0.0,0.0,0.0,499.17,2.0,0,0
120,2026-03-12 00:49:38.225,44.2502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1321,1866,0.0,0.0,0.0,0.0,480.65,2.08,0,0
130,2026-03-12 00:49:43.347,49.3721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1321,1866,0.0,0.0,0.0,0.0,693.59,1.44,0,1
140,2026-03-12 00:49:46.054,52.0791,520.66,34.81,60.68,60.68,0.1324,37.91,7.33,291.57,CSRT,0,9,1,200.66,-205.19,1124,1621,-376,0.699,-3.477,-2.0,41.78,23.93,1,0
150,2026-03-12 00:49:47.796,53.8218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,18,1,0.0,0.0,857,1360,0.0,0.0,0.0,0.0,456.49,2.19,0,0
160,2026-03-12 00:49:52.503,58.5289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,857,1360,0.0,0.0,0.0,0.0,439.72,2.27,0,0
170,2026-03-12 00:49:57.320,63.3457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,857,1360,0.0,0.0,0.0,0.0,472.37,2.12,0,1
180,2026-03-12 00:50:00.721,66.7461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,5,2,0.0,0.0,800,1455,0.0,0.0,0.0,0.0,475.33,2.1,0,0
190,2026-03-12 00:50:05.439,71.4648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,800,1455,0.0,0.0,0.0,0.0,458.72,2.18,0,0
200,2026-03-12 00:50:10.158,76.1835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,800,1455,0.0,0.0,0.0,0.0,476.77,2.1,0,1
210,2026-03-12 00:50:15.226,81.2514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,800,1455,0.0,0.0,0.0,0.0,619.69,1.61,0,1
220,2026-03-12 00:50:16.996,83.0213,142.83,277.3,39.04,39.04,0.0956,-36.32,1.34,380.09,CSRT,0,9,3,-177.17,37.3,950,1533,-550,0.376,-0.711,-2.0,34.18,29.25,1,0
230,2026-03-12 00:50:18.389,84.4145,170.94,271.88,47.29,47.29,0.0917,-7.14,-8.47,120.81,CSRT,0,19,3,-149.06,31.88,1193,1590,-307,0.389,-0.783,-2.0,83.28,12.01,1,0
240,2026-03-12 00:50:19.818,85.8434,333.12,283.01,97.22,97.22,0.624,54.96,11.93,90.13,YOLO,0,29,3,13.12,43.01,1328,1619,-172,0.39,-1.775,-2.0,599.52,1.67,1,1
250,2026-03-12 00:50:20.910,86.9353,474.37,213.48,108.34,108.34,0.1264,16.36,-0.4,129.49,CSRT,0,39,3,154.37,-26.52,1198,1587,-302,0.571,-3.149,-2.0,48.68,20.54,1,0
260,2026-03-12 00:50:23.069,89.0947,283.62,102.75,123.94,123.94,0.1223,-8.41,-14.28,135.55,CSRT,0,49,3,-36.38,-137.25,1139,1421,-361,0.7,-1.852,-2.0,54.93,18.2,1,0
270,2026-03-12 00:50:24.714,90.7394,434.56,188.13,118.75,118.75,0.58,-7.34,14.0,27.26,CSRT,0,59,3,114.56,-51.87,1060,1216,-440,0.661,-2.926,-2.0,508.19,1.97,1,0
280,2026-03-12 00:50:25.651,91.6764,340.5,128.96,136.95,136.95,0.0953,8.37,-7.64,118.96,CSRT,0,69,3,20.5,-111.04,992,1200,-508,0.699,-2.202,-2.0,53.1,18.83,1,0
290,2026-03-12 00:50:28.364,94.3898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,75,3,0.0,0.0,943,1200,0.0,0.0,0.0,0.0,479.66,2.08,0,0
300,2026-03-12 00:50:33.228,99.2536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,943,1200,0.0,0.0,0.0,0.0,466.08,2.15,0,0
310,2026-03-12 00:50:38.232,104.2572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,943,1200,0.0,0.0,0.0,0.0,581.56,1.72,0,0
