Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 00:36:19.869,6.4207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,743.35,1.35,0,0
20,2026-03-12 00:36:26.109,12.6605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,514.68,1.94,0,0
30,2026-03-12 00:36:31.681,18.2323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,477.54,2.09,0,0
40,2026-03-12 00:36:37.093,23.6449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,485.6,2.06,0,0
50,2026-03-12 00:36:41.874,28.4261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,462.65,2.16,0,0
60,2026-03-12 00:36:46.723,33.2743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,472.27,2.12,0,2
70,2026-03-12 00:36:52.625,39.1762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,514.64,1.94,0,1
80,2026-03-12 00:36:57.712,44.2642,424.34,235.02,36.75,36.75,0.0586,-0.51,-0.03,8.7,CSRT,0,2,0,104.34,-4.98,1468,1500,-32,0.0,0.0,0.0,49.37,20.26,1,0
90,2026-03-12 00:36:59.342,45.8934,332.66,234.65,35.72,35.72,0.7323,-3.3,-0.35,4.53,YOLO,0,12,0,12.66,-5.35,1402,1500,-98,0.0,0.0,0.0,659.82,1.52,1,1
100,2026-03-12 00:37:00.312,46.8635,326.53,234.25,41.99,41.99,0.1142,0.03,-0.43,3.75,CSRT,0,22,0,6.53,-5.75,1402,1500,-98,0.0,0.0,0.0,29.67,33.7,1,0
