Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 00:19:21.178,8.5041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,557.62,1.79,0,0
20,2026-03-12 00:19:26.696,14.0219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,669.46,1.49,0,0
30,2026-03-12 00:19:31.931,19.2571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,658.89,1.52,0,0
40,2026-03-12 00:19:37.995,25.3214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,474.44,2.11,0,0
50,2026-03-12 00:19:42.858,30.1841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,478.94,2.09,0,0
60,2026-03-12 00:19:47.734,35.0602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,470.49,2.13,0,1
70,2026-03-12 00:19:51.172,38.4981,260.82,245.67,41.79,41.79,0.0918,6.87,0.55,75.12,CSRT,0,6,0,-59.18,5.67,1562,1500,62,0.0,0.0,0.0,30.08,33.24,1,0
80,2026-03-12 00:19:52.670,39.9961,318.4,243.99,39.99,39.99,0.0836,0.06,-0.0,0.73,CSRT,0,16,0,-1.6,3.99,1575,1500,75,0.0,0.0,0.0,28.17,35.49,1,0
90,2026-03-12 00:19:54.313,41.6391,318.13,244.55,39.32,39.32,0.7943,-0.91,0.19,1.18,YOLO,0,26,0,-1.87,4.55,1575,1500,75,0.0,0.0,0.0,752.87,1.33,1,1
100,2026-03-12 00:19:55.195,42.521,317.22,244.77,40.0,40.0,0.0849,-0.01,0.4,4.66,CSRT,0,36,0,-2.78,4.77,1575,1500,75,0.0,0.0,0.0,38.48,25.99,1,0
110,2026-03-12 00:19:56.940,44.2661,317.0,244.0,40.0,40.0,0.0827,-0.01,-0.02,0.26,CSRT,0,46,0,-3.0,4.0,1575,1500,75,0.0,0.0,0.0,31.97,31.28,1,0
120,2026-03-12 00:19:58.514,45.8399,317.51,244.74,39.43,39.43,0.724,-0.5,-0.26,0.78,YOLO,0,56,0,-2.49,4.74,1575,1500,75,0.0,0.0,0.0,673.9,1.48,1,1
130,2026-03-12 00:19:59.402,46.7279,317.33,244.07,40.17,40.17,0.1101,-0.56,-0.13,5.2,CSRT,0,66,0,-2.67,4.07,1575,1500,75,0.0,0.0,0.0,64.72,15.45,1,0
140,2026-03-12 00:20:00.960,48.2862,317.98,244.64,40.43,40.43,0.0719,0.05,0.61,8.53,CSRT,0,76,0,-2.02,4.64,1575,1500,75,0.239,0.488,0.9,47.97,20.84,1,0
