Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 00:26:29.819,5.4616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,436.66,2.29,0,0
20,2026-03-12 00:26:36.671,12.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,912.09,1.1,0,0
30,2026-03-12 00:26:42.388,18.0309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,703.03,1.42,0,0
40,2026-03-12 00:26:48.034,23.6765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,484.25,2.07,0,0
50,2026-03-12 00:26:52.894,28.5366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,477.09,2.1,0,1
60,2026-03-12 00:26:57.236,32.8791,349.12,231.03,32.92,32.92,0.8681,-5.94,0.02,6.84,YOLO,0,6,0,29.12,-8.97,1467,1500,-33,0.0,0.0,0.0,764.99,1.31,1,1
70,2026-03-12 00:26:58.354,33.9965,325.81,231.01,40.06,40.06,0.1281,-0.06,-0.03,0.52,CSRT,0,16,0,5.81,-8.99,1452,1500,-48,0.0,0.0,0.0,34.22,29.23,1,0
80,2026-03-12 00:27:00.042,35.6845,325.82,231.0,39.97,39.97,0.1122,0.01,-0.0,0.09,CSRT,0,26,0,5.82,-9.0,1452,1500,-48,0.0,0.0,0.0,37.31,26.8,1,0
90,2026-03-12 00:27:01.717,37.3595,322.34,237.76,34.43,34.43,0.6152,-0.97,3.37,5.7,YOLO,0,36,0,2.34,-2.24,1452,1500,-48,0.707,-0.005,0.0,525.37,1.9,1,1
100,2026-03-12 00:27:02.764,38.4065,355.28,271.16,43.1,43.1,0.1199,16.26,-6.69,146.64,CSRT,0,46,0,35.28,31.16,1442,1538,-58,0.438,-0.738,-0.696,30.54,32.75,1,0
110,2026-03-12 00:27:04.320,39.9632,341.99,314.27,45.73,45.73,0.1015,-12.49,20.85,239.5,CSRT,0,56,0,21.99,74.27,1359,1600,-141,0.314,-1.953,-1.692,31.23,32.02,1,0
120,2026-03-12 00:27:06.043,41.6855,336.47,275.37,160.67,160.67,0.6244,13.36,-68.15,111.23,YOLO,0,66,0,16.47,35.37,1337,1749,-163,0.296,-2.097,-1.956,544.71,1.84,1,2
130,2026-03-12 00:27:07.418,43.0608,392.39,77.64,176.9,176.9,0.1596,19.56,-25.08,199.34,CSRT,0,76,0,72.39,-162.36,1411,1642,-89,0.694,-1.4,-1.068,60.66,16.48,1,0
140,2026-03-12 00:27:09.345,44.9877,547.55,185.65,173.62,173.62,0.1617,25.1,-29.15,237.82,CSRT,0,86,0,227.55,-54.35,1277,1547,-223,0.587,-3.573,-2.0,61.22,16.34,1,0
150,2026-03-12 00:27:11.577,47.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,93,0,0.0,0.0,1067,1513,0.0,0.0,0.0,0.0,465.44,2.15,0,0
160,2026-03-12 00:27:16.261,51.9037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1067,1513,0.0,0.0,0.0,0.0,463.93,2.16,0,0
170,2026-03-12 00:27:21.341,56.9833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1067,1513,0.0,0.0,0.0,0.0,446.1,2.24,0,1
180,2026-03-12 00:27:24.124,59.7667,404.7,322.91,39.18,39.18,0.5375,0.34,3.64,6.8,CSRT,0,8,1,84.7,82.91,978,1559,-522,0.283,-2.708,-2.0,459.75,2.18,1,0
190,2026-03-12 00:27:26.290,61.9332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,15,1,0.0,0.0,881,1666,0.0,0.0,0.0,0.0,461.9,2.16,0,0
200,2026-03-12 00:27:30.956,66.5986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,881,1666,0.0,0.0,0.0,0.0,457.8,2.18,0,0
210,2026-03-12 00:27:35.898,71.5408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,881,1666,0.0,0.0,0.0,0.0,511.09,1.96,0,1
220,2026-03-12 00:27:37.422,73.0646,347.67,222.06,39.12,39.12,0.1276,-12.3,-3.27,99.69,CSRT,0,10,2,27.67,-17.94,867,1573,-633,0.555,-2.182,-2.0,42.78,23.38,1,0
230,2026-03-12 00:27:38.971,74.6135,299.89,212.92,42.64,42.64,0.1182,-1.2,2.5,23.45,CSRT,0,20,2,-20.11,-27.08,880,1530,-620,0.571,-1.789,-2.0,35.63,28.06,1,0
240,2026-03-12 00:27:40.638,76.2811,363.1,230.83,41.93,41.93,0.5821,9.78,6.84,20.49,CSRT,0,30,2,43.1,-9.17,856,1517,-644,0.524,-2.309,-2.0,504.03,1.98,1,1
