Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-11 20:17:02.799,5.7786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,712.32,1.4,0,0
20,2026-03-11 20:17:09.411,12.3911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,461.1,2.17,0,0
30,2026-03-11 20:17:16.255,19.2345,322.91,257.06,39.08,39.08,0.0,0.0,0.0,0.0,YOLO,0,1,0,2.91,17.06,1500,1503,0,0.0,0.0,0.0,683.09,1.46,0,1
40,2026-03-11 20:17:17.581,20.561,322.9,252.65,39.55,39.55,0.5294,1.9,0.65,3.79,YOLO,0,11,0,2.9,12.65,1500,1521,0,0.0,0.0,0.0,424.51,2.36,0,1
50,2026-03-11 20:17:18.540,21.5199,321.0,252.0,36.72,36.72,0.1041,0.0,0.0,0.0,LAB,0,21,0,1.0,12.0,1500,1521,0,0.0,0.0,0.0,3.27,305.8,0,1
60,2026-03-11 20:17:19.604,22.5839,321.0,252.0,36.72,36.72,0.1074,0.0,0.0,0.0,LAB,0,31,0,1.0,12.0,1500,1521,0,0.0,0.0,0.0,3.3,303.28,0,1
70,2026-03-11 20:17:20.668,23.6482,320.0,253.0,36.06,36.06,0.1082,0.0,0.0,0.0,LAB,0,41,0,0.0,13.0,1500,1521,0,0.0,0.0,0.0,3.56,280.72,0,1
80,2026-03-11 20:17:22.338,25.3176,322.86,252.58,39.43,39.43,0.7133,2.86,0.58,4.09,YOLO,0,51,0,2.86,12.58,1500,1521,0,0.0,0.0,0.0,608.8,1.64,0,1
90,2026-03-11 20:17:23.231,26.2111,320.0,253.0,36.06,36.06,0.1186,-1.0,1.0,11.93,LAB,0,61,0,0.0,13.0,1500,1521,0,0.0,0.0,0.0,3.35,298.59,0,1
100,2026-03-11 20:17:24.280,27.2602,321.0,252.0,36.72,36.72,0.093,0.0,0.0,0.0,LAB,0,71,0,1.0,12.0,1500,1521,0,0.0,0.0,0.0,3.32,301.01,0,1
110,2026-03-11 20:17:25.355,28.3352,321.0,252.0,36.72,36.72,0.115,0.0,0.0,0.0,LAB,0,81,0,1.0,12.0,1500,1521,0,0.0,0.0,0.0,3.26,306.51,0,1
