Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-11 20:08:57.739,7.8293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,579.93,1.72,0,0
20,2026-03-11 20:09:03.376,13.4663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,481.02,2.08,0,0
30,2026-03-11 20:09:08.264,18.3545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,480.23,2.08,0,0
40,2026-03-11 20:09:13.073,23.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,456.6,2.19,0,0
50,2026-03-11 20:09:17.787,27.8766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,450.93,2.22,0,0
60,2026-03-11 20:09:22.776,32.8657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,588.38,1.7,0,0
70,2026-03-11 20:09:27.947,38.0367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,485.54,2.06,0,0
80,2026-03-11 20:09:33.900,43.9896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,890.66,1.12,0,0
90,2026-03-11 20:09:39.426,49.5158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,493.99,2.02,0,0
100,2026-03-11 20:09:44.319,54.4093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,482.72,2.07,0,0
110,2026-03-11 20:09:50.218,60.3081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,588.58,1.7,0,0
120,2026-03-11 20:09:53.820,63.9102,299.72,274.85,50.8,50.8,0.5336,2.41,-0.62,4.67,YOLO,0,7,0,-20.28,34.85,1528,1535,28,0.557,0.239,0.0,484.97,2.06,0,5
130,2026-03-11 20:09:54.413,64.5032,426.0,320.0,53.37,53.37,0.0795,17.0,13.0,269.33,LAB,0,17,0,106.0,80.0,1475,1645,-25,0.409,-0.691,0.0,4.18,238.99,0,6
140,2026-03-11 20:09:55.198,65.2883,195.0,136.0,70.46,70.46,0.0762,-44.0,-2.0,578.4,LAB,0,27,0,-125.0,-104.0,1443,1572,-57,0.697,-0.149,-0.684,3.41,293.43,0,3
150,2026-03-11 20:09:55.998,66.0883,171.0,113.0,159.52,159.52,0.0801,33.0,27.0,532.1,LAB,0,37,0,-149.0,-127.0,1723,1379,223,0.702,3.396,2.0,3.62,276.6,0,4
