Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active
10,2026-03-11 18:27:04.323,5.6136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,464.29,2.15,0
20,2026-03-11 18:27:10.024,11.3143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,475.85,2.1,0
30,2026-03-11 18:27:15.509,16.7987,298.61,262.19,42.29,42.29,0.5955,2.25,-0.31,3.82,CSRT,0,4,0,277.61,241.19,1230,1740,-270,0.0,0.0,0.0,498.97,2.0,1
40,2026-03-11 18:27:17.481,18.7713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,12,0,0.0,0.0,800,1900,0.0,0.0,0.0,0.0,5.59,179.02,0
50,2026-03-11 18:27:20.094,21.3839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,800,1900,0.0,0.0,0.0,0.0,567.19,1.76,0
60,2026-03-11 18:27:26.230,27.5198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,800,1900,0.0,0.0,0.0,0.0,486.16,2.06,0
10,2026-03-11 18:51:47.724,5.2056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,468.03,2.14,0
20,2026-03-11 18:51:53.527,11.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,473.9,2.11,0
30,2026-03-11 18:52:00.566,18.0477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,789.08,1.27,0
40,2026-03-11 18:52:04.486,21.9676,309.15,251.16,39.4,39.4,0.0523,4.72,-6.88,159.67,CSRT,0,7,0,-10.85,11.16,1531,1534,31,0.0,0.0,0.0,38.59,25.91,1
50,2026-03-11 18:52:06.537,24.0188,316.8,240.94,39.96,39.96,0.0549,0.49,-1.82,34.33,CSRT,0,17,0,-3.2,0.94,1541,1544,41,0.0,0.0,0.0,42.71,23.42,1
60,2026-03-11 18:52:09.058,26.5392,332.86,231.54,40.9,40.9,0.54,-0.94,0.03,1.74,YOLO,0,27,0,12.86,-8.46,1551,1554,51,0.0,0.0,0.0,461.59,2.17,1
70,2026-03-11 18:52:11.279,28.7603,332.71,221.14,40.41,40.41,0.0421,-7.5,-4.18,203.87,CSRT,0,37,0,12.71,-18.86,1529,1556,29,0.0,0.0,0.0,33.18,30.14,1
80,2026-03-11 18:52:13.296,30.7773,323.7,233.34,39.93,39.93,0.052,0.47,2.75,53.58,CSRT,0,47,0,3.7,-6.66,1529,1521,29,0.0,0.0,0.0,43.75,22.86,1
90,2026-03-11 18:52:16.231,33.7129,323.68,240.24,39.6,39.6,0.7966,0.01,0.1,0.12,YOLO,0,57,0,3.68,0.24,1529,1521,29,0.0,0.0,0.0,709.82,1.41,1
100,2026-03-11 18:52:18.730,36.2111,323.18,240.17,39.72,39.72,0.0701,-0.32,-0.16,5.18,CSRT,0,67,0,3.18,0.17,1529,1521,29,0.0,0.0,0.0,58.87,16.99,1
110,2026-03-11 18:52:21.133,38.6149,323.08,240.08,39.93,39.93,0.0477,-0.16,-0.05,3.46,CSRT,0,77,0,3.08,0.08,1529,1521,29,0.0,0.0,0.0,31.82,31.43,1
