Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active
10,2026-03-11 17:30:29.720,8.8135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,621.32,1.61,0
20,2026-03-11 17:30:35.568,14.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,468.47,2.13,0
30,2026-03-11 17:30:41.615,20.7085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,589.8,1.7,0
40,2026-03-11 17:30:46.834,25.9282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,506.32,1.98,0
50,2026-03-11 17:30:51.710,30.8038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,490.13,2.04,0
60,2026-03-11 17:30:56.839,35.9334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,723.91,1.38,0
70,2026-03-11 17:30:58.224,37.3183,311.45,249.36,47.34,47.34,0.0926,0.22,-1.16,12.79,LAB,0,10,0,-8.55,9.36,1533,1543,33,0.0,0.0,0.0,5.66,176.79,0
80,2026-03-11 17:30:59.153,38.2467,311.34,237.35,48.34,48.34,0.088,-0.04,-0.19,2.23,LAB,0,20,0,-8.66,-2.65,1533,1553,33,0.0,0.0,0.0,5.96,167.87,0
90,2026-03-11 17:31:00.106,39.1996,311.21,227.83,47.37,47.37,0.1007,0.01,-0.22,2.15,LAB,0,30,0,-8.79,-12.17,1533,1563,33,0.0,0.0,0.0,14.71,67.98,0
100,2026-03-11 17:31:01.024,40.1176,311.66,218.58,47.6,47.6,0.1028,0.01,0.03,0.36,LAB,0,40,0,-8.34,-21.42,1533,1537,33,0.0,0.0,0.0,16.81,59.5,0
110,2026-03-11 17:31:01.948,41.0416,312.02,226.46,48.14,48.14,0.0919,-0.05,-0.62,6.79,LAB,0,50,0,-7.98,-13.54,1533,1531,33,0.0,0.0,0.0,8.69,115.1,0
120,2026-03-11 17:31:03.327,42.4178,312.64,233.75,50.97,50.97,0.5404,1.74,4.04,8.14,YOLO,0,60,0,-7.36,-6.25,1533,1531,33,0.711,0.12,0.0,456.9,2.19,0
130,2026-03-11 17:31:04.194,43.2877,270.48,200.88,115.33,115.33,0.0909,-26.27,-10.48,311.15,LAB,0,70,0,-49.52,-39.12,1556,1591,56,0.672,0.643,0.672,7.64,130.9,0
140,2026-03-11 17:31:05.105,44.199,219.97,229.97,221.33,221.33,0.0927,20.37,-8.0,236.16,LAB,0,80,0,-100.03,-10.03,1846,1546,346,0.509,2.945,2.0,5.92,168.83,0
150,2026-03-11 17:31:06.037,45.131,278.16,220.28,198.6,198.6,0.0918,28.47,4.2,313.58,LAB,0,90,0,-41.84,-19.72,2066,1493,566,0.553,2.534,2.0,5.95,168.16,0
160,2026-03-11 17:31:06.971,46.0648,290.22,224.17,369.31,369.31,0.0959,22.04,33.18,415.39,LAB,0,100,0,-29.78,-15.83,2164,1369,664,0.588,2.403,2.0,7.71,129.66,0
170,2026-03-11 17:31:07.901,46.9947,289.43,200.25,680.82,680.82,0.0907,4.65,3.67,65.41,LAB,0,110,0,-30.57,-39.75,2200,1354,700,0.588,2.244,2.0,9.57,104.53,0
180,2026-03-11 17:31:09.304,48.3978,287.41,227.94,695.56,695.56,0.568,26.76,-3.08,47.42,LAB,0,120,0,-32.59,-12.06,2200,1320,700,0.511,2.483,2.0,480.74,2.08,0
190,2026-03-11 17:31:10.129,49.2229,269.53,254.77,486.3,486.3,0.0924,-2.93,-1.76,36.97,LAB,0,130,0,-50.47,14.77,2200,1253,700,0.453,2.378,2.0,5.66,176.6,0
200,2026-03-11 17:31:11.063,50.1567,411.81,238.06,507.18,507.18,0.0914,-1.91,-3.15,40.36,LAB,0,140,0,91.81,-1.94,2108,1256,608,0.491,1.311,2.0,7.2,138.88,0
210,2026-03-11 17:31:11.990,51.0841,285.36,234.65,469.84,469.84,0.0927,-64.77,-2.5,699.23,LAB,0,150,0,-34.64,-5.35,2047,1216,547,0.516,2.02,2.0,6.87,145.46,0
220,2026-03-11 17:31:12.923,52.0165,274.92,184.59,208.2,208.2,0.094,14.03,-29.01,342.6,LAB,0,160,0,-45.08,-55.41,2175,1200,675,0.605,2.452,2.0,7.08,141.24,0
230,2026-03-11 17:31:13.850,52.9436,369.96,181.41,116.79,116.79,0.0926,-11.19,-3.53,126.74,LAB,0,170,0,49.96,-58.59,2077,1200,577,0.647,1.528,2.0,6.21,160.99,0
