Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active
10,2026-03-11 17:37:39.695,7.0935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,693.42,1.44,0
20,2026-03-11 17:37:46.138,13.5369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,464.91,2.15,0
30,2026-03-11 17:37:51.129,18.5278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,481.8,2.08,0
40,2026-03-11 17:37:56.475,23.8731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,484.23,2.07,0
50,2026-03-11 17:38:02.070,29.4683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,473.58,2.11,0
60,2026-03-11 17:38:06.998,34.3967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,481.6,2.08,0
70,2026-03-11 17:38:12.401,39.7996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,482.01,2.07,0
80,2026-03-11 17:38:18.576,45.9744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,691.49,1.45,0
90,2026-03-11 17:38:20.351,47.749,430.63,292.13,446.97,446.97,0.0651,-34.88,-20.7,622.92,LAB,0,9,0,110.63,52.13,1036,1756,-464,0.0,0.0,0.0,20.72,48.26,0
100,2026-03-11 17:38:21.108,48.506,449.36,133.31,39.32,39.32,0.0798,-32.38,27.93,536.13,LAB,0,19,0,129.36,-106.69,800,1512,-700,0.0,0.0,0.0,4.46,223.99,0
110,2026-03-11 17:38:22.037,49.4353,425.88,252.43,236.35,236.35,0.0918,-10.64,4.8,127.15,LAB,0,29,0,105.88,12.43,800,1495,-700,0.0,0.0,0.0,5.62,178.09,0
120,2026-03-11 17:38:23.427,50.8252,431.88,265.66,249.46,249.46,0.5553,-0.43,7.08,12.78,LAB,0,39,0,111.88,25.66,800,1536,-700,0.0,0.0,0.0,463.58,2.16,0
130,2026-03-11 17:38:24.268,51.6663,437.45,255.76,251.67,251.67,0.0884,1.73,1.67,27.19,LAB,0,49,0,117.45,15.76,800,1526,-700,0.0,0.0,0.0,4.4,227.2,0
140,2026-03-11 17:38:25.200,52.5982,433.91,248.8,249.41,249.41,0.096,1.44,2.15,27.01,LAB,0,59,0,113.91,8.8,800,1529,-700,0.0,0.0,0.0,4.43,225.72,0
150,2026-03-11 17:38:26.128,53.5261,445.67,246.45,215.52,215.52,0.0916,2.45,-0.74,27.95,LAB,0,69,0,125.67,6.45,800,1542,-700,0.0,0.0,0.0,4.34,230.46,0
160,2026-03-11 17:38:27.074,54.472,448.63,246.25,189.03,189.03,0.1009,-2.43,-5.39,58.64,LAB,0,79,0,128.63,6.25,800,1542,-700,0.0,0.0,0.0,17.47,57.23,0
170,2026-03-11 17:38:27.989,55.3862,440.23,214.3,151.88,151.88,0.0915,-5.48,-1.48,62.07,LAB,0,89,0,120.23,-25.7,800,1505,-700,0.0,0.0,0.0,4.37,228.71,0
180,2026-03-11 17:38:29.376,56.7742,426.29,262.6,156.55,156.55,0.5375,-4.5,-3.37,10.46,LAB,0,99,0,106.29,22.6,800,1506,-700,0.0,0.0,0.0,459.98,2.17,0
190,2026-03-11 17:38:30.357,57.7552,433.95,208.98,144.46,144.46,0.119,1.38,-2.8,26.26,LAB,0,109,0,113.95,-31.02,800,1512,-700,0.0,0.0,0.0,5.05,197.88,0
200,2026-03-11 17:38:31.552,58.9506,445.28,234.4,137.01,137.01,0.1201,4.61,2.65,44.29,LAB,0,119,0,125.28,-5.6,800,1491,-700,0.0,0.0,0.0,4.46,224.08,0
