Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-11 23:15:13.253,1.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.24,807.06,0,0
20,2026-03-11 23:15:14.845,3.1602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.29,772.86,0,0
30,2026-03-11 23:15:16.442,4.757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.21,823.22,0,0
40,2026-03-11 23:15:18.037,6.3528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.48,675.74,0,0
50,2026-03-11 23:15:19.629,7.9444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.98,1016.31,0,0
60,2026-03-11 23:15:21.225,9.5402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.99,1011.41,0,0
70,2026-03-11 23:15:22.833,11.1483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.34,747.12,0,0
80,2026-03-11 23:15:24.573,12.8881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.72,1391.61,0,0
90,2026-03-11 23:15:26.169,14.4846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.09,920.21,0,0
100,2026-03-11 23:15:27.772,16.0873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.84,1194.28,0,0
110,2026-03-11 23:15:29.358,17.6731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.19,843.25,0,0
120,2026-03-11 23:15:30.953,19.2685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.82,1226.4,0,0
130,2026-03-11 23:15:32.545,20.8607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.84,1195.3,0,0
140,2026-03-11 23:15:34.142,22.4572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.28,782.37,0,0
150,2026-03-11 23:15:35.737,24.0528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.92,1089.15,0,0
160,2026-03-11 23:15:37.330,25.6457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.18,847.85,0,0
170,2026-03-11 23:15:38.926,27.2409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.79,1267.54,0,0
180,2026-03-11 23:15:40.518,28.8331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.84,1185.5,0,0
190,2026-03-11 23:15:42.114,30.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.78,1281.49,0,0
200,2026-03-11 23:15:43.710,32.0251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.8,1256.91,0,0
210,2026-03-11 23:15:45.312,33.6275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.79,1271.0,0,0
220,2026-03-11 23:15:46.898,35.2133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.84,1185.17,0,0
230,2026-03-11 23:15:48.504,36.8197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.81,1236.89,0,0
240,2026-03-11 23:15:50.086,38.4015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.83,1198.72,0,0
250,2026-03-11 23:15:51.161,39.4759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.84,1193.94,0,0
260,2026-03-11 23:15:52.214,40.5297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.89,1128.11,0,0
270,2026-03-11 23:15:53.276,41.5909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.12,891.84,0,0
280,2026-03-11 23:15:54.338,42.6538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.93,1071.07,0,0
290,2026-03-11 23:15:55.403,43.7186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.38,723.41,0,0
300,2026-03-11 23:15:56.538,44.8535,217.55,284.32,50.0,50.0,0.0373,-2.05,4.62,135.41,LAB,0,2,0,-102.45,44.32,1531,1513,31,0.0,0.0,0.0,4.43,225.71,0,2
310,2026-03-11 23:15:57.536,45.8516,304.18,255.5,47.85,47.85,0.1108,4.58,-1.12,42.55,LAB,0,12,0,-15.82,15.5,1603,1561,103,0.0,0.0,0.0,7.33,136.37,0,2
320,2026-03-11 23:15:58.600,46.9154,312.59,246.27,48.3,48.3,0.0961,1.11,0.05,11.61,LAB,0,22,0,-7.41,6.27,1603,1561,103,0.0,0.0,0.0,9.27,107.91,0,2
330,2026-03-11 23:15:59.659,47.9746,312.84,246.19,47.78,47.78,0.1077,0.17,-0.33,3.45,LAB,0,32,0,-7.16,6.19,1603,1561,103,0.0,0.0,0.0,5.28,189.5,0,2
340,2026-03-11 23:16:00.727,49.0428,312.77,246.22,47.84,47.84,0.1132,-0.23,-0.16,2.47,LAB,0,42,0,-7.23,6.22,1603,1561,103,0.0,0.0,0.0,9.78,102.24,0,2
350,2026-03-11 23:16:01.787,50.1028,312.59,245.73,46.78,46.78,0.108,-0.06,-0.11,1.13,LAB,0,52,0,-7.41,5.73,1603,1561,103,0.0,0.0,0.0,9.73,102.79,0,2
360,2026-03-11 23:16:02.852,51.1674,396.31,256.98,45.43,45.43,0.0873,39.2,6.1,454.44,LAB,0,62,0,76.31,16.98,1584,1565,84,0.439,0.691,1.008,10.17,98.3,0,1
370,2026-03-11 23:16:03.912,52.2273,258.74,218.56,164.88,164.88,0.1064,-47.0,-28.75,517.99,LAB,0,72,0,-61.26,-21.44,1458,1618,-42,0.616,-0.129,0.0,5.96,167.79,0,1
380,2026-03-11 23:16:04.975,53.2903,559.46,143.31,256.43,256.43,0.1077,25.16,9.81,250.63,LAB,0,82,0,239.46,-96.69,1327,1456,-173,0.709,-3.455,-2.0,4.97,201.28,0,3
390,2026-03-11 23:16:05.969,54.2839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,87,0,0.0,0.0,1184,1414,0.0,0.0,0.0,0.0,2.65,377.29,0,0
400,2026-03-11 23:16:06.704,55.0192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1184,1414,0.0,0.0,0.0,0.0,33.26,30.07,0,0
410,2026-03-11 23:16:08.107,56.4223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1184,1414,0.0,0.0,0.0,0.0,0.94,1062.12,0,0
420,2026-03-11 23:16:09.699,58.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1184,1414,0.0,0.0,0.0,0.0,0.87,1147.87,0,0
430,2026-03-11 23:16:11.295,59.6105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1184,1414,0.0,0.0,0.0,0.0,0.87,1154.18,0,0
440,2026-03-11 23:16:12.892,61.2073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1184,1414,0.0,0.0,0.0,0.0,1.04,961.11,0,0
450,2026-03-11 23:16:14.491,62.8067,478.51,387.41,58.69,58.69,8.6069,-3.84,297.3,34.54,LAB,0,1,1,158.51,147.41,1160,1436,-340,0.039,-1.665,-2.0,8.13,122.94,0,1
460,2026-03-11 23:16:16.081,64.3961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,7,1,0.0,0.0,1141,1468,0.0,0.0,0.0,0.0,2.27,441.09,0,0
470,2026-03-11 23:16:17.355,65.6708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1171,1459,0.0,0.0,0.0,0.0,0.91,1104.05,0,0
480,2026-03-11 23:16:18.552,66.8671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1171,1459,0.0,0.0,0.0,0.0,1.1,911.81,0,0
490,2026-03-11 23:16:19.748,68.0629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1171,1459,0.0,0.0,0.0,0.0,0.91,1095.98,0,0
500,2026-03-11 23:16:20.944,69.2591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1171,1459,0.0,0.0,0.0,0.0,0.89,1119.97,0,0
510,2026-03-11 23:16:22.140,70.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1171,1459,0.0,0.0,0.0,0.0,0.86,1157.37,0,0
520,2026-03-11 23:16:23.336,71.6511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1171,1459,0.0,0.0,0.0,0.0,0.95,1054.38,0,0
530,2026-03-11 23:16:24.532,72.8474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1171,1459,0.0,0.0,0.0,0.0,1.05,950.87,0,0
540,2026-03-11 23:16:25.744,74.059,473.92,336.28,38.72,38.72,0.1206,-61.28,-2.37,508.5,LAB,0,4,2,153.92,96.28,1060,1518,-440,0.202,-3.31,-2.0,6.23,160.4,0,2
550,2026-03-11 23:16:26.957,75.2722,19.96,295.54,82.31,82.31,0.108,-6.37,-24.07,230.65,CSRT,0,9,2,-300.04,55.54,1209,1567,-291,0.3,0.245,-2.0,32.63,30.65,1,0
560,2026-03-11 23:16:28.126,76.4418,278.57,187.16,273.8,273.8,0.1173,4.73,6.84,70.93,LAB,0,18,2,-41.43,-52.84,1328,1534,-172,0.632,-1.541,-2.0,7.43,134.52,0,3
570,2026-03-11 23:16:29.560,77.8753,176.64,286.33,230.0,230.0,0.1604,82.84,-41.62,577.97,LAB,0,28,2,-143.36,46.33,1494,1595,-6,0.416,1.303,0.0,8.79,113.79,0,1
580,2026-03-11 23:16:30.702,79.0177,270.13,198.97,258.54,258.54,0.1086,35.54,33.54,449.85,LAB,0,38,2,-49.87,-41.03,1630,1509,130,0.649,2.043,1.56,7.26,137.78,0,1
590,2026-03-11 23:16:31.765,80.0805,139.18,307.15,185.2,185.2,0.1043,-7.05,15.78,165.75,LAB,0,48,2,-180.82,67.15,1726,1535,226,0.341,3.306,2.0,6.01,166.33,0,1
600,2026-03-11 23:16:32.833,81.1479,301.06,82.38,260.87,260.87,0.1117,-74.27,16.29,680.93,LAB,0,58,2,-18.94,-157.62,1746,1487,246,0.685,1.926,2.0,9.3,107.54,0,1
