Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 02:45:17.824,1.5392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.91,1102.89,0,1
20,2026-03-12 02:45:19.426,3.1417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.9,1113.73,0,1
30,2026-03-12 02:45:21.024,4.7393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.93,518.33,0,1
40,2026-03-12 02:45:22.611,6.3265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.32,756.0,0,1
50,2026-03-12 02:45:24.201,7.9168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.19,839.03,0,1
60,2026-03-12 02:45:25.796,9.5118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.05,950.87,0,1
70,2026-03-12 02:45:27.388,11.1038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.9,1115.8,0,1
80,2026-03-12 02:45:28.985,12.7001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.24,804.74,0,1
90,2026-03-12 02:45:30.591,14.3067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.07,933.73,0,1
100,2026-03-12 02:45:32.172,15.8879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.96,1045.18,0,1
110,2026-03-12 02:45:33.771,17.4863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.31,764.69,0,1
120,2026-03-12 02:45:35.366,19.0812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.25,799.22,0,1
130,2026-03-12 02:45:36.957,20.6722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.93,1077.12,0,1
140,2026-03-12 02:45:38.553,22.2683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.96,1043.62,0,1
150,2026-03-12 02:45:40.159,23.8746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.86,1165.73,0,1
160,2026-03-12 02:45:41.751,25.4666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.84,1196.32,0,1
170,2026-03-12 02:45:43.337,27.0526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.97,1027.51,0,1
180,2026-03-12 02:45:44.960,28.6759,345.0,290.0,80.0,80.0,0.1584,-2.0,-3.0,22.77,KCF,0,4,0,25.0,50.0,1482,1532,-18,0.465,-0.26,0.0,17.93,55.77,0,1
190,2026-03-12 02:45:46.526,30.2413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1479,1541,0.0,0.0,0.0,0.0,1.49,669.05,0,1
200,2026-03-12 02:45:48.135,31.8509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1479,1541,0.0,0.0,0.0,0.0,0.99,1014.83,0,1
210,2026-03-12 02:45:49.727,33.4428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1479,1541,0.0,0.0,0.0,0.0,0.75,1332.37,0,1
220,2026-03-12 02:45:51.309,35.0246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1479,1541,0.0,0.0,0.0,0.0,0.72,1380.61,0,1
230,2026-03-12 02:45:52.905,36.6207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1479,1541,0.0,0.0,0.0,0.0,0.73,1364.89,0,1
240,2026-03-12 02:45:54.501,38.2169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1479,1541,0.0,0.0,0.0,0.0,0.93,1074.64,0,1
250,2026-03-12 02:45:56.114,39.8294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1433,1518,0.0,0.0,0.0,0.0,10.29,97.22,0,1
