Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 02:40:00.163,1.5916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.01,992.97,0,1
20,2026-03-12 02:40:01.761,3.1888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.38,722.78,0,1
30,2026-03-12 02:40:03.367,4.7948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.34,745.12,0,1
40,2026-03-12 02:40:04.948,6.3758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.01,988.29,0,1
50,2026-03-12 02:40:06.544,7.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.11,901.23,0,1
60,2026-03-12 02:40:08.147,9.5751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.7,588.34,0,1
70,2026-03-12 02:40:09.732,11.1599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.91,1102.6,0,1
80,2026-03-12 02:40:11.338,12.7664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.9,1111.07,0,1
90,2026-03-12 02:40:12.920,14.3482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.95,1053.58,0,1
100,2026-03-12 02:40:14.516,15.9441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.84,1190.55,0,1
110,2026-03-12 02:40:16.130,17.5581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.52,656.8,0,1
120,2026-03-12 02:40:17.704,19.1323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.89,1119.38,0,1
130,2026-03-12 02:40:19.312,20.7399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.01,993.2,0,1
140,2026-03-12 02:40:20.896,22.3244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.95,1054.38,0,1
150,2026-03-12 02:40:22.488,23.9165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.92,1084.08,0,1
160,2026-03-12 02:40:24.084,25.5126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.92,1083.52,0,1
170,2026-03-12 02:40:25.676,27.1047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.86,1164.44,0,1
180,2026-03-12 02:40:27.286,28.7139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.21,829.24,0,1
190,2026-03-12 02:40:28.885,30.3128,345.0,271.0,80.0,80.0,0.153,-4.0,6.0,47.13,KCF,0,4,0,25.0,31.0,1483,1515,-17,0.553,-0.254,0.0,16.97,58.92,0,1
200,2026-03-12 02:40:30.460,31.8887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1483,1515,0.0,0.0,0.0,0.0,0.86,1168.66,0,1
210,2026-03-12 02:40:32.056,33.4847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1483,1515,0.0,0.0,0.0,0.0,0.73,1364.45,0,1
220,2026-03-12 02:40:33.652,35.0807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1483,1515,0.0,0.0,0.0,0.0,0.73,1371.58,0,1
230,2026-03-12 02:40:35.265,36.6932,295.0,276.0,80.0,80.0,0.1431,0.0,0.0,0.0,KCF,0,2,1,-25.0,36.0,1491,1526,-9,0.417,0.195,0.0,21.11,47.38,0,1
240,2026-03-12 02:40:36.844,38.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1497,1537,0.0,0.0,0.0,0.0,2.67,374.59,0,1
250,2026-03-12 02:40:38.433,39.8613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1497,1537,0.0,0.0,0.0,0.0,0.96,1040.0,0,1
260,2026-03-12 02:40:40.029,41.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1497,1537,0.0,0.0,0.0,0.0,0.71,1405.13,0,1
270,2026-03-12 02:40:41.625,43.0531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1497,1537,0.0,0.0,0.0,0.0,0.72,1388.84,0,1
280,2026-03-12 02:40:43.217,44.6457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1497,1537,0.0,0.0,0.0,0.0,1.21,823.87,0,1
290,2026-03-12 02:40:44.813,46.2417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1467,1552,0.0,0.0,0.0,0.0,1.09,917.39,0,1
300,2026-03-12 02:40:46.409,47.8375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1467,1552,0.0,0.0,0.0,0.0,0.92,1089.15,0,1
310,2026-03-12 02:40:47.869,49.2975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1467,1552,0.0,0.0,0.0,0.0,0.76,1309.49,0,1
320,2026-03-12 02:40:49.331,50.7591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1467,1552,0.0,0.0,0.0,0.0,1.16,865.34,0,1
330,2026-03-12 02:40:50.800,52.2287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,4,3,0.0,0.0,1493,1572,0.0,0.0,0.0,0.0,7.81,127.96,0,1
340,2026-03-12 02:40:52.256,53.6847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1493,1572,0.0,0.0,0.0,0.0,2.21,451.63,0,1
350,2026-03-12 02:40:53.717,55.1456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1493,1572,0.0,0.0,0.0,0.0,0.71,1400.44,0,1
360,2026-03-12 02:40:55.178,56.6061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,5,0.0,0.0,1529,1626,0.0,0.0,0.0,0.0,1.12,892.22,0,1
370,2026-03-12 02:40:56.642,58.0702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,5,0.0,0.0,1529,1626,0.0,0.0,0.0,0.0,1.04,961.56,0,1
380,2026-03-12 02:40:58.103,59.5317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,5,0.0,0.0,1529,1626,0.0,0.0,0.0,0.0,1.4,715.26,0,1
390,2026-03-12 02:40:59.570,60.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,3,5,0.0,0.0,1529,1626,0.0,0.0,0.0,0.0,8.45,118.36,0,1
400,2026-03-12 02:41:01.027,62.4549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,6,0.0,0.0,1529,1626,0.0,0.0,0.0,0.0,0.87,1152.91,0,1
410,2026-03-12 02:41:02.487,63.9155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,6,0.0,0.0,1529,1626,0.0,0.0,0.0,0.0,1.32,759.98,0,1
420,2026-03-12 02:41:03.950,65.3782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,6,0.0,0.0,1529,1626,0.0,0.0,0.0,0.0,0.73,1362.67,0,1
430,2026-03-12 02:41:05.410,66.8384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,6,0.0,0.0,1529,1626,0.0,0.0,0.0,0.0,0.81,1227.84,0,1
