Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 02:36:30.727,1.1709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.73,1366.67,0,1
20,2026-03-12 02:36:31.923,2.3669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.77,1292.15,0,1
30,2026-03-12 02:36:33.130,3.5734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.84,1192.58,0,1
40,2026-03-12 02:36:34.329,4.7728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.06,939.58,0,1
50,2026-03-12 02:36:35.523,5.9662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.11,900.26,0,1
60,2026-03-12 02:36:36.709,7.1524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.37,727.42,0,1
70,2026-03-12 02:36:37.900,8.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.99,1008.25,0,1
80,2026-03-12 02:36:39.106,9.5497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.77,1305.42,0,1
90,2026-03-12 02:36:40.292,10.7354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.86,1157.69,0,1
100,2026-03-12 02:36:41.498,11.9419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.8,1256.53,0,1
110,2026-03-12 02:36:42.686,13.1292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.58,631.86,0,1
120,2026-03-12 02:36:43.880,14.3236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.82,1214.68,0,1
130,2026-03-12 02:36:45.076,15.5197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.88,1130.54,0,1
140,2026-03-12 02:36:46.272,16.7156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.78,1288.18,0,1
150,2026-03-12 02:36:47.470,17.9138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.0,1001.27,0,1
160,2026-03-12 02:36:48.664,19.1076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.76,1317.72,0,1
170,2026-03-12 02:36:49.863,20.3065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.9,526.72,0,1
180,2026-03-12 02:36:51.069,21.5126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.59,628.27,0,1
190,2026-03-12 02:36:52.253,22.6968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.04,956.95,0,1
200,2026-03-12 02:36:53.448,23.892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.82,1219.98,0,1
210,2026-03-12 02:36:54.644,25.0879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.75,1333.64,0,1
220,2026-03-12 02:36:55.841,26.2841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.78,1274.09,0,1
230,2026-03-12 02:36:57.037,27.4803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.96,1038.71,0,1
240,2026-03-12 02:36:58.363,28.8065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.75,1330.68,0,1
250,2026-03-12 02:36:59.949,30.3924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.04,956.95,0,1
260,2026-03-12 02:37:01.545,31.9883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.79,1262.2,0,1
270,2026-03-12 02:37:03.137,33.5809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.98,1020.02,0,1
280,2026-03-12 02:37:04.733,35.1766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.98,1020.51,0,1
290,2026-03-12 02:37:06.336,36.7793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.14,878.02,0,1
300,2026-03-12 02:37:07.921,38.3647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.89,1129.32,0,1
310,2026-03-12 02:37:09.518,39.9611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.09,920.21,0,1
320,2026-03-12 02:37:11.109,41.5529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.83,1204.91,0,1
330,2026-03-12 02:37:12.705,43.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.95,1051.73,0,1
340,2026-03-12 02:37:14.309,44.7525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,2,0,0.0,0.0,1440,1523,0.0,0.0,0.0,0.0,8.38,119.27,0,1
350,2026-03-12 02:37:15.893,46.3369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1440,1523,0.0,0.0,0.0,0.0,0.76,1323.96,0,1
360,2026-03-12 02:37:17.489,47.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1440,1523,0.0,0.0,0.0,0.0,0.75,1331.1,0,1
370,2026-03-12 02:37:19.086,49.5296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1440,1523,0.0,0.0,0.0,0.0,0.99,1008.49,0,1
380,2026-03-12 02:37:20.687,51.1306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,3,1,0.0,0.0,1350,1538,0.0,0.0,0.0,0.0,10.32,96.9,0,1
