Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 02:42:37.620,1.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.86,1156.41,0,1
20,2026-03-12 02:42:38.816,2.2834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.0,999.6,0,1
30,2026-03-12 02:42:40.023,3.4899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.06,940.64,0,1
40,2026-03-12 02:42:41.209,4.6762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.15,870.37,0,1
50,2026-03-12 02:42:42.404,5.8714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.94,1063.19,0,1
60,2026-03-12 02:42:43.613,7.0802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.2,834.52,0,1
70,2026-03-12 02:42:44.808,8.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.11,900.45,0,1
80,2026-03-12 02:42:45.993,9.4598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.03,975.42,0,1
90,2026-03-12 02:42:47.190,10.6575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,2.18,459.5,0,1
100,2026-03-12 02:42:48.385,11.8526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.05,951.52,0,1
110,2026-03-12 02:42:49.581,13.0478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.91,1102.02,0,1
120,2026-03-12 02:42:50.777,14.2438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.91,1096.84,0,1
130,2026-03-12 02:42:51.973,15.4405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.05,952.39,0,1
140,2026-03-12 02:42:53.169,16.6364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.9,1109.02,0,1
150,2026-03-12 02:42:54.367,17.8345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,2.27,441.27,0,1
160,2026-03-12 02:42:55.561,19.0283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.96,1036.4,0,1
170,2026-03-12 02:42:56.758,20.2248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.64,611.5,0,1
180,2026-03-12 02:42:57.953,21.4203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.09,915.79,0,1
190,2026-03-12 02:42:59.149,22.6161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.93,1070.79,0,1
200,2026-03-12 02:43:00.355,23.8226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.01,988.06,0,1
210,2026-03-12 02:43:01.793,25.2603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.9,1106.38,0,1
220,2026-03-12 02:43:03.385,26.8524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.88,1137.59,0,1
230,2026-03-12 02:43:04.981,28.4484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.94,1064.81,0,1
240,2026-03-12 02:43:06.578,30.0455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.67,597.56,0,1
250,2026-03-12 02:43:08.170,31.6367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.99,1005.83,0,1
260,2026-03-12 02:43:09.772,33.2395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,7,0,0.0,0.0,1551,1507,0.0,0.0,0.0,0.0,7.89,126.69,0,1
270,2026-03-12 02:43:11.359,34.8261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1551,1507,0.0,0.0,0.0,0.0,1.56,639.67,0,1
280,2026-03-12 02:43:12.953,36.4204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1551,1507,0.0,0.0,0.0,0.0,0.7,1428.09,0,1
290,2026-03-12 02:43:14.549,38.0167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1551,1507,0.0,0.0,0.0,0.0,0.73,1375.18,0,1
300,2026-03-12 02:43:16.142,39.6087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1551,1507,0.0,0.0,0.0,0.0,0.69,1442.33,0,1
310,2026-03-12 02:43:17.739,41.2066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1551,1507,0.0,0.0,0.0,0.0,1.33,753.02,0,1
320,2026-03-12 02:43:19.349,42.8163,330.0,233.0,80.0,80.0,0.1589,-3.0,5.0,36.69,KCF,0,7,1,10.0,-7.0,1520,1490,20,0.738,-0.183,0.0,20.15,49.63,0,1
330,2026-03-12 02:43:20.926,44.3932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1520,1490,0.0,0.0,0.0,0.0,0.91,1098.85,0,1
340,2026-03-12 02:43:22.522,45.9892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1520,1490,0.0,0.0,0.0,0.0,0.97,1033.33,0,1
350,2026-03-12 02:43:24.114,47.5811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1520,1490,0.0,0.0,0.0,0.0,0.73,1365.33,0,1
360,2026-03-12 02:43:25.720,49.1876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1520,1490,0.0,0.0,0.0,0.0,0.79,1270.23,0,1
