Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 02:28:05.743,1.4699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.8,1251.28,0,1
20,2026-03-12 02:28:07.335,3.0618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.83,1211.88,0,1
30,2026-03-12 02:28:08.932,4.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.44,694.54,0,1
40,2026-03-12 02:28:10.538,6.2651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.98,1016.55,0,1
50,2026-03-12 02:28:12.120,7.8466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.32,760.25,0,1
60,2026-03-12 02:28:13.726,9.4525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.78,1274.09,0,1
70,2026-03-12 02:28:15.318,11.0446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.77,1292.94,0,1
80,2026-03-12 02:28:16.903,12.6301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.76,1312.36,0,1
90,2026-03-12 02:28:18.500,14.2266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.09,920.61,0,1
100,2026-03-12 02:28:20.091,15.8183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.78,1289.36,0,1
110,2026-03-12 02:28:21.688,17.4152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.56,642.61,0,1
120,2026-03-12 02:28:23.284,19.0113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.13,887.68,0,1
130,2026-03-12 02:28:24.876,20.6026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.79,1259.55,0,1
140,2026-03-12 02:28:26.472,22.1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.78,1283.84,0,1
150,2026-03-12 02:28:28.068,23.7949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.98,1017.05,0,1
160,2026-03-12 02:28:29.660,25.3869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.89,1129.32,0,1
170,2026-03-12 02:28:31.256,26.9832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.15,872.9,0,1
180,2026-03-12 02:28:32.848,28.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.87,1150.39,0,1
190,2026-03-12 02:28:34.446,30.1729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.08,923.65,0,1
200,2026-03-12 02:28:36.040,31.7671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.79,1264.49,0,1
210,2026-03-12 02:28:37.641,33.3675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,5,0,0.0,0.0,1472,1505,0.0,0.0,0.0,0.0,9.14,109.4,0,1
220,2026-03-12 02:28:39.229,34.9554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1472,1505,0.0,0.0,0.0,0.0,1.11,899.49,0,1
230,2026-03-12 02:28:40.824,36.5511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1472,1505,0.0,0.0,0.0,0.0,0.73,1368.01,0,1
240,2026-03-12 02:28:42.417,38.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1472,1505,0.0,0.0,0.0,0.0,0.94,1059.17,0,1
