Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 02:31:56.331,1.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.91,1103.18,0,1
20,2026-03-12 02:31:57.527,2.3912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.03,972.48,0,1
30,2026-03-12 02:31:58.734,3.5988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.08,922.03,0,1
40,2026-03-12 02:31:59.920,4.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.46,683.11,0,1
50,2026-03-12 02:32:01.115,5.9791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.82,1219.27,0,1
60,2026-03-12 02:32:02.312,7.1761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.18,850.6,0,1
70,2026-03-12 02:32:03.507,8.3712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.83,1205.95,0,1
80,2026-03-12 02:32:04.703,9.5676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.93,1074.91,0,1
90,2026-03-12 02:32:05.910,10.7746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.98,1023.25,0,1
100,2026-03-12 02:32:07.106,11.9704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.0,996.98,0,1
110,2026-03-12 02:32:08.291,13.1558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.12,893.36,0,1
120,2026-03-12 02:32:09.489,14.3533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.09,917.59,0,1
130,2026-03-12 02:32:10.684,15.5484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.14,876.92,0,1
140,2026-03-12 02:32:11.879,16.7437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.97,1034.86,0,1
150,2026-03-12 02:32:13.075,17.9399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.95,1048.31,0,1
160,2026-03-12 02:32:14.282,19.1465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.96,1040.77,0,1
170,2026-03-12 02:32:15.479,20.3435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.55,647.17,0,1
180,2026-03-12 02:32:16.664,21.5282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.95,1050.68,0,1
190,2026-03-12 02:32:17.860,22.7244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.27,788.55,0,1
200,2026-03-12 02:32:19.056,23.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.91,1094.83,0,1
210,2026-03-12 02:32:20.252,25.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.87,1154.18,0,1
220,2026-03-12 02:32:21.685,26.5492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.09,915.39,0,1
230,2026-03-12 02:32:23.290,28.1546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.84,1194.28,0,1
240,2026-03-12 02:32:24.887,29.7516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.0,1000.31,0,1
250,2026-03-12 02:32:26.468,31.3322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.78,1288.97,0,1
260,2026-03-12 02:32:28.072,32.9363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,8,0,0.0,0.0,1500,1489,0.0,0.0,0.0,0.0,8.73,114.54,0,1
270,2026-03-12 02:32:29.656,34.5206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1500,1489,0.0,0.0,0.0,0.0,1.03,967.77,0,1
280,2026-03-12 02:32:31.252,36.1164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1500,1489,0.0,0.0,0.0,0.0,0.8,1252.03,0,1
290,2026-03-12 02:32:32.858,37.7228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1500,1489,0.0,0.0,0.0,0.0,0.74,1344.76,0,1
300,2026-03-12 02:32:34.448,39.3127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1494,1534,0.0,0.0,0.0,0.0,8.9,112.37,0,1
310,2026-03-12 02:32:36.036,40.9007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1494,1534,0.0,0.0,0.0,0.0,0.85,1179.5,0,1
320,2026-03-12 02:32:37.632,42.4967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1494,1534,0.0,0.0,0.0,0.0,0.84,1193.6,0,1
330,2026-03-12 02:32:39.225,44.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1494,1534,0.0,0.0,0.0,0.0,0.86,1168.33,0,1
340,2026-03-12 02:32:40.831,45.6953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1464,1549,0.0,0.0,0.0,0.0,0.81,1228.2,0,1
350,2026-03-12 02:32:42.427,47.2911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1464,1549,0.0,0.0,0.0,0.0,0.75,1342.18,0,1
360,2026-03-12 02:32:44.009,48.8731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1464,1549,0.0,0.0,0.0,0.0,0.73,1368.45,0,1
370,2026-03-12 02:32:45.612,50.4767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,3,3,0.0,0.0,1501,1540,0.0,0.0,0.0,0.0,8.4,119.03,0,1
380,2026-03-12 02:32:47.197,52.0613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1501,1540,0.0,0.0,0.0,0.0,0.87,1154.82,0,1
390,2026-03-12 02:32:48.793,53.6572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1501,1540,0.0,0.0,0.0,0.0,0.74,1353.87,0,1
400,2026-03-12 02:32:50.407,55.2713,496.0,314.0,80.0,80.0,0.1635,-4.0,-1.0,25.22,KCF,0,2,4,176.0,74.0,1448,1562,-52,0.241,-1.421,-0.624,18.75,53.32,0,1
410,2026-03-12 02:32:51.981,56.8454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,5,0.0,0.0,1448,1562,0.0,0.0,0.0,0.0,0.73,1377.89,0,1
420,2026-03-12 02:32:53.577,58.4417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,5,0.0,0.0,1448,1562,0.0,0.0,0.0,0.0,0.96,1047.01,0,1
430,2026-03-12 02:32:55.173,60.0374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,5,0.0,0.0,1448,1562,0.0,0.0,0.0,0.0,0.72,1391.15,0,1
440,2026-03-12 02:32:56.783,61.6475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,2,5,0.0,0.0,1485,1568,0.0,0.0,0.0,0.0,8.52,117.37,0,1
450,2026-03-12 02:32:58.361,63.2258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,6,0.0,0.0,1485,1568,0.0,0.0,0.0,0.0,0.75,1342.18,0,1
460,2026-03-12 02:32:59.958,64.8221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,6,0.0,0.0,1485,1568,0.0,0.0,0.0,0.0,1.19,837.19,0,1
470,2026-03-12 02:33:01.550,66.4146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,6,0.0,0.0,1485,1568,0.0,0.0,0.0,0.0,1.46,684.11,0,1
480,2026-03-12 02:33:03.146,68.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,7,0.0,0.0,1425,1568,0.0,0.0,0.0,0.0,0.72,1384.72,0,1
490,2026-03-12 02:33:04.739,69.6032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,7,0.0,0.0,1425,1568,0.0,0.0,0.0,0.0,0.87,1145.36,0,1
500,2026-03-12 02:33:06.334,71.1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,7,0.0,0.0,1425,1568,0.0,0.0,0.0,0.0,0.95,1053.85,0,1
510,2026-03-12 02:33:07.930,72.7941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,7,0.0,0.0,1425,1568,0.0,0.0,0.0,0.0,0.74,1358.7,0,1
520,2026-03-12 02:33:09.522,74.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,7,0.0,0.0,1425,1568,0.0,0.0,0.0,0.0,0.95,1048.31,0,1
530,2026-03-12 02:33:11.118,75.9825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,8,0.0,0.0,1456,1582,0.0,0.0,0.0,0.0,0.97,1026.51,0,1
540,2026-03-12 02:33:12.714,77.5785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,8,0.0,0.0,1456,1582,0.0,0.0,0.0,0.0,1.02,976.33,0,1
550,2026-03-12 02:33:14.306,79.1704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,8,0.0,0.0,1456,1582,0.0,0.0,0.0,0.0,0.72,1391.61,0,1
560,2026-03-12 02:33:15.913,80.7776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,8,0.0,0.0,1456,1582,0.0,0.0,0.0,0.0,1.57,638.21,0,1
570,2026-03-12 02:33:17.498,82.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,8,0.0,0.0,1456,1582,0.0,0.0,0.0,0.0,0.71,1400.9,0,1
580,2026-03-12 02:33:19.108,83.9723,322.0,179.0,80.0,80.0,0.1312,10.0,19.0,163.59,KCF,0,5,8,2.0,-61.0,1474,1522,-26,0.94,0.106,0.0,18.22,54.89,0,1
590,2026-03-12 02:33:20.686,85.5508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,9,0.0,0.0,1474,1515,0.0,0.0,0.0,0.0,0.83,1207.69,0,1
600,2026-03-12 02:33:22.290,87.1547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,2,9,0.0,0.0,1456,1533,0.0,0.0,0.0,0.0,8.77,114.09,0,1
610,2026-03-12 02:33:23.874,88.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,10,0.0,0.0,1456,1533,0.0,0.0,0.0,0.0,0.74,1359.58,0,1
620,2026-03-12 02:33:25.470,90.3349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,10,0.0,0.0,1456,1533,0.0,0.0,0.0,0.0,0.74,1351.26,0,1
630,2026-03-12 02:33:27.078,91.9421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,1,10,0.0,0.0,1426,1551,0.0,0.0,0.0,0.0,15.94,62.73,0,1
640,2026-03-12 02:33:28.673,93.5375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,11,0.0,0.0,1426,1551,0.0,0.0,0.0,0.0,1.03,973.38,0,1
650,2026-03-12 02:33:30.255,95.1192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,11,0.0,0.0,1426,1551,0.0,0.0,0.0,0.0,0.72,1381.52,0,1
660,2026-03-12 02:33:31.848,96.7127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,11,0.0,0.0,1426,1551,0.0,0.0,0.0,0.0,1.24,808.77,0,1
670,2026-03-12 02:33:33.443,98.3073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,11,0.0,0.0,1426,1551,0.0,0.0,0.0,0.0,0.77,1298.14,0,1
