Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 04:56:44.112,1.2531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.83,1210.83,0,1
20,2026-03-12 04:56:45.425,2.5652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.85,1182.83,0,1
30,2026-03-12 04:56:46.753,3.8932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.03,974.06,0,1
40,2026-03-12 04:56:48.082,5.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.12,893.17,0,1
50,2026-03-12 04:56:49.412,6.553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.78,1284.63,0,1
60,2026-03-12 04:56:50.740,7.8811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.79,1267.16,0,1
70,2026-03-12 04:56:52.120,9.2611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.76,1321.87,0,1
80,2026-03-12 04:56:53.716,10.8572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.76,1312.77,0,1
90,2026-03-12 04:56:55.313,12.4541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.98,1018.53,0,1
100,2026-03-12 04:56:56.949,14.09,347.5,240.5,77.0,77.0,0.1539,-5.5,3.5,42.37,LightTrack,0,5,0,27.5,0.5,1473,1500,-27,0.686,-0.3,0.0,45.38,22.03,0,1
110,2026-03-12 04:56:58.547,15.6875,386.0,281.0,82.0,82.0,0.1576,39.5,-11.5,261.02,LightTrack,0,15,0,66.0,41.0,1441,1547,-59,0.44,-0.743,-0.708,46.83,21.35,0,1
120,2026-03-12 04:57:00.143,17.2835,222.0,236.0,80.0,80.0,0.1572,-70.0,-1.0,445.28,LightTrack,0,25,0,-98.0,-4.0,1325,1564,-175,0.489,-1.676,-2.0,46.84,21.35,0,1
130,2026-03-12 04:57:01.735,18.8754,283.0,248.0,88.0,88.0,0.1486,17.0,6.0,121.32,LightTrack,0,35,0,-37.0,8.0,1493,1551,-7,0.685,0.479,0.0,46.4,21.55,0,1
140,2026-03-12 04:57:03.310,20.4504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,43,0,0.0,0.0,1501,1656,0.0,0.0,0.0,0.0,25.54,39.15,0,1
150,2026-03-12 04:57:04.881,22.0218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1501,1656,0.0,0.0,0.0,0.0,0.77,1296.54,0,1
160,2026-03-12 04:57:06.484,23.6242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1501,1656,0.0,0.0,0.0,0.0,0.77,1303.79,0,1
170,2026-03-12 04:57:08.080,25.2208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1501,1656,0.0,0.0,0.0,0.0,0.79,1261.44,0,1
180,2026-03-12 04:57:09.708,26.849,329.0,169.0,78.0,78.0,0.1551,2.5,19.5,126.78,LightTrack,0,5,1,9.0,-71.0,1501,1584,1,0.96,-0.095,0.0,47.46,21.07,0,1
190,2026-03-12 04:57:11.303,28.444,311.5,428.5,83.0,83.0,0.1598,-11.5,38.5,251.37,LightTrack,0,15,1,-8.5,188.5,1498,1672,-2,0.077,-0.055,0.0,46.78,21.38,0,1
200,2026-03-12 04:57:12.878,30.0185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,16,1,0.0,0.0,1498,1702,0.0,0.0,0.0,0.0,25.27,39.57,0,1
210,2026-03-12 04:57:14.446,31.5863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1498,1702,0.0,0.0,0.0,0.0,0.91,1093.41,0,1
220,2026-03-12 04:57:16.041,33.1821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1498,1702,0.0,0.0,0.0,0.0,0.73,1364.45,0,1
230,2026-03-12 04:57:17.639,34.7794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1498,1702,0.0,0.0,0.0,0.0,1.18,845.97,0,1
240,2026-03-12 04:57:19.278,36.4187,341.5,155.5,87.0,87.0,0.1583,-3.5,23.5,150.11,LightTrack,0,7,2,21.5,-84.5,1471,1549,-29,0.992,-0.245,0.0,49.12,20.36,0,1
250,2026-03-12 04:57:20.873,38.0137,375.5,236.5,83.0,83.0,0.1596,25.5,2.5,160.52,LightTrack,0,17,2,55.5,-3.5,1443,1519,-57,0.614,-0.721,-0.684,47.92,20.87,0,1
260,2026-03-12 04:57:22.469,39.6101,311.5,261.5,87.0,87.0,0.1603,-31.5,-0.5,196.58,LightTrack,0,27,2,-8.5,21.5,1333,1529,-167,0.433,-2.157,-2.0,48.33,20.69,0,1
270,2026-03-12 04:57:24.073,41.2139,414.0,204.0,96.0,96.0,0.1594,30.0,-44.0,334.12,LightTrack,0,37,2,94.0,-36.0,1318,1527,-182,0.532,-2.55,-2.0,49.74,20.1,0,1
280,2026-03-12 04:57:25.635,42.776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,46,2,0.0,0.0,1175,1501,0.0,0.0,0.0,0.0,25.98,38.49,0,1
290,2026-03-12 04:57:27.241,44.3818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,47,2,0.0,0.0,1205,1477,0.0,0.0,0.0,0.0,25.53,39.18,0,1
300,2026-03-12 04:57:28.849,45.9898,20.5,109.5,103.0,103.0,0.1619,-9.0,28.0,181.71,LightTrack,0,51,2,-299.5,-130.5,1325,1385,-175,0.692,0.278,-2.0,51.8,19.31,0,1
310,2026-03-12 04:57:30.419,47.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,51,2,0.0,0.0,1325,1385,0.0,0.0,0.0,0.0,25.94,38.55,0,1
320,2026-03-12 04:57:31.991,49.1314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1325,1385,0.0,0.0,0.0,0.0,1.13,888.81,0,1
330,2026-03-12 04:57:33.583,50.7232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1325,1385,0.0,0.0,0.0,0.0,0.93,1074.64,0,1
340,2026-03-12 04:57:35.179,52.3201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1325,1385,0.0,0.0,0.0,0.0,1.05,951.52,0,1
350,2026-03-12 04:57:36.830,53.9704,374.0,294.0,80.0,80.0,0.1603,54.0,-7.0,339.73,LightTrack,0,8,3,54.0,54.0,1456,1480,-44,0.449,-0.048,0.0,45.65,21.91,0,1
360,2026-03-12 04:57:38.422,55.5623,266.5,212.5,75.0,75.0,0.1577,-24.0,-19.0,194.05,LightTrack,0,18,3,-53.5,-27.5,1422,1535,-78,0.511,-0.72,-0.936,45.36,22.04,0,1
370,2026-03-12 04:57:40.008,57.1491,523.5,26.5,67.0,67.0,0.1598,-4.5,-11.5,77.28,LightTrack,0,28,3,203.5,-213.5,1267,1308,-233,0.7,-3.533,-2.0,46.41,21.55,0,1
380,2026-03-12 04:57:41.583,58.7241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,35,3,0.0,0.0,1102,1200,0.0,0.0,0.0,0.0,25.4,39.37,0,1
390,2026-03-12 04:57:43.071,60.2115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1102,1200,0.0,0.0,0.0,0.0,0.78,1286.2,0,1
400,2026-03-12 04:57:44.163,61.3036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1102,1200,0.0,0.0,0.0,0.0,0.8,1243.86,0,1
410,2026-03-12 04:57:45.543,62.6838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1102,1200,0.0,0.0,0.0,0.0,0.94,1063.46,0,1
420,2026-03-12 04:57:47.139,64.2797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1102,1200,0.0,0.0,0.0,0.0,0.82,1213.28,0,1
430,2026-03-12 04:57:48.599,65.7397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1102,1200,0.0,0.0,0.0,0.0,0.78,1275.64,0,1
440,2026-03-12 04:57:50.063,67.2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1102,1200,0.0,0.0,0.0,0.0,0.79,1268.31,0,1
