Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 04:49:30.108,1.5119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.77,1298.55,0,1
20,2026-03-12 04:49:31.693,3.0976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.76,1323.96,0,1
30,2026-03-12 04:49:33.300,4.7043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.02,980.66,0,1
40,2026-03-12 04:49:34.884,6.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.92,1083.52,0,1
50,2026-03-12 04:49:36.491,7.8957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.16,858.96,0,1
60,2026-03-12 04:49:38.075,9.4793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.88,531.53,0,1
70,2026-03-12 04:49:39.676,11.0807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.0,1002.46,0,1
80,2026-03-12 04:49:41.262,12.6661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.93,1078.78,0,1
90,2026-03-12 04:49:42.854,14.2583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.93,1079.89,0,1
100,2026-03-12 04:49:44.461,15.8651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.99,1006.31,0,1
110,2026-03-12 04:49:46.048,17.4522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.97,507.54,0,1
120,2026-03-12 04:49:47.639,19.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.96,1042.06,0,1
130,2026-03-12 04:49:49.245,20.6492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.02,975.65,0,1
140,2026-03-12 04:49:50.842,22.2467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.19,841.22,0,1
150,2026-03-12 04:49:52.422,23.8267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.79,1261.44,0,1
160,2026-03-12 04:49:54.029,25.4332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.89,1122.07,0,1
170,2026-03-12 04:49:55.614,27.0187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.77,1301.77,0,1
180,2026-03-12 04:49:57.207,28.6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.81,1230.36,0,1
190,2026-03-12 04:49:58.803,30.2069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.79,1271.77,0,1
200,2026-03-12 04:50:00.395,31.7992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.9,1113.14,0,1
210,2026-03-12 04:50:01.991,33.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.83,1211.53,0,1
220,2026-03-12 04:50:03.597,35.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.92,1086.33,0,1
230,2026-03-12 04:50:05.180,36.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.67,600.22,0,1
240,2026-03-12 04:50:06.851,38.2553,356.0,266.0,80.0,80.0,0.0,0.0,0.0,0.0,LightTrack,0,1,0,36.0,26.0,1494,1504,-6,0.298,-0.174,0.0,76.12,13.14,0,1
250,2026-03-12 04:50:08.418,39.8225,326.5,358.5,83.0,83.0,0.1612,1.5,19.5,121.3,LightTrack,0,11,0,6.5,118.5,1467,1598,-33,0.295,-0.108,0.0,47.83,20.91,0,1
260,2026-03-12 04:50:09.988,41.3928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,20,0,0.0,0.0,1338,1667,0.0,0.0,0.0,0.0,26.11,38.31,0,1
270,2026-03-12 04:50:11.605,43.0093,49.0,73.0,82.0,82.0,0.1595,-14.0,54.0,349.7,LightTrack,0,24,0,-271.0,-167.0,1458,1554,-42,0.834,1.398,0.0,46.72,21.4,0,1
280,2026-03-12 04:50:13.201,44.6051,310.5,197.5,87.0,87.0,0.1556,15.5,8.5,113.62,LightTrack,0,34,0,-9.5,-42.5,1602,1408,102,0.637,1.448,1.224,46.42,21.54,0,1
290,2026-03-12 04:50:14.772,46.1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,42,0,0.0,0.0,1571,1379,0.0,0.0,0.0,0.0,25.16,39.75,0,1
300,2026-03-12 04:50:16.343,47.7476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1571,1379,0.0,0.0,0.0,0.0,0.74,1343.04,0,1
310,2026-03-12 04:50:17.939,49.3436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1571,1379,0.0,0.0,0.0,0.0,0.74,1358.26,0,1
320,2026-03-12 04:50:19.533,50.9377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1571,1379,0.0,0.0,0.0,0.0,1.6,624.06,0,1
330,2026-03-12 04:50:21.175,52.5796,400.0,356.0,80.0,80.0,0.1623,-13.0,1.0,80.36,LightTrack,0,3,1,80.0,116.0,1531,1431,31,0.199,-0.563,0.0,48.57,20.59,0,1
340,2026-03-12 04:50:22.749,54.1529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,12,1,0.0,0.0,1599,1542,0.0,0.0,0.0,0.0,25.78,38.79,0,1
350,2026-03-12 04:50:24.340,55.7446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1599,1542,0.0,0.0,0.0,0.0,25.34,39.46,0,1
360,2026-03-12 04:50:25.912,57.3161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1599,1542,0.0,0.0,0.0,0.0,0.8,1252.78,0,1
370,2026-03-12 04:50:27.508,58.9122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1599,1542,0.0,0.0,0.0,0.0,0.84,1186.84,0,1
380,2026-03-12 04:50:28.980,60.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1599,1542,0.0,0.0,0.0,0.0,0.74,1348.22,0,1
390,2026-03-12 04:50:30.492,61.8961,371.0,275.0,82.0,82.0,0.1484,-1.0,13.0,87.83,LightTrack,0,10,2,51.0,35.0,1504,1533,4,0.597,-0.477,0.0,48.51,20.62,0,1
400,2026-03-12 04:50:31.950,63.3539,484.0,231.0,80.0,80.0,0.1431,0.0,-13.0,90.83,LightTrack,0,20,2,164.0,-9.0,1342,1564,-158,0.502,-2.917,-1.896,46.17,21.66,0,1
410,2026-03-12 04:50:33.417,64.8212,385.0,200.0,82.0,82.0,0.1507,13.5,-6.5,99.41,LightTrack,0,30,2,65.0,-40.0,1242,1519,-258,0.59,-2.52,-2.0,49.44,20.23,0,1
420,2026-03-12 04:50:34.875,66.2789,427.0,194.0,82.0,82.0,0.1436,10.0,3.0,72.69,LightTrack,0,40,2,107.0,-46.0,1118,1458,-382,0.62,-2.834,-2.0,47.12,21.22,0,1
430,2026-03-12 04:50:36.455,67.859,410.0,229.0,82.0,82.0,0.1575,4.0,21.0,135.77,LightTrack,0,50,2,90.0,-11.0,996,1398,-504,0.555,-2.751,-2.0,47.05,21.26,0,1
440,2026-03-12 04:50:38.050,69.4544,405.0,268.0,80.0,80.0,0.1609,-6.0,-5.0,48.54,LightTrack,0,60,2,85.0,28.0,800,1404,-700,0.417,-2.846,-2.0,46.13,21.68,0,1
450,2026-03-12 04:50:39.625,71.0293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,67,2,0.0,0.0,907,1430,0.0,0.0,0.0,0.0,25.32,39.49,0,1
460,2026-03-12 04:50:41.193,72.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,907,1430,0.0,0.0,0.0,0.0,0.94,1064.81,0,1
470,2026-03-12 04:50:42.789,74.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,907,1430,0.0,0.0,0.0,0.0,0.83,1198.03,0,1
480,2026-03-12 04:50:44.385,75.7891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,907,1430,0.0,0.0,0.0,0.0,0.81,1230.0,0,1
490,2026-03-12 04:50:45.978,77.382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,907,1430,0.0,0.0,0.0,0.0,1.1,908.84,0,1
500,2026-03-12 04:50:47.619,79.0231,134.5,280.5,85.0,85.0,0.1607,-84.5,-6.5,527.23,LightTrack,0,6,3,-185.5,40.5,944,1481,-556,0.354,-0.962,-2.0,46.64,21.44,0,1
510,2026-03-12 04:50:49.213,80.6173,46.5,260.5,71.0,71.0,0.16,-35.5,1.5,222.09,LightTrack,0,15,3,-273.5,20.5,1214,1513,-286,0.427,0.126,-2.0,44.75,22.35,0,1
520,2026-03-12 04:50:50.789,82.1933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,21,3,0.0,0.0,1394,1524,0.0,0.0,0.0,0.0,28.92,34.58,0,1
530,2026-03-12 04:50:52.357,83.7615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1394,1524,0.0,0.0,0.0,0.0,0.93,1075.74,0,1
540,2026-03-12 04:50:53.953,85.3574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1394,1524,0.0,0.0,0.0,0.0,0.77,1297.34,0,1
550,2026-03-12 04:50:55.548,86.9518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1394,1524,0.0,0.0,0.0,0.0,1.38,724.91,0,1
560,2026-03-12 04:50:57.189,88.5935,246.0,233.0,80.0,80.0,0.1611,-41.0,6.0,257.21,LightTrack,0,4,4,-74.0,-7.0,1419,1524,-81,0.485,-0.516,-0.972,48.76,20.51,0,1
570,2026-03-12 04:50:58.792,90.1968,382.0,253.0,80.0,80.0,0.1698,65.0,-5.0,384.02,LightTrack,0,14,4,62.0,13.0,1477,1550,-23,0.619,-0.18,0.0,45.8,21.84,0,1
580,2026-03-12 04:51:00.374,91.7784,394.0,171.0,70.0,70.0,0.1603,-1.5,-9.5,60.0,LightTrack,0,24,4,74.0,-69.0,1261,1510,-239,0.659,-2.748,-2.0,45.55,21.96,0,1
590,2026-03-12 04:51:01.980,93.3841,431.0,201.0,70.0,70.0,0.1587,-45.0,6.0,286.11,LightTrack,0,34,4,111.0,-39.0,1045,1424,-455,0.61,-3.161,-2.0,44.77,22.34,0,1
600,2026-03-12 04:51:03.565,94.9694,358.0,231.0,68.0,68.0,0.1593,6.0,13.0,89.9,LightTrack,0,44,4,38.0,-9.0,1010,1403,-490,0.532,-2.331,-2.0,44.34,22.55,0,1
610,2026-03-12 04:51:05.157,96.5612,288.0,227.0,66.0,66.0,0.1582,-4.0,-7.0,50.97,LightTrack,0,54,4,-32.0,-13.0,1009,1403,-491,0.517,-1.786,-2.0,44.06,22.7,0,1
620,2026-03-12 04:51:06.744,98.1484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,59,4,0.0,0.0,1015,1403,0.0,0.0,0.0,0.0,24.97,40.04,0,1
630,2026-03-12 04:51:08.316,99.7203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,5,0.0,0.0,1015,1403,0.0,0.0,0.0,0.0,0.77,1292.15,0,1
640,2026-03-12 04:51:09.898,101.3021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,5,0.0,0.0,1015,1403,0.0,0.0,0.0,0.0,0.75,1339.61,0,1
650,2026-03-12 04:51:11.505,102.9095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,5,0.0,0.0,1015,1403,0.0,0.0,0.0,0.0,0.72,1388.38,0,1
660,2026-03-12 04:51:13.136,104.5405,196.0,316.0,78.0,78.0,0.1599,-29.5,-11.5,198.0,LightTrack,0,4,5,-124.0,76.0,1076,1453,-424,0.246,-0.993,-2.0,46.97,21.29,0,1
670,2026-03-12 04:51:14.728,106.1322,191.5,302.5,85.0,85.0,0.1592,24.5,-2.5,154.71,LightTrack,0,14,5,-128.5,62.5,1349,1543,-151,0.316,-0.628,-1.812,46.6,21.46,0,1
680,2026-03-12 04:51:16.326,107.7306,435.0,222.0,90.0,90.0,0.1604,6.0,-1.0,37.93,LightTrack,0,24,5,115.0,-18.0,1336,1546,-164,0.539,-2.628,-1.968,49.0,20.41,0,1
690,2026-03-12 04:51:17.917,109.321,420.5,211.5,85.0,85.0,0.1558,0.0,-8.0,51.34,LightTrack,0,34,5,100.5,-28.5,1203,1490,-297,0.567,-2.84,-2.0,47.3,21.14,0,1
700,2026-03-12 04:51:19.513,110.9174,330.0,230.0,92.0,92.0,0.1606,-4.0,0.0,24.91,LightTrack,0,44,5,10.0,-10.0,1143,1474,-357,0.516,-2.177,-2.0,47.69,20.97,0,1
710,2026-03-12 04:51:21.110,112.5141,329.0,248.0,94.0,94.0,0.1596,-30.0,14.0,207.41,LightTrack,0,54,5,9.0,8.0,1081,1471,-419,0.49,-2.293,-2.0,48.29,20.71,0,1
720,2026-03-12 04:51:22.706,114.1101,252.0,276.0,96.0,96.0,0.1569,-8.0,-4.0,57.01,LightTrack,0,64,5,-68.0,36.0,1135,1500,-365,0.386,-1.505,-2.0,52.07,19.21,0,1
730,2026-03-12 04:51:24.301,115.7051,418.0,174.0,98.0,98.0,0.1595,27.0,8.0,176.55,LightTrack,0,74,5,98.0,-66.0,1115,1432,-385,0.682,-2.625,-2.0,51.07,19.58,0,1
740,2026-03-12 04:51:25.896,117.2998,324.0,230.0,96.0,96.0,0.1616,24.0,13.0,168.93,LightTrack,0,84,5,4.0,-10.0,1030,1409,-470,0.537,-2.03,-2.0,49.8,20.08,0,1
750,2026-03-12 04:51:27.487,118.8917,209.0,269.0,92.0,92.0,0.1579,-29.0,5.0,186.32,LightTrack,0,94,5,-111.0,29.0,1043,1425,-457,0.418,-1.275,-2.0,49.61,20.16,0,1
760,2026-03-12 04:51:29.081,120.4857,331.0,242.0,92.0,92.0,0.16,3.0,0.0,18.76,LightTrack,0,104,5,11.0,2.0,1102,1440,-398,0.484,-1.971,-2.0,47.55,21.03,0,1
770,2026-03-12 04:51:30.678,122.082,372.0,241.0,92.0,92.0,0.1605,-12.0,3.0,77.09,LightTrack,0,114,5,52.0,1.0,1046,1439,-454,0.493,-2.504,-2.0,47.72,20.95,0,1
780,2026-03-12 04:51:32.259,123.6633,351.0,229.0,92.0,92.0,0.1443,14.0,-12.0,127.83,LightTrack,0,124,5,31.0,-11.0,1055,1439,-445,0.504,-2.103,-2.0,48.79,20.49,0,1
790,2026-03-12 04:51:33.720,125.1247,207.0,228.0,92.0,92.0,0.1461,-27.0,0.0,184.81,LightTrack,0,134,5,-113.0,-12.0,1056,1448,-444,0.502,-1.341,-2.0,50.28,19.89,0,1
800,2026-03-12 04:51:35.188,126.5921,275.0,249.0,92.0,92.0,0.1542,-27.0,15.0,200.32,LightTrack,0,144,5,-45.0,9.0,1034,1451,-466,0.491,-1.917,-2.0,53.72,18.62,0,1
810,2026-03-12 04:51:36.658,128.0627,386.0,261.0,92.0,92.0,0.1549,21.0,15.0,166.57,LightTrack,0,154,5,66.0,21.0,1077,1455,-423,0.456,-2.342,-2.0,48.21,20.74,0,1
820,2026-03-12 04:51:38.252,129.6562,307.0,255.0,92.0,92.0,0.1612,28.0,-14.0,194.23,LightTrack,0,164,5,-13.0,15.0,1109,1482,-391,0.429,-1.672,-2.0,49.69,20.12,0,1
830,2026-03-12 04:51:39.850,131.2539,416.0,169.0,92.0,92.0,0.1639,20.0,-26.0,200.08,LightTrack,0,174,5,96.0,-71.0,1090,1458,-410,0.635,-2.622,-2.0,51.17,19.54,0,1
840,2026-03-12 04:51:41.442,132.8461,377.0,274.0,92.0,92.0,0.1587,-23.0,1.0,145.08,LightTrack,0,184,5,57.0,34.0,931,1415,-569,0.422,-2.641,-2.0,47.28,21.15,0,1
850,2026-03-12 04:51:43.033,134.4378,320.0,232.0,90.0,90.0,0.16,26.0,0.0,162.48,LightTrack,0,194,5,0.0,-8.0,1053,1464,-447,0.49,-1.75,-2.0,47.02,21.27,0,1
860,2026-03-12 04:51:44.632,136.0367,316.0,245.0,90.0,90.0,0.1625,-7.0,3.0,46.86,LightTrack,0,204,5,-4.0,5.0,1025,1457,-475,0.484,-2.091,-2.0,48.22,20.74,0,1
870,2026-03-12 04:51:46.229,137.6333,399.0,242.0,88.0,88.0,0.1634,1.0,6.0,37.23,LightTrack,0,214,5,79.0,2.0,946,1435,-554,0.504,-2.659,-2.0,50.28,19.89,0,1
880,2026-03-12 04:51:47.819,139.2235,340.5,246.5,87.0,87.0,0.1618,22.0,-11.0,151.99,LightTrack,0,224,5,20.5,6.5,998,1447,-502,0.454,-1.879,-2.0,46.83,21.35,0,1
890,2026-03-12 04:51:49.416,140.8202,357.5,216.5,87.0,87.0,0.16,3.0,3.0,26.52,LightTrack,0,234,5,37.5,-23.5,946,1427,-554,0.558,-2.338,-2.0,49.07,20.38,0,1
900,2026-03-12 04:51:51.011,142.4156,346.5,261.5,87.0,87.0,0.1587,-21.0,3.0,133.68,LightTrack,0,244,5,26.5,21.5,873,1407,-627,0.449,-2.356,-2.0,47.94,20.86,0,1
910,2026-03-12 04:51:52.602,144.0066,258.0,247.0,88.0,88.0,0.1602,18.0,-19.0,163.38,LightTrack,0,254,5,-62.0,7.0,1003,1479,-497,0.42,-1.307,-2.0,47.26,21.16,0,1
920,2026-03-12 04:51:54.200,145.6043,412.0,232.0,88.0,88.0,0.16,-8.0,13.0,95.39,LightTrack,0,264,5,92.0,-8.0,943,1429,-557,0.548,-2.787,-2.0,48.86,20.47,0,1
930,2026-03-12 04:51:55.798,147.2025,330.0,221.0,88.0,88.0,0.1636,2.0,-4.0,27.34,LightTrack,0,274,5,10.0,-19.0,867,1395,-633,0.542,-2.188,-2.0,51.08,19.58,0,1
940,2026-03-12 04:51:57.387,148.7909,285.0,257.0,88.0,88.0,0.1599,-17.0,5.0,110.85,LightTrack,0,284,5,-35.0,17.0,842,1392,-658,0.453,-1.874,-2.0,47.4,21.1,0,1
950,2026-03-12 04:51:58.993,150.397,255.5,239.5,87.0,87.0,0.1709,15.0,-2.0,88.54,LightTrack,0,294,5,-64.5,-0.5,937,1433,-563,0.472,-1.373,-2.0,46.95,21.3,0,1
960,2026-03-12 04:52:00.585,151.9897,293.0,240.0,88.0,88.0,0.1626,-38.5,6.5,240.13,LightTrack,0,304,5,-27.0,0.0,914,1436,-586,0.49,-2.028,-2.0,47.19,21.19,0,1
970,2026-03-12 04:52:02.181,153.5855,335.5,226.5,85.0,85.0,0.168,4.0,-1.0,24.55,LightTrack,0,314,5,15.5,-13.5,921,1436,-579,0.523,-2.141,-2.0,47.41,21.09,0,1
980,2026-03-12 04:52:03.766,155.17,229.5,229.5,85.0,85.0,0.1594,-15.0,1.0,94.34,LightTrack,0,324,5,-90.5,-10.5,968,1439,-532,0.514,-1.354,-2.0,46.19,21.65,0,1
