Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 05:03:06.984,0.9558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.05,952.17,0,1
20,2026-03-12 05:03:08.169,2.1405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.83,1210.13,0,1
30,2026-03-12 05:03:09.365,3.3363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.8,1255.03,0,1
40,2026-03-12 05:03:10.601,4.5724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.95,1052.26,0,1
50,2026-03-12 05:03:12.197,6.1684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.97,1032.32,0,1
60,2026-03-12 05:03:13.793,7.7644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.85,1175.2,0,1
70,2026-03-12 05:03:15.385,9.3564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.76,1318.55,0,1
80,2026-03-12 05:03:16.982,10.9528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.94,1060.77,0,1
90,2026-03-12 05:03:18.574,12.5458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.45,689.63,0,1
100,2026-03-12 05:03:20.170,14.1413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.03,969.33,0,1
110,2026-03-12 05:03:21.811,15.7824,509.0,310.0,82.0,82.0,0.1357,0.0,1.0,7.37,LightTrack,0,2,0,189.0,70.0,1444,1521,-56,0.253,-1.515,-0.672,46.41,21.55,0,1
120,2026-03-12 05:03:23.392,17.3634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,4,0,0.0,0.0,1407,1540,0.0,0.0,0.0,0.0,25.05,39.91,0,1
130,2026-03-12 05:03:24.996,18.9672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,8,0,0.0,0.0,1527,1431,0.0,0.0,0.0,0.0,43.07,23.22,0,1
140,2026-03-12 05:03:26.592,20.5637,177.5,29.5,63.0,63.0,0.1494,31.0,-11.0,220.11,LightTrack,0,13,0,-142.5,-210.5,1661,1281,161,0.707,3.042,1.932,43.63,22.92,0,1
150,2026-03-12 05:03:28.187,22.158,390.5,22.5,59.0,59.0,0.1568,9.0,-29.0,193.68,LightTrack,0,23,0,70.5,-217.5,1668,1200,168,0.7,1.544,2.0,45.66,21.9,0,1
160,2026-03-12 05:03:29.762,23.7334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,25,0,0.0,0.0,1683,1200,0.0,0.0,0.0,0.0,25.06,39.9,0,1
170,2026-03-12 05:03:31.330,25.3013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1683,1200,0.0,0.0,0.0,0.0,0.82,1224.61,0,1
180,2026-03-12 05:03:32.926,26.8972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1683,1200,0.0,0.0,0.0,0.0,0.78,1275.64,0,1
190,2026-03-12 05:03:34.522,28.4933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1683,1200,0.0,0.0,0.0,0.0,0.79,1272.93,0,1
200,2026-03-12 05:03:36.114,30.0853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1683,1200,0.0,0.0,0.0,0.0,0.78,1277.97,0,1
210,2026-03-12 05:03:37.710,31.6814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1683,1200,0.0,0.0,0.0,0.0,0.8,1249.79,0,1
220,2026-03-12 05:03:39.015,32.9863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1683,1200,0.0,0.0,0.0,0.0,1.55,647.07,0,1
230,2026-03-12 05:03:39.718,33.6895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1683,1200,0.0,0.0,0.0,0.0,0.72,1382.89,0,1
240,2026-03-12 05:03:40.382,34.3536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1683,1200,0.0,0.0,0.0,0.0,0.75,1334.49,0,1
250,2026-03-12 05:03:41.046,35.0176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1683,1200,0.0,0.0,0.0,0.0,0.75,1340.03,0,1
260,2026-03-12 05:03:41.710,35.6816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1683,1200,0.0,0.0,0.0,0.0,0.76,1323.96,0,1
270,2026-03-12 05:03:42.374,36.3457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1683,1200,0.0,0.0,0.0,0.0,0.79,1258.04,0,1
280,2026-03-12 05:03:43.039,37.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1683,1200,0.0,0.0,0.0,0.0,1.1,905.7,0,1
290,2026-03-12 05:03:43.758,37.7289,327.0,283.0,74.0,74.0,0.058,-12.5,-2.5,219.77,LightTrack,0,9,1,7.0,43.0,1588,1259,88,0.365,0.848,1.056,49.22,20.32,0,1
300,2026-03-12 05:03:44.352,38.3229,385.0,338.0,72.0,72.0,0.0589,2.0,1.0,37.95,LightTrack,0,19,1,65.0,98.0,1512,1370,12,0.326,-0.535,0.0,50.38,19.85,0,1
310,2026-03-12 05:03:44.968,38.9391,372.5,279.5,67.0,67.0,0.062,8.0,-1.0,130.0,LightTrack,0,29,1,52.5,39.5,1459,1474,-41,0.524,-0.441,0.0,51.89,19.27,0,1
320,2026-03-12 05:03:45.570,39.5414,348.5,239.5,63.0,63.0,0.0562,3.5,-2.5,76.52,LightTrack,0,39,1,28.5,-0.5,1399,1482,-101,0.486,-1.44,-1.212,47.42,21.09,0,1
330,2026-03-12 05:03:46.169,40.1398,334.5,217.5,59.0,59.0,0.0637,-4.0,-1.0,64.69,LightTrack,0,49,1,14.5,-22.5,1366,1467,-134,0.549,-1.781,-1.608,46.95,21.3,0,1
340,2026-03-12 05:03:46.765,40.7363,313.0,231.0,58.0,58.0,0.0632,-9.0,1.0,143.23,LightTrack,0,59,1,-7.0,-9.0,1343,1449,-157,0.52,-1.938,-1.884,47.24,21.17,0,1
350,2026-03-12 05:03:47.563,41.5346,273.5,249.5,53.0,53.0,0.0802,0.0,1.0,12.48,LightTrack,0,69,1,-46.5,9.5,1389,1449,-111,0.467,-1.042,-1.332,45.39,22.03,0,1
360,2026-03-12 05:03:48.359,42.3301,342.0,251.0,52.0,52.0,0.0826,4.0,-2.0,54.16,LightTrack,0,79,1,22.0,11.0,1395,1449,-105,0.458,-1.316,-1.26,44.99,22.23,0,1
370,2026-03-12 05:03:49.157,43.1286,375.0,247.0,52.0,52.0,0.0728,-2.0,-1.0,30.72,LightTrack,0,89,1,55.0,7.0,1323,1449,-177,0.467,-2.448,-2.0,47.32,21.13,0,1
380,2026-03-12 05:03:49.954,43.9249,370.0,240.0,52.0,52.0,0.0786,-3.0,2.0,45.88,LightTrack,0,99,1,50.0,0.0,1273,1449,-227,0.493,-2.446,-2.0,43.7,22.88,0,1
390,2026-03-12 05:03:50.870,44.8415,334.0,219.0,52.0,52.0,0.1214,0.0,-2.0,16.48,LightTrack,0,109,1,14.0,-21.0,1265,1441,-235,0.541,-2.146,-2.0,44.23,22.61,0,1
400,2026-03-12 05:03:52.066,46.0371,289.5,251.5,53.0,53.0,0.1206,-7.0,15.0,137.27,LightTrack,0,119,1,-30.5,11.5,1264,1439,-236,0.475,-1.848,-2.0,43.81,22.83,0,1
410,2026-03-12 05:03:53.271,47.2427,291.5,284.5,51.0,51.0,0.1288,-24.0,1.0,186.56,LightTrack,0,129,1,-28.5,44.5,1275,1476,-225,0.373,-1.898,-2.0,43.08,23.21,0,1
420,2026-03-12 05:03:54.470,48.4409,323.5,254.5,51.0,51.0,0.1216,37.0,-8.0,311.4,LightTrack,0,139,1,3.5,14.5,1410,1528,-90,0.431,-0.869,-1.08,45.17,22.14,0,1
430,2026-03-12 05:03:55.656,49.6273,466.0,193.0,50.0,50.0,0.1193,2.0,10.0,85.5,LightTrack,0,149,1,146.0,-47.0,1242,1488,-258,0.625,-3.193,-2.0,45.78,21.84,0,1
440,2026-03-12 05:03:56.864,50.8354,454.0,178.0,50.0,50.0,0.1325,15.0,-6.0,121.89,LightTrack,0,159,1,134.0,-62.0,1056,1414,-444,0.653,-3.064,-2.0,45.84,21.81,0,1
450,2026-03-12 05:03:58.247,52.2178,425.0,232.0,50.0,50.0,0.1599,-24.0,12.0,167.78,LightTrack,0,169,1,105.0,-8.0,848,1352,-652,0.544,-3.013,-2.0,44.23,22.61,0,1
460,2026-03-12 05:03:59.819,53.7905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,172,1,0.0,0.0,826,1352,0.0,0.0,0.0,0.0,24.91,40.14,0,1
470,2026-03-12 05:04:01.391,55.3624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,826,1352,0.0,0.0,0.0,0.0,0.8,1245.34,0,1
480,2026-03-12 05:04:02.987,56.9585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,826,1352,0.0,0.0,0.0,0.0,0.78,1280.31,0,1
490,2026-03-12 05:04:04.580,58.5509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,826,1352,0.0,0.0,0.0,0.0,0.95,1051.73,0,1
500,2026-03-12 05:04:06.175,60.1467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,826,1352,0.0,0.0,0.0,0.0,0.76,1323.12,0,1
510,2026-03-12 05:04:07.783,61.7543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,826,1352,0.0,0.0,0.0,0.0,1.07,935.18,0,1
520,2026-03-12 05:04:09.411,63.3821,271.0,387.0,78.0,78.0,0.1519,0.0,-1.0,6.58,LightTrack,0,3,2,-49.0,147.0,847,1418,-653,0.068,-1.354,-2.0,47.95,20.85,0,1
530,2026-03-12 05:04:11.003,64.9738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,10,2,0.0,0.0,986,1503,0.0,0.0,0.0,0.0,43.54,22.97,0,1
540,2026-03-12 05:04:12.599,66.5703,204.0,295.0,66.0,66.0,0.1602,0.0,5.0,31.2,LightTrack,0,19,2,-116.0,55.0,1212,1578,-288,0.343,-0.932,-2.0,43.99,22.73,0,1
550,2026-03-12 05:04:14.192,68.1632,188.0,404.0,58.0,58.0,0.1599,5.5,-1.5,35.65,LightTrack,0,29,2,-132.0,164.0,1382,1747,-118,0.03,-0.505,-1.416,44.7,22.37,0,1
560,2026-03-12 05:04:15.793,69.7638,230.0,339.0,62.0,62.0,0.1629,-17.0,-25.0,185.59,LightTrack,0,39,2,-90.0,99.0,1538,1900,38,0.246,0.757,0.0,49.45,20.22,0,1
570,2026-03-12 05:04:17.383,71.3538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,40,2,0.0,0.0,1550,1900,0.0,0.0,0.0,0.0,43.42,23.03,0,1
580,2026-03-12 05:04:18.975,72.9466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,43,2,0.0,0.0,1640,1811,0.0,0.0,0.0,0.0,43.88,22.79,0,1
590,2026-03-12 05:04:20.430,74.4017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,44,2,0.0,0.0,1670,1781,0.0,0.0,0.0,0.0,24.89,40.17,0,1
600,2026-03-12 05:04:21.804,75.7753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1670,1781,0.0,0.0,0.0,0.0,0.71,1405.6,0,1
610,2026-03-12 05:04:22.868,76.8394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1670,1781,0.0,0.0,0.0,0.0,0.73,1367.56,0,1
620,2026-03-12 05:04:23.928,77.8995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1670,1781,0.0,0.0,0.0,0.0,0.72,1390.68,0,1
630,2026-03-12 05:04:24.992,78.9638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1670,1781,0.0,0.0,0.0,0.0,0.91,1103.18,0,1
640,2026-03-12 05:04:26.056,80.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1670,1781,0.0,0.0,0.0,0.0,0.74,1358.26,0,1
650,2026-03-12 05:04:27.131,81.1022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1670,1781,0.0,0.0,0.0,0.0,0.96,1038.45,0,1
660,2026-03-12 05:04:28.197,82.1681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1670,1781,0.0,0.0,0.0,0.0,1.11,898.91,0,1
670,2026-03-12 05:04:29.245,83.2168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1670,1781,0.0,0.0,0.0,0.0,1.05,951.52,0,1
680,2026-03-12 05:04:30.310,84.2811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1670,1781,0.0,0.0,0.0,0.0,1.54,647.57,0,1
690,2026-03-12 05:04:31.384,85.3555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1670,1781,0.0,0.0,0.0,0.0,2.01,496.66,0,1
700,2026-03-12 05:04:32.447,86.4186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1670,1781,0.0,0.0,0.0,0.0,0.95,1054.11,0,1
