Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 04:40:59.912,1.2549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.01,991.8,0,1
20,2026-03-12 04:41:01.244,2.5868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.78,1274.09,0,1
30,2026-03-12 04:41:02.583,3.9259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.92,1082.68,0,1
40,2026-03-12 04:41:03.901,5.2432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.86,1164.76,0,1
50,2026-03-12 04:41:05.229,6.5713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.99,1013.61,0,1
60,2026-03-12 04:41:06.563,7.9052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,2.55,392.54,0,1
70,2026-03-12 04:41:07.890,9.2328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.94,515.65,0,1
80,2026-03-12 04:41:09.217,10.5592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.79,1270.62,0,1
90,2026-03-12 04:41:10.555,11.8978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.84,1195.64,0,1
100,2026-03-12 04:41:11.873,13.2154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.81,1242.02,0,1
110,2026-03-12 04:41:13.201,14.5433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.73,1372.03,0,1
120,2026-03-12 04:41:14.533,15.8754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.87,1153.23,0,1
130,2026-03-12 04:41:15.861,17.2036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.84,1190.55,0,1
140,2026-03-12 04:41:17.189,18.5318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.9,1107.55,0,1
150,2026-03-12 04:41:18.517,19.8597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.91,1101.45,0,1
160,2026-03-12 04:41:19.849,21.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.89,530.12,0,1
170,2026-03-12 04:41:21.189,22.5314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.86,1167.68,0,1
180,2026-03-12 04:41:22.506,23.8483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.9,1108.43,0,1
190,2026-03-12 04:41:23.846,25.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.36,733.4,0,1
200,2026-03-12 04:41:25.173,26.5155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.77,1298.55,0,1
210,2026-03-12 04:41:26.540,27.8825,344.5,302.5,85.0,85.0,0.1358,11.5,1.5,85.42,LightTrack,0,10,0,24.5,62.5,1551,1570,51,0.33,0.562,0.612,50.23,19.91,0,1
220,2026-03-12 04:41:27.868,29.2104,401.5,321.5,83.0,83.0,0.1347,28.0,-7.0,214.33,LightTrack,0,20,0,81.5,81.5,1476,1713,-24,0.352,-0.578,0.0,47.15,21.21,0,1
230,2026-03-12 04:41:29.195,30.5373,319.0,365.0,80.0,80.0,0.13,-1.0,-7.0,54.41,LightTrack,0,30,0,-1.0,125.0,1392,1889,-108,0.133,-1.401,-1.296,45.96,21.76,0,1
240,2026-03-12 04:41:30.630,31.9729,32.0,70.0,82.0,82.0,0.1609,7.0,29.0,185.43,LightTrack,0,38,0,-288.0,-170.0,1445,1845,-55,0.575,0.816,-0.66,45.49,21.99,0,1
250,2026-03-12 04:41:32.203,33.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,45,0,0.0,0.0,1637,1727,0.0,0.0,0.0,0.0,25.62,39.04,0,1
260,2026-03-12 04:41:33.774,35.1162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1637,1727,0.0,0.0,0.0,0.0,0.77,1301.77,0,1
270,2026-03-12 04:41:35.366,36.7085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1637,1727,0.0,0.0,0.0,0.0,0.79,1259.55,0,1
280,2026-03-12 04:41:36.962,38.3046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1637,1727,0.0,0.0,0.0,0.0,0.84,1193.94,0,1
290,2026-03-12 04:41:38.371,39.7134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1637,1727,0.0,0.0,0.0,0.0,1.02,983.19,0,1
300,2026-03-12 04:41:39.745,41.0873,378.5,200.5,85.0,85.0,0.1334,-10.0,24.0,194.9,LightTrack,0,8,1,58.5,-39.5,1551,1584,51,0.639,0.101,0.612,47.52,21.05,0,1
310,2026-03-12 04:41:41.077,42.4195,449.0,327.0,78.0,78.0,0.1271,43.0,-12.0,351.32,LightTrack,0,18,1,129.0,87.0,1493,1708,-7,0.299,-0.818,0.0,47.72,20.95,0,1
320,2026-03-12 04:41:42.383,43.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,21,1,0.0,0.0,1419,1748,0.0,0.0,0.0,0.0,25.1,39.84,0,1
330,2026-03-12 04:41:43.696,45.0389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1419,1748,0.0,0.0,0.0,0.0,0.71,1402.78,0,1
340,2026-03-12 04:41:45.015,46.3572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1419,1748,0.0,0.0,0.0,0.0,1.15,871.63,0,1
350,2026-03-12 04:41:46.344,47.6865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1419,1748,0.0,0.0,0.0,0.0,1.02,984.35,0,1
360,2026-03-12 04:41:47.686,49.0287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1419,1748,0.0,0.0,0.0,0.0,1.21,826.95,0,1
370,2026-03-12 04:41:49.049,50.3911,306.5,180.5,87.0,87.0,0.1225,1.0,21.0,171.59,LightTrack,0,8,2,-13.5,-59.5,1424,1581,-76,0.675,-0.736,-0.912,46.53,21.49,0,1
380,2026-03-12 04:41:50.378,51.7202,467.0,252.0,80.0,80.0,0.1315,-11.0,-12.0,123.79,LightTrack,0,18,2,147.0,12.0,1341,1590,-159,0.444,-2.782,-1.908,47.68,20.97,0,1
390,2026-03-12 04:41:51.973,53.3154,369.0,169.0,80.0,80.0,0.1607,-8.0,23.0,151.5,LightTrack,0,28,2,49.0,-71.0,1230,1495,-270,0.691,-2.463,-2.0,47.17,21.2,0,1
400,2026-03-12 04:41:53.565,54.9072,469.0,241.0,80.0,80.0,0.1567,7.0,18.0,123.28,LightTrack,0,38,2,149.0,1.0,1104,1433,-396,0.529,-3.124,-2.0,46.8,21.37,0,1
410,2026-03-12 04:41:55.159,56.5016,21.5,56.5,77.0,77.0,0.1597,-1.0,7.0,44.27,LightTrack,0,43,2,-298.5,-183.5,1121,1381,-379,0.636,-0.352,-2.0,45.1,22.17,0,1
420,2026-03-12 04:41:56.754,58.0963,173.0,115.0,70.0,70.0,0.1599,28.0,7.0,180.51,LightTrack,0,50,2,-147.0,-125.0,1316,1210,-184,0.7,-0.558,-2.0,43.86,22.8,0,1
430,2026-03-12 04:41:58.346,59.6887,271.0,41.0,70.0,70.0,0.1587,-16.0,0.0,100.82,LightTrack,0,60,2,-49.0,-199.0,1410,1200,-90,0.7,-0.744,-1.08,44.09,22.68,0,1
