Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 04:02:31.479,1.1112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.85,1171.59,0,1
20,2026-03-12 04:02:32.675,2.3074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.01,985.27,0,1
30,2026-03-12 04:02:33.860,3.4929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.94,1065.9,0,1
40,2026-03-12 04:02:35.057,4.6891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.95,1050.15,0,1
50,2026-03-12 04:02:36.264,5.8962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.4,716.12,0,1
60,2026-03-12 04:02:37.449,7.0818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.2,836.69,0,1
70,2026-03-12 04:02:38.645,8.2779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.14,878.39,0,1
80,2026-03-12 04:02:39.841,9.4732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.93,1070.79,0,1
90,2026-03-12 04:02:41.048,10.6801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.34,744.07,0,1
100,2026-03-12 04:02:42.243,11.8756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.85,1176.19,0,1
110,2026-03-12 04:02:43.439,13.0717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.92,1084.92,0,1
120,2026-03-12 04:02:44.625,14.2575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.97,1029.78,0,1
130,2026-03-12 04:02:45.832,15.4647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.29,776.72,0,1
140,2026-03-12 04:02:47.017,16.6496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.88,1131.15,0,1
150,2026-03-12 04:02:48.237,17.8697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.51,661.04,0,1
160,2026-03-12 04:02:49.409,19.0418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.03,975.19,0,1
170,2026-03-12 04:02:50.616,20.2481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.94,1066.98,0,1
180,2026-03-12 04:02:51.801,21.4338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.98,1016.06,0,1
190,2026-03-12 04:02:52.997,22.6298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.92,1085.48,0,1
200,2026-03-12 04:02:54.509,24.1419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.9,1116.4,0,1
210,2026-03-12 04:02:56.106,25.7385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.46,683.89,0,1
220,2026-03-12 04:02:57.713,27.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.28,783.4,0,1
230,2026-03-12 04:02:59.356,28.9881,324.0,251.0,80.0,80.0,0.1286,0.0,0.0,0.0,NanoTrack,0,2,0,4.0,11.0,1500,1500,0,0.492,0.0,0.0,60.56,16.51,0,1
240,2026-03-12 04:03:00.954,30.5865,342.5,303.5,87.0,87.0,0.16,-6.0,3.0,41.92,NanoTrack,0,12,0,22.5,63.5,1483,1559,-17,0.462,-0.245,0.0,55.03,18.17,0,1
250,2026-03-12 04:03:02.540,32.1724,398.0,270.0,92.0,92.0,0.1587,-24.0,-28.0,232.33,NanoTrack,0,22,0,78.0,30.0,1307,1647,-193,0.353,-2.8,-2.0,55.04,18.17,0,1
260,2026-03-12 04:03:04.131,33.7637,249.0,202.0,90.0,90.0,0.159,12.0,10.0,98.25,NanoTrack,0,32,0,-71.0,-38.0,1410,1644,-90,0.592,-0.487,-1.08,54.25,18.43,0,1
