Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 03:44:14.881,1.3019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.83,1201.12,0,1
20,2026-03-12 03:44:16.477,2.8981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.0,995.56,0,1
30,2026-03-12 03:44:18.070,4.4911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.19,841.05,0,1
40,2026-03-12 03:44:19.666,6.0867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.03,968.44,0,1
50,2026-03-12 03:44:21.262,7.683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.93,1071.34,0,1
60,2026-03-12 03:44:22.854,9.2744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.78,1279.53,0,1
70,2026-03-12 03:44:24.450,10.8711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.68,595.44,0,1
80,2026-03-12 03:44:26.042,12.4626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.95,1054.91,0,1
90,2026-03-12 03:44:27.650,14.0707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.25,799.22,0,1
100,2026-03-12 03:44:29.235,15.6555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.08,924.47,0,1
110,2026-03-12 03:44:30.826,17.2466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.76,1308.68,0,1
120,2026-03-12 03:44:32.422,18.8429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.0,996.51,0,1
130,2026-03-12 03:44:34.019,20.4392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.26,796.19,0,1
140,2026-03-12 03:44:35.610,22.0309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.86,1157.69,0,1
150,2026-03-12 03:44:37.206,23.6268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.77,1301.37,0,1
160,2026-03-12 03:44:38.809,25.2293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.82,1215.39,0,1
170,2026-03-12 03:44:40.406,26.8264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.87,1146.3,0,1
180,2026-03-12 03:44:42.060,28.4808,322.0,272.0,80.0,80.0,0.1456,0.0,0.0,0.0,NanoTrack,0,2,0,2.0,32.0,1500,1510,0,0.429,0.0,0.0,59.66,16.76,0,1
190,2026-03-12 03:44:43.646,30.0665,308.0,323.0,82.0,82.0,0.1559,8.0,-59.0,382.03,NanoTrack,0,12,0,-12.0,83.0,1506,1641,6,0.269,0.034,0.0,53.05,18.85,0,1
200,2026-03-12 03:44:45.211,31.6316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,19,0,0.0,0.0,1518,1707,0.0,0.0,0.0,0.0,33.07,30.24,0,1
210,2026-03-12 03:44:46.785,33.2058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1518,1707,0.0,0.0,0.0,0.0,1.1,906.48,0,1
220,2026-03-12 03:44:48.367,34.7875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1518,1707,0.0,0.0,0.0,0.0,0.86,1162.18,0,1
230,2026-03-12 03:44:49.935,36.3556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1518,1707,0.0,0.0,0.0,0.0,0.82,1224.61,0,1
240,2026-03-12 03:44:51.412,37.8329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1518,1707,0.0,0.0,0.0,0.0,1.47,681.45,0,1
250,2026-03-12 03:44:52.911,39.3316,369.5,111.5,83.0,83.0,0.1408,-2.0,26.0,185.18,NanoTrack,0,5,1,49.5,-128.5,1476,1581,-24,0.969,-0.46,0.0,52.79,18.94,0,1
260,2026-03-12 03:44:54.377,40.798,419.0,260.0,90.0,90.0,0.1357,36.0,-1.0,265.42,NanoTrack,0,15,1,99.0,20.0,1409,1547,-91,0.444,-1.592,-1.092,55.05,18.16,0,1
270,2026-03-12 03:44:55.846,42.2671,297.5,251.5,87.0,87.0,0.1534,-6.5,0.5,42.5,NanoTrack,0,25,1,-22.5,11.5,1367,1582,-133,0.441,-1.535,-1.596,53.86,18.57,0,1
280,2026-03-12 03:44:57.312,43.7328,446.0,183.0,82.0,82.0,0.1607,12.0,22.0,155.98,NanoTrack,0,35,1,126.0,-57.0,1299,1508,-201,0.669,-2.919,-2.0,55.26,18.1,0,1
290,2026-03-12 03:44:58.740,45.1607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,41,1,0.0,0.0,1167,1501,0.0,0.0,0.0,0.0,33.6,29.76,0,1
300,2026-03-12 03:45:00.167,46.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1167,1501,0.0,0.0,0.0,0.0,0.75,1330.68,0,1
310,2026-03-12 03:45:01.711,48.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1167,1501,0.0,0.0,0.0,0.0,0.81,1234.34,0,1
320,2026-03-12 03:45:03.303,49.7242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1167,1501,0.0,0.0,0.0,0.0,0.78,1285.02,0,1
330,2026-03-12 03:45:04.900,51.3202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1167,1501,0.0,0.0,0.0,0.0,0.89,1119.08,0,1
340,2026-03-12 03:45:06.549,52.9698,272.0,226.0,78.0,78.0,0.1616,-67.0,1.0,414.66,NanoTrack,0,4,2,-48.0,-14.0,1163,1493,-337,0.498,-1.793,-2.0,54.48,18.36,0,1
350,2026-03-12 03:45:08.139,54.5594,225.5,188.5,71.0,71.0,0.1559,-1.5,-46.5,298.44,NanoTrack,0,14,2,-94.5,-51.5,1279,1484,-221,0.568,-1.231,-2.0,51.82,19.3,0,1
360,2026-03-12 03:45:09.715,56.1358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,15,2,0.0,0.0,1292,1479,0.0,0.0,0.0,0.0,32.33,30.93,0,1
370,2026-03-12 03:45:11.290,57.7109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1292,1479,0.0,0.0,0.0,0.0,0.81,1234.34,0,1
380,2026-03-12 03:45:12.882,59.3028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1292,1479,0.0,0.0,0.0,0.0,0.72,1398.57,0,1
390,2026-03-12 03:45:14.469,60.8897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1292,1479,0.0,0.0,0.0,0.0,1.09,917.79,0,1
400,2026-03-12 03:45:16.143,62.5638,241.0,239.0,80.0,80.0,7.8338,10.0,34.0,4.52,NanoTrack,0,1,3,-79.0,-1.0,1304,1479,-196,0.246,-0.653,-2.0,80.0,12.5,0,1
410,2026-03-12 03:45:17.709,64.1298,229.0,311.0,72.0,72.0,0.1615,2.0,29.0,180.02,NanoTrack,0,11,3,-91.0,71.0,1477,1506,-23,0.465,0.731,0.0,53.9,18.55,0,1
420,2026-03-12 03:45:19.283,65.7039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,19,3,0.0,0.0,1524,1642,0.0,0.0,0.0,0.0,31.97,31.28,0,1
430,2026-03-12 03:45:20.848,67.2691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1524,1642,0.0,0.0,0.0,0.0,0.99,1012.38,0,1
440,2026-03-12 03:45:22.440,68.861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1524,1642,0.0,0.0,0.0,0.0,0.85,1178.18,0,1
450,2026-03-12 03:45:24.037,70.4573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1524,1642,0.0,0.0,0.0,0.0,0.92,1091.7,0,1
460,2026-03-12 03:45:25.578,71.9984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1524,1642,0.0,0.0,0.0,0.0,1.11,898.72,0,1
470,2026-03-12 03:45:27.089,73.5093,321.0,209.0,78.0,78.0,0.1434,3.5,21.5,151.87,NanoTrack,0,7,4,1.0,-31.0,1532,1549,32,0.88,0.02,0.0,52.86,18.92,0,1
480,2026-03-12 03:45:28.552,74.9726,523.5,211.5,71.0,71.0,0.1465,29.0,6.0,202.15,NanoTrack,0,17,4,203.5,-28.5,1390,1521,-110,0.611,-2.49,-1.32,52.13,19.18,0,1
490,2026-03-12 03:45:29.992,76.4129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,22,4,0.0,0.0,1240,1508,0.0,0.0,0.0,0.0,32.28,30.98,0,1
500,2026-03-12 03:45:31.508,77.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,24,4,0.0,0.0,1300,1448,0.0,0.0,0.0,0.0,32.33,30.93,0,1
510,2026-03-12 03:45:33.073,79.4936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,5,0.0,0.0,1300,1448,0.0,0.0,0.0,0.0,0.87,1153.55,0,1
520,2026-03-12 03:45:34.665,81.0858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,5,0.0,0.0,1300,1448,0.0,0.0,0.0,0.0,1.01,989.46,0,1
530,2026-03-12 03:45:36.261,82.6815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,5,0.0,0.0,1300,1448,0.0,0.0,0.0,0.0,0.7,1431.99,0,1
540,2026-03-12 03:45:37.854,84.2746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,5,0.0,0.0,1300,1448,0.0,0.0,0.0,0.0,1.61,620.55,0,1
550,2026-03-12 03:45:39.450,85.8702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,5,0.0,0.0,1300,1448,0.0,0.0,0.0,0.0,0.94,1065.08,0,1
560,2026-03-12 03:45:41.045,87.4657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,5,0.0,0.0,1300,1448,0.0,0.0,0.0,0.0,0.73,1373.83,0,1
