Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 03:41:16.414,1.0808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.75,1332.79,0,1
20,2026-03-12 03:41:17.611,2.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.76,1316.89,0,1
30,2026-03-12 03:41:18.818,3.4839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.21,824.51,0,1
40,2026-03-12 03:41:20.003,4.6691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.76,1307.45,0,1
50,2026-03-12 03:41:21.200,5.8662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.8,554.36,0,1
60,2026-03-12 03:41:22.395,7.0613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.86,1166.38,0,1
70,2026-03-12 03:41:23.592,8.2587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.53,654.24,0,1
80,2026-03-12 03:41:24.787,9.4533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.83,1201.81,0,1
90,2026-03-12 03:41:25.985,10.6509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.45,688.83,0,1
100,2026-03-12 03:41:27.180,11.8465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.34,747.65,0,1
110,2026-03-12 03:41:28.375,13.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.04,960.01,0,1
