Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 03:21:07.976,1.3121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.3,771.58,0,1
20,2026-03-12 03:21:09.294,2.6295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.77,1299.75,0,1
30,2026-03-12 03:21:10.622,3.9577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.93,1077.95,0,1
40,2026-03-12 03:21:11.951,5.2867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.21,828.42,0,1
50,2026-03-12 03:21:13.282,6.6176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.37,729.06,0,1
60,2026-03-12 03:21:14.618,7.9542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.43,701.27,0,1
70,2026-03-12 03:21:15.951,9.2873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.01,990.86,0,1
80,2026-03-12 03:21:17.266,10.6022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.23,810.81,0,1
90,2026-03-12 03:21:18.597,11.9327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,2.36,423.88,0,1
100,2026-03-12 03:21:19.922,13.2583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.88,1131.46,0,1
110,2026-03-12 03:21:21.260,14.5964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.77,1302.17,0,1
120,2026-03-12 03:21:22.582,15.9181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.85,1179.17,0,1
130,2026-03-12 03:21:23.910,17.2462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.87,1150.7,0,1
140,2026-03-12 03:21:25.239,18.5754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,2.0,498.97,0,1
150,2026-03-12 03:21:26.567,19.9026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.82,1215.74,0,1
160,2026-03-12 03:21:27.906,21.2419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.25,801.97,0,1
170,2026-03-12 03:21:29.239,22.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.35,740.39,0,1
180,2026-03-12 03:21:30.555,23.8906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.85,1172.25,0,1
190,2026-03-12 03:21:31.883,25.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.19,842.74,0,1
200,2026-03-12 03:21:33.211,26.5466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.91,1102.02,0,1
210,2026-03-12 03:21:34.543,27.8786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.77,1302.17,0,1
220,2026-03-12 03:21:35.871,29.2068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.77,1293.74,0,1
230,2026-03-12 03:21:37.199,30.5348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.77,1295.74,0,1
240,2026-03-12 03:21:38.527,31.8629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.81,1235.44,0,1
250,2026-03-12 03:21:39.855,33.1908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.75,1339.61,0,1
260,2026-03-12 03:21:41.187,34.5229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.75,1324.8,0,1
270,2026-03-12 03:21:42.515,35.8509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.75,1326.89,0,1
280,2026-03-12 03:21:43.844,37.1802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.82,550.87,0,1
290,2026-03-12 03:21:45.171,38.5072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.86,1162.18,0,1
300,2026-03-12 03:21:46.499,39.8352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.77,1296.54,0,1
310,2026-03-12 03:21:47.831,41.1672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.76,1320.21,0,1
320,2026-03-12 03:21:49.159,42.4952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.76,1307.45,0,1
330,2026-03-12 03:21:50.675,44.0113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.75,1326.47,0,1
340,2026-03-12 03:21:52.267,45.6034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.78,1278.75,0,1
350,2026-03-12 03:21:53.864,47.1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.9,1109.6,0,1
360,2026-03-12 03:21:55.566,48.9016,376.0,297.0,82.0,82.0,0.159,-5.0,1.0,32.07,SiamRPN,0,3,0,56.0,57.0,1474,1527,-26,0.414,-0.458,0.0,110.67,9.04,0,1
370,2026-03-12 03:21:57.140,50.4759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,12,0,0.0,0.0,1540,1646,0.0,0.0,0.0,0.0,88.41,11.31,0,1
380,2026-03-12 03:21:58.754,52.0904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1540,1646,0.0,0.0,0.0,0.0,107.58,9.3,0,1
390,2026-03-12 03:22:00.240,53.5757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1540,1646,0.0,0.0,0.0,0.0,0.72,1384.72,0,1
400,2026-03-12 03:22:01.836,55.1718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1540,1646,0.0,0.0,0.0,0.0,0.76,1312.36,0,1
410,2026-03-12 03:22:03.432,56.7678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1540,1646,0.0,0.0,0.0,0.0,0.74,1344.76,0,1
420,2026-03-12 03:22:05.133,58.4688,478.0,167.0,78.0,78.0,0.1622,-28.0,19.0,208.65,SiamRPN,0,5,1,158.0,-73.0,1401,1576,-99,0.741,-2.282,-1.188,109.61,9.12,0,1
430,2026-03-12 03:22:06.731,60.0665,453.0,188.0,78.0,78.0,0.1611,2.0,2.0,17.56,SiamRPN,0,15,1,133.0,-52.0,1196,1491,-304,0.648,-3.114,-2.0,110.57,9.04,0,1
440,2026-03-12 03:22:08.330,61.666,481.0,111.0,82.0,82.0,0.1559,-12.0,-10.0,100.2,SiamRPN,0,25,1,161.0,-129.0,971,1371,-529,0.698,-3.345,-2.0,108.19,9.24,0,1
450,2026-03-12 03:22:09.918,63.2535,317.0,163.0,78.0,78.0,0.1628,0.0,12.0,73.7,SiamRPN,0,35,1,-3.0,-77.0,869,1200,-631,0.7,-2.095,-2.0,109.91,9.1,0,1
460,2026-03-12 03:22:11.510,64.8457,371.0,110.0,74.0,74.0,0.1592,6.0,-8.0,62.8,SiamRPN,0,45,1,51.0,-130.0,836,1200,-664,0.7,-2.422,-2.0,106.29,9.41,0,1
470,2026-03-12 03:22:13.102,66.4376,426.5,41.5,67.0,67.0,0.1603,24.5,2.5,153.65,SiamRPN,0,55,1,106.5,-198.5,800,1200,-700,0.7,-2.795,-2.0,105.86,9.45,0,1
480,2026-03-12 03:22:14.679,68.0149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,61,1,0.0,0.0,800,1200,0.0,0.0,0.0,0.0,87.19,11.47,0,1
490,2026-03-12 03:22:16.290,69.6262,179.0,122.0,70.0,70.0,0.1555,16.0,22.0,174.91,SiamRPN,0,69,1,-141.0,-118.0,1022,1200,-478,0.7,-0.679,-2.0,106.35,9.4,0,1
500,2026-03-12 03:22:17.867,71.2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,76,1,0.0,0.0,1107,1200,0.0,0.0,0.0,0.0,87.51,11.43,0,1
510,2026-03-12 03:22:19.377,72.7126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1107,1200,0.0,0.0,0.0,0.0,0.73,1376.99,0,1
520,2026-03-12 03:22:20.969,74.3048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1107,1200,0.0,0.0,0.0,0.0,0.79,1258.04,0,1
530,2026-03-12 03:22:22.497,75.8332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1107,1200,0.0,0.0,0.0,0.0,1.05,949.15,0,1
540,2026-03-12 03:22:23.961,77.2968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1107,1200,0.0,0.0,0.0,0.0,0.71,1400.44,0,1
550,2026-03-12 03:22:25.421,78.7571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1107,1200,0.0,0.0,0.0,0.0,0.84,1185.5,0,1
560,2026-03-12 03:22:26.990,80.3263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1107,1200,0.0,0.0,0.0,0.0,105.89,9.44,0,1
570,2026-03-12 03:22:28.455,81.7906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1107,1200,0.0,0.0,0.0,0.0,109.68,9.12,0,1
580,2026-03-12 03:22:29.912,83.2478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1107,1200,0.0,0.0,0.0,0.0,107.33,9.32,0,1
590,2026-03-12 03:22:31.378,84.7144,170.0,429.0,82.0,82.0,0.1509,-44.0,20.0,320.32,SiamRPN,0,7,3,-150.0,189.0,1217,1400,-283,-0.115,-0.889,-2.0,109.88,9.1,0,1
600,2026-03-12 03:22:32.838,86.174,236.5,465.5,85.0,85.0,0.1443,5.0,2.0,37.31,SiamRPN,0,17,3,-83.5,225.5,1410,1700,-90,-0.222,-0.417,-1.08,109.51,9.13,0,1
610,2026-03-12 03:22:34.378,87.7136,181.0,461.0,96.0,96.0,0.171,-16.0,1.0,93.73,SiamRPN,0,27,3,-139.0,221.0,1590,1900,90,-0.222,1.959,1.08,110.61,9.04,0,1
620,2026-03-12 03:22:35.968,89.3035,203.5,457.5,99.0,99.0,0.1591,32.0,4.0,202.73,SiamRPN,0,37,3,-116.5,217.5,1862,1900,362,-0.202,3.208,2.0,114.33,8.75,0,1
630,2026-03-12 03:22:37.566,90.9022,306.0,459.0,98.0,98.0,0.1634,2.5,-1.5,17.85,SiamRPN,0,47,3,-14.0,219.0,1935,1900,435,-0.207,2.226,2.0,110.98,9.01,0,1
640,2026-03-12 03:22:39.152,92.4876,320.0,460.0,96.0,96.0,0.1558,-29.0,0.0,186.12,SiamRPN,0,57,3,0.0,220.0,1925,1900,425,-0.211,1.93,2.0,110.8,9.02,0,1
650,2026-03-12 03:22:40.510,93.8464,426.0,462.0,92.0,92.0,0.1479,20.0,0.0,135.24,SiamRPN,0,67,3,106.0,222.0,1803,1900,303,-0.216,1.129,2.0,113.35,8.82,0,1
660,2026-03-12 03:22:42.101,95.4371,480.5,462.5,87.0,87.0,0.1569,-8.0,1.0,51.4,SiamRPN,0,77,3,160.5,222.5,1587,1900,87,-0.216,-0.004,1.044,111.57,8.96,0,1
670,2026-03-12 03:22:43.575,96.9109,571.0,465.0,88.0,88.0,0.12,26.0,7.0,224.39,SiamRPN,0,87,3,251.0,225.0,1299,1900,-201,-0.22,-3.699,-2.0,109.11,9.17,0,1
680,2026-03-12 03:22:44.748,98.0844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,89,3,0.0,0.0,1239,1900,0.0,0.0,0.0,0.0,87.32,11.45,0,1
690,2026-03-12 03:22:46.098,99.4345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1239,1900,0.0,0.0,0.0,0.0,1.17,855.11,0,1
700,2026-03-12 03:22:47.294,100.6298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1239,1900,0.0,0.0,0.0,0.0,0.71,1411.75,0,1
710,2026-03-12 03:22:48.490,101.8263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1239,1900,0.0,0.0,0.0,0.0,0.83,1209.08,0,1
720,2026-03-12 03:22:49.687,103.0231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1239,1900,0.0,0.0,0.0,0.0,1.01,990.62,0,1
730,2026-03-12 03:22:50.883,104.2186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1239,1900,0.0,0.0,0.0,0.0,0.93,1074.36,0,1
740,2026-03-12 03:22:52.078,105.4142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1239,1900,0.0,0.0,0.0,0.0,0.82,1226.4,0,1
750,2026-03-12 03:22:53.274,106.6101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1239,1900,0.0,0.0,0.0,0.0,0.73,1378.35,0,1
760,2026-03-12 03:22:54.470,107.8062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1239,1900,0.0,0.0,0.0,0.0,0.74,1355.19,0,1
