Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 03:17:03.899,1.4418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.92,1087.17,0,1
20,2026-03-12 03:17:05.494,3.0377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.81,1234.71,0,1
30,2026-03-12 03:17:07.091,4.6339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.83,1204.57,0,1
40,2026-03-12 03:17:08.684,6.2268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.08,926.3,0,1
50,2026-03-12 03:17:10.280,7.8233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.28,783.54,0,1
60,2026-03-12 03:17:11.886,9.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.31,760.66,0,1
70,2026-03-12 03:17:13.469,11.0122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.73,576.85,0,1
80,2026-03-12 03:17:15.063,12.6064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.0,995.33,0,1
90,2026-03-12 03:17:16.659,14.2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.04,957.39,0,1
100,2026-03-12 03:17:18.262,15.8052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.82,1218.92,0,1
110,2026-03-12 03:17:19.870,17.4128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.88,1136.36,0,1
120,2026-03-12 03:17:21.443,18.9864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.78,1283.45,0,1
130,2026-03-12 03:17:23.035,20.5785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.8,1247.93,0,1
140,2026-03-12 03:17:24.631,22.1746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.73,1371.14,0,1
150,2026-03-12 03:17:26.223,23.7666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.71,1402.31,0,1
160,2026-03-12 03:17:27.820,25.3632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.36,737.4,0,1
170,2026-03-12 03:17:29.416,26.9589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.86,1160.57,0,1
180,2026-03-12 03:17:31.018,28.5612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.8,1253.53,0,1
190,2026-03-12 03:17:32.606,30.1488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.36,734.17,0,1
200,2026-03-12 03:17:34.200,31.7432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.96,1046.22,0,1
210,2026-03-12 03:17:35.792,33.3351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.81,1233.26,0,1
220,2026-03-12 03:17:37.400,34.9434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.06,944.24,0,1
230,2026-03-12 03:17:38.985,36.5278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.16,860.19,0,1
240,2026-03-12 03:17:40.589,38.1326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.96,1044.4,0,1
250,2026-03-12 03:17:42.172,39.7154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.8,1256.16,0,1
260,2026-03-12 03:17:43.764,41.3075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.83,1211.53,0,1
270,2026-03-12 03:17:45.360,42.9036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.84,1191.56,0,1
280,2026-03-12 03:17:46.956,44.4996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.76,1313.18,0,1
290,2026-03-12 03:17:48.548,46.0916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.71,1401.37,0,1
300,2026-03-12 03:17:50.147,47.6898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.09,914.99,0,1
310,2026-03-12 03:17:51.857,49.4003,303.0,231.0,78.0,78.0,0.1667,4.0,2.0,26.83,SiamRPN,0,4,0,-17.0,-9.0,1514,1500,14,0.695,0.203,0.0,109.77,9.11,0,1
320,2026-03-12 03:17:53.442,50.9852,353.5,369.5,77.0,77.0,0.16,7.0,24.0,156.2,SiamRPN,0,14,0,33.5,129.5,1506,1585,6,0.253,-0.164,0.0,110.02,9.09,0,1
330,2026-03-12 03:17:54.911,52.4547,192.5,122.5,75.0,75.0,0.1321,38.0,17.0,315.05,SiamRPN,0,23,0,-127.5,-117.5,1682,1472,182,0.697,3.168,2.0,107.78,9.28,0,1
340,2026-03-12 03:17:56.446,53.9887,400.5,218.5,83.0,83.0,0.1566,2.5,10.5,68.91,SiamRPN,0,33,0,80.5,-21.5,1615,1391,115,0.572,0.824,1.38,109.47,9.14,0,1
350,2026-03-12 03:17:58.035,55.5778,30.5,37.5,75.0,75.0,0.312,-316.5,-128.5,1094.92,SiamRPN,0,42,0,-289.5,-202.5,1575,1340,75,0.757,1.583,0.9,106.32,9.41,0,1
360,2026-03-12 03:17:59.612,57.1552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,42,0,0.0,0.0,1575,1340,0.0,0.0,0.0,0.0,87.75,11.4,0,1
370,2026-03-12 03:18:01.121,58.6644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1575,1340,0.0,0.0,0.0,0.0,0.8,1247.93,0,1
380,2026-03-12 03:18:02.713,60.2563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1575,1340,0.0,0.0,0.0,0.0,0.74,1346.05,0,1
390,2026-03-12 03:18:04.309,61.8525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1575,1340,0.0,0.0,0.0,0.0,0.83,1200.77,0,1
400,2026-03-12 03:18:05.905,63.4484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1575,1340,0.0,0.0,0.0,0.0,0.73,1365.78,0,1
410,2026-03-12 03:18:07.497,65.0406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1575,1340,0.0,0.0,0.0,0.0,0.82,1220.34,0,1
420,2026-03-12 03:18:09.093,66.6365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1575,1340,0.0,0.0,0.0,0.0,0.74,1358.7,0,1
430,2026-03-12 03:18:10.803,68.3462,451.5,340.5,75.0,75.0,0.1549,-23.5,56.5,394.97,SiamRPN,0,10,1,131.5,100.5,1366,1463,-134,0.297,-2.496,-1.608,107.56,9.3,0,1
