Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 02:56:04.497,1.5593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.93,1077.67,0,1
20,2026-03-12 02:56:06.089,3.1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.92,1090.56,0,1
30,2026-03-12 02:56:07.685,4.7476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.97,1026.25,0,1
40,2026-03-12 02:56:09.285,6.3477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,2.12,471.54,0,1
50,2026-03-12 02:56:10.886,7.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.78,562.54,0,1
60,2026-03-12 02:56:12.470,9.5324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.11,904.14,0,1
70,2026-03-12 02:56:14.072,11.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.02,980.44,0,1
80,2026-03-12 02:56:15.657,12.7199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.85,1174.55,0,1
90,2026-03-12 02:56:17.264,14.3268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.28,779.03,0,1
100,2026-03-12 02:56:18.846,15.9081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.93,1069.98,0,1
110,2026-03-12 02:56:20.442,17.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.88,1131.76,0,1
120,2026-03-12 02:56:22.038,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.89,1124.18,0,1
130,2026-03-12 02:56:23.630,20.6924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.13,888.44,0,1
140,2026-03-12 02:56:25.226,22.2884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.09,917.99,0,1
150,2026-03-12 02:56:26.822,23.8845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.13,887.68,0,1
160,2026-03-12 02:56:28.414,25.4764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.9,1115.21,0,1
170,2026-03-12 02:56:30.010,27.0726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.01,993.44,0,1
180,2026-03-12 02:56:31.613,28.6752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.92,1086.33,0,1
190,2026-03-12 02:56:33.320,30.3825,323.5,197.5,83.0,83.0,0.1309,0.0,0.0,0.0,SiamRPN,0,2,0,3.5,-42.5,1500,1488,0,0.653,0.0,0.0,109.77,9.11,0,1
200,2026-03-12 02:56:34.911,31.974,344.0,270.0,90.0,90.0,0.1665,-2.0,10.0,61.24,SiamRPN,0,12,0,24.0,30.0,1480,1475,-20,0.618,-0.252,0.0,116.21,8.61,0,1
210,2026-03-12 02:56:36.508,33.5704,252.0,391.0,98.0,98.0,0.1551,-86.0,9.0,557.37,SiamRPN,0,22,0,-68.0,151.0,1441,1629,-59,0.095,-0.611,-0.708,112.05,8.92,0,1
220,2026-03-12 02:56:38.069,35.1313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,22,0,0.0,0.0,1441,1629,0.0,0.0,0.0,0.0,87.38,11.44,0,1
230,2026-03-12 02:56:39.446,36.5086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1441,1629,0.0,0.0,0.0,0.0,0.71,1403.72,0,1
240,2026-03-12 02:56:40.785,37.8471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1441,1629,0.0,0.0,0.0,0.0,0.85,1181.49,0,1
250,2026-03-12 02:56:42.102,39.1646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1441,1629,0.0,0.0,0.0,0.0,0.75,1339.61,0,1
260,2026-03-12 02:56:43.430,40.4928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1441,1629,0.0,0.0,0.0,0.0,0.74,1346.05,0,1
270,2026-03-12 02:56:44.879,41.9413,301.0,176.0,78.0,78.0,0.1441,-1.5,19.5,135.72,SiamRPN,0,8,1,-19.0,-64.0,1446,1491,-54,0.681,-0.584,-0.648,109.68,9.12,0,1
280,2026-03-12 02:56:46.210,43.2726,328.5,246.5,77.0,77.0,0.1459,6.0,1.0,41.69,SiamRPN,0,18,1,8.5,6.5,1456,1477,-44,0.678,0.011,0.0,109.17,9.16,0,1
290,2026-03-12 02:56:47.790,44.8524,318.0,240.0,80.0,80.0,0.1548,-15.0,7.0,106.96,SiamRPN,0,28,1,-2.0,0.0,1429,1471,-71,0.505,-0.965,-0.852,108.12,9.25,0,1
300,2026-03-12 02:56:49.386,46.4485,462.0,250.0,80.0,80.0,0.1599,12.0,17.0,130.11,SiamRPN,0,38,1,142.0,10.0,1326,1462,-174,0.49,-2.9,-2.0,108.08,9.25,0,1
310,2026-03-12 02:56:50.982,48.0447,320.0,189.0,82.0,82.0,0.1601,-21.5,4.5,137.21,SiamRPN,0,48,1,0.0,-51.0,1266,1433,-234,0.614,-2.138,-2.0,108.33,9.23,0,1
320,2026-03-12 02:56:52.575,49.6375,263.0,287.0,80.0,80.0,0.1587,1.0,8.0,50.79,SiamRPN,0,58,1,-57.0,47.0,1351,1437,-149,0.395,-1.326,-1.788,108.27,9.24,0,1
