Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 05:25:06.574,1.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.78,1281.88,1,1
20,2026-03-12 05:25:08.050,2.9725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,2.9,344.73,1,1
30,2026-03-12 05:25:09.514,4.4362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.84,1184.5,1,1
40,2026-03-12 05:25:11.106,6.0283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.81,1236.16,1,1
50,2026-03-12 05:25:12.702,7.6243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.79,1267.16,1,1
60,2026-03-12 05:25:14.298,9.2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.92,1088.3,1,1
70,2026-03-12 05:25:15.890,10.8126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.9,1109.31,1,1
80,2026-03-12 05:25:17.486,12.4085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.8,1255.78,1,1
90,2026-03-12 05:25:19.107,14.0295,336.0,256.0,88.0,88.0,0.1574,-10.0,7.0,77.56,CSRT,0,9,0,16.0,16.0,1443,1502,-57,0.488,-0.828,-0.684,29.8,33.55,1,1
100,2026-03-12 05:25:20.707,15.6288,291.0,257.0,96.0,96.0,0.1627,4.0,1.0,25.34,CSRT,0,19,0,-29.0,17.0,1492,1521,-8,0.642,0.324,0.0,32.96,30.34,1,1
110,2026-03-12 05:25:22.299,17.2213,277.0,319.0,92.0,92.0,0.1501,-6.0,16.0,113.82,CSRT,0,29,0,-43.0,79.0,1548,1593,48,0.43,0.383,0.0,29.46,33.94,1,1
120,2026-03-12 05:25:23.869,18.7911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,33,0,0.0,0.0,1626,1560,0.0,0.0,0.0,0.0,7.16,139.61,1,1
130,2026-03-12 05:25:25.469,20.3914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1626,1560,0.0,0.0,0.0,0.0,0.91,1103.47,1,1
140,2026-03-12 05:25:27.065,21.9876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1626,1560,0.0,0.0,0.0,0.0,1.08,928.15,1,1
150,2026-03-12 05:25:28.648,23.5699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1626,1560,0.0,0.0,0.0,0.0,1.07,938.74,1,1
160,2026-03-12 05:25:30.292,25.2142,473.0,169.0,80.0,80.0,7.1962,398.0,126.0,58.01,CSRT,0,1,1,153.0,-71.0,1603,1549,103,0.345,0.0,1.236,49.89,20.04,1,1
170,2026-03-12 05:25:31.865,26.7868,368.0,273.0,94.0,94.0,0.1553,2.0,-3.0,23.21,CSRT,0,11,1,48.0,33.0,1476,1523,-24,0.592,-0.459,0.0,30.42,32.88,1,1
180,2026-03-12 05:25:33.464,28.3864,472.5,215.5,99.0,99.0,0.1589,2.0,-2.0,17.8,CSRT,0,21,1,152.5,-24.5,1298,1502,-202,0.556,-3.168,-2.0,34.04,29.38,1,1
190,2026-03-12 05:25:35.059,29.9814,405.0,219.0,106.0,106.0,0.1629,16.5,5.5,106.79,CSRT,0,31,1,85.0,-21.0,1205,1465,-295,0.557,-2.637,-2.0,32.86,30.43,1,1
200,2026-03-12 05:25:36.649,31.5713,342.5,219.5,103.0,103.0,0.1606,-3.0,-18.0,113.64,CSRT,0,41,1,22.5,-20.5,1109,1451,-391,0.52,-2.29,-2.0,30.63,32.64,1,1
210,2026-03-12 05:25:38.263,33.1847,332.0,233.0,110.0,110.0,0.1601,-36.0,0.0,224.89,CSRT,0,51,1,12.0,-7.0,1016,1410,-484,0.518,-2.355,-2.0,35.61,28.09,1,1
220,2026-03-12 05:25:39.858,34.7806,326.0,241.0,106.0,106.0,0.165,5.0,0.0,30.3,CSRT,0,61,1,6.0,1.0,1020,1410,-480,0.488,-2.023,-2.0,37.52,26.65,1,1
230,2026-03-12 05:25:41.436,36.3579,347.5,215.5,103.0,103.0,0.1622,28.0,17.0,201.97,CSRT,0,71,1,27.5,-24.5,1006,1390,-494,0.571,-2.181,-2.0,32.94,30.36,1,1
240,2026-03-12 05:25:43.029,37.9509,252.5,249.5,101.0,101.0,0.1594,-41.0,-6.0,259.89,CSRT,0,81,1,-67.5,9.5,952,1392,-548,0.456,-1.751,-2.0,29.91,33.43,1,1
250,2026-03-12 05:25:44.625,39.5469,314.5,247.5,101.0,101.0,0.1587,0.0,1.0,6.3,CSRT,0,91,1,-5.5,7.5,998,1414,-502,0.468,-1.895,-2.0,29.97,33.36,1,1
260,2026-03-12 05:25:46.220,41.1426,332.5,245.5,103.0,103.0,0.1622,-3.0,0.0,18.5,CSRT,0,101,1,12.5,5.5,995,1414,-505,0.476,-2.061,-2.0,33.58,29.78,1,1
270,2026-03-12 05:25:47.814,42.7358,310.0,232.0,106.0,106.0,0.1595,-19.0,-4.0,121.76,CSRT,0,111,1,-10.0,-8.0,977,1417,-523,0.499,-2.05,-2.0,30.64,32.64,1,1
280,2026-03-12 05:25:49.411,44.3334,452.0,271.0,106.0,106.0,0.1564,-8.0,45.0,292.17,CSRT,0,121,1,132.0,31.0,901,1369,-599,0.492,-3.062,-2.0,32.28,30.98,1,1
290,2026-03-12 05:25:51.003,45.9254,278.0,295.0,106.0,106.0,0.1609,99.0,-9.0,617.86,CSRT,0,131,1,-42.0,55.0,1034,1454,-466,0.326,-1.06,-2.0,32.15,31.11,1,1
300,2026-03-12 05:25:52.600,47.5222,264.0,252.0,108.0,108.0,0.161,34.0,-8.0,216.91,CSRT,0,141,1,-56.0,12.0,1113,1476,-387,0.453,-1.303,-2.0,32.98,30.32,1,1
310,2026-03-12 05:25:54.203,49.1254,411.0,230.0,114.0,114.0,0.1561,-9.0,15.0,112.03,CSRT,0,151,1,91.0,-10.0,1017,1448,-483,0.55,-2.802,-2.0,33.63,29.74,1,1
320,2026-03-12 05:25:55.800,50.7223,440.0,187.0,114.0,114.0,0.1568,-7.0,-7.0,63.15,CSRT,0,161,1,120.0,-53.0,913,1400,-587,0.635,-2.964,-2.0,34.55,28.94,1,1
330,2026-03-12 05:25:57.386,52.3079,104.0,288.0,114.0,114.0,0.1609,-7.0,6.0,57.31,CSRT,0,171,1,-216.0,48.0,915,1434,-585,0.373,-0.545,-2.0,34.51,28.98,1,1
340,2026-03-12 05:25:58.976,53.8985,345.0,230.0,114.0,114.0,0.1565,3.0,4.0,31.95,CSRT,0,181,1,25.0,-10.0,948,1454,-552,0.517,-2.173,-2.0,32.76,30.53,1,1
350,2026-03-12 05:26:00.572,55.4946,286.0,225.0,114.0,114.0,0.1607,-11.0,-21.0,147.48,CSRT,0,191,1,-34.0,-15.0,930,1466,-570,0.494,-1.867,-2.0,32.95,30.35,1,1
360,2026-03-12 05:26:02.179,57.1012,457.5,231.5,117.0,117.0,0.1602,-27.0,0.0,168.54,CSRT,0,201,1,137.5,-8.5,822,1415,-678,0.529,-3.215,-2.0,33.23,30.1,1,1
370,2026-03-12 05:26:03.761,58.6832,345.5,220.5,117.0,117.0,0.1615,23.0,-12.0,160.59,CSRT,0,211,1,25.5,-19.5,869,1405,-631,0.524,-1.95,-2.0,33.28,30.05,1,1
380,2026-03-12 05:26:05.366,60.2882,337.5,241.5,117.0,117.0,0.1699,6.0,4.0,42.45,CSRT,0,221,1,17.5,1.5,825,1397,-675,0.497,-2.197,-2.0,31.97,31.28,1,1
390,2026-03-12 05:26:06.952,61.8746,78.5,255.5,117.0,117.0,0.1598,13.0,-7.0,92.37,CSRT,0,231,1,-241.5,15.5,916,1443,-584,0.424,-0.18,-2.0,32.55,30.73,1,1
400,2026-03-12 05:26:08.545,63.4675,381.5,238.5,117.0,117.0,0.1582,-15.0,8.0,107.43,CSRT,0,241,1,61.5,-1.5,918,1424,-582,0.514,-2.545,-2.0,33.07,30.24,1,1
410,2026-03-12 05:26:10.144,65.0659,246.5,252.5,117.0,117.0,0.161,-49.0,-1.0,304.33,CSRT,0,251,1,-73.5,12.5,912,1442,-588,0.444,-1.71,-2.0,35.84,27.9,1,1
420,2026-03-12 05:26:11.748,66.6706,340.5,238.5,117.0,117.0,0.1713,0.0,7.0,40.87,CSRT,0,261,1,20.5,-1.5,960,1457,-540,0.505,-2.133,-2.0,34.04,29.38,1,1
430,2026-03-12 05:26:13.330,68.2522,399.5,196.5,119.0,119.0,0.1597,-13.0,-8.0,95.56,CSRT,0,271,1,79.5,-43.5,851,1425,-649,0.594,-2.745,-2.0,33.83,29.56,1,1
440,2026-03-12 05:26:14.925,69.8475,358.0,235.0,114.0,114.0,0.161,3.0,2.0,22.39,CSRT,0,281,1,38.0,-5.0,800,1415,-700,0.508,-2.374,-2.0,33.07,30.24,1,1
450,2026-03-12 05:26:16.518,71.4397,306.0,222.0,110.0,110.0,0.1559,19.0,0.0,121.9,CSRT,0,291,1,-14.0,-18.0,818,1401,-682,0.538,-1.822,-2.0,33.11,30.2,1,1
460,2026-03-12 05:26:18.113,73.0348,206.5,270.5,103.0,103.0,0.1604,-53.0,1.0,330.41,CSRT,0,301,1,-113.5,30.5,829,1413,-671,0.41,-1.476,-2.0,32.29,30.97,1,1
470,2026-03-12 05:26:19.718,74.6403,359.0,238.0,106.0,106.0,0.1599,-15.0,-1.0,94.02,CSRT,0,311,1,39.0,-2.0,884,1427,-616,0.486,-2.316,-2.0,31.47,31.78,1,1
480,2026-03-12 05:26:21.300,76.2217,405.5,218.5,103.0,103.0,0.1564,15.0,2.0,96.78,CSRT,0,321,1,85.5,-21.5,881,1420,-619,0.546,-2.542,-2.0,30.97,32.29,1,1
490,2026-03-12 05:26:22.894,77.8166,341.0,236.0,98.0,98.0,0.1596,-4.0,5.0,40.11,CSRT,0,331,1,21.0,-4.0,800,1398,-700,0.511,-2.272,-2.0,29.66,33.72,1,1
500,2026-03-12 05:26:24.505,79.4273,364.5,233.5,99.0,99.0,0.1588,16.0,1.0,100.92,CSRT,0,341,1,44.5,-6.5,800,1394,-700,0.511,-2.307,-2.0,34.2,29.24,1,1
510,2026-03-12 05:26:26.083,81.0052,320.5,260.5,99.0,99.0,0.1583,9.0,7.0,72.02,CSRT,0,351,1,0.5,20.5,800,1397,-700,0.457,-2.043,-2.0,30.25,33.06,1,1
520,2026-03-12 05:26:27.680,82.6025,292.5,229.5,101.0,101.0,0.1599,17.0,-19.0,159.41,CSRT,0,361,1,-27.5,-10.5,837,1399,-663,0.494,-1.665,-2.0,31.52,31.73,1,1
530,2026-03-12 05:26:29.275,84.197,221.5,243.5,99.0,99.0,0.1585,-49.0,8.0,313.25,CSRT,0,371,1,-98.5,3.5,825,1396,-675,0.486,-1.567,-2.0,30.01,33.32,1,1
540,2026-03-12 05:26:30.868,85.7896,339.5,246.5,101.0,101.0,0.1586,-28.0,4.0,178.33,CSRT,0,381,1,19.5,6.5,841,1405,-659,0.474,-2.299,-2.0,30.56,32.72,1,1
550,2026-03-12 05:26:32.463,87.3853,317.5,272.5,101.0,101.0,0.158,-1.0,13.0,82.51,CSRT,0,391,1,-2.5,32.5,892,1422,-608,0.418,-1.887,-2.0,30.18,33.13,1,1
560,2026-03-12 05:26:34.061,88.9831,366.0,249.0,106.0,106.0,0.1607,-5.5,6.5,53.0,CSRT,0,401,1,46.0,9.0,861,1434,-639,0.48,-2.402,-2.0,31.97,31.28,1,1
570,2026-03-12 05:26:35.652,90.5745,327.0,231.0,108.0,108.0,0.1605,12.0,-26.0,178.45,CSRT,0,411,1,7.0,-9.0,904,1444,-596,0.479,-1.886,-2.0,31.07,32.19,1,1
580,2026-03-12 05:26:37.249,92.1709,417.0,211.0,110.0,110.0,0.1591,8.0,2.0,51.84,CSRT,0,421,1,97.0,-29.0,800,1388,-700,0.589,-2.823,-2.0,31.65,31.6,1,1
590,2026-03-12 05:26:38.844,93.7657,272.0,243.0,106.0,106.0,0.16,0.0,-7.0,43.75,CSRT,0,431,1,-48.0,3.0,824,1386,-676,0.474,-1.68,-2.0,30.35,32.95,1,1
600,2026-03-12 05:26:40.437,95.3591,374.5,247.5,103.0,103.0,0.1617,5.0,19.0,121.47,CSRT,0,441,1,54.5,7.5,800,1383,-700,0.495,-2.433,-2.0,31.66,31.59,1,1
610,2026-03-12 05:26:42.032,96.9544,319.5,235.5,101.0,101.0,0.1607,20.0,-4.0,126.95,CSRT,0,451,1,-0.5,-4.5,819,1380,-681,0.501,-1.897,-2.0,30.8,32.47,1,1
620,2026-03-12 05:26:43.635,98.5575,238.5,250.5,103.0,103.0,0.1678,-89.0,-7.0,532.01,CSRT,0,461,1,-81.5,10.5,815,1389,-685,0.451,-1.817,-2.0,31.49,31.75,1,1
630,2026-03-12 05:26:45.220,100.1422,20.5,294.5,101.0,101.0,0.1604,-22.0,-5.0,140.62,CSRT,0,471,1,-299.5,54.5,1056,1429,-444,0.339,0.211,-2.0,30.45,32.84,1,1
640,2026-03-12 05:26:46.816,101.7379,235.5,251.5,103.0,103.0,0.1599,15.0,-4.0,97.09,CSRT,0,480,1,-84.5,11.5,1268,1467,-232,0.442,-1.113,-2.0,30.18,33.13,1,1
650,2026-03-12 05:26:48.385,103.3075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,486,1,0.0,0.0,1348,1478,0.0,0.0,0.0,0.0,7.57,132.03,1,1
