Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 05:35:15.813,1.4415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.9,1107.55,1,1
20,2026-03-12 05:35:17.410,3.0384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.18,846.31,1,1
30,2026-03-12 05:35:19.028,4.6561,321.5,287.5,77.0,77.0,0.1566,2.5,0.5,16.28,CSRT,0,6,0,1.5,47.5,1506,1538,6,0.509,0.036,0.0,27.4,36.49,1,1
40,2026-03-12 05:35:20.626,6.2544,478.0,284.0,80.0,80.0,0.1577,55.0,-22.0,375.66,CSRT,0,16,0,158.0,44.0,1435,1639,-65,0.398,-1.418,-0.78,29.5,33.9,1,1
50,2026-03-12 05:35:22.216,7.8437,25.5,47.5,77.0,77.0,0.7952,-475.5,-188.5,643.26,CSRT,0,22,0,-294.5,-192.5,1327,1622,-173,0.591,-1.517,-2.0,26.73,37.41,1,1
60,2026-03-12 05:35:23.811,9.4388,30.5,15.5,77.0,77.0,1.5951,5.0,-32.0,20.3,CSRT,0,23,0,-289.5,-224.5,1357,1592,-143,0.645,-0.429,-1.716,25.89,38.62,1,1
70,2026-03-12 05:35:25.408,11.036,179.5,38.5,75.0,75.0,0.1592,18.0,7.0,121.28,CSRT,0,31,0,-140.5,-201.5,1579,1352,79,0.765,1.982,0.948,27.04,36.98,1,1
80,2026-03-12 05:35:27.012,12.64,193.0,30.0,80.0,80.0,0.1714,-6.0,1.0,35.49,CSRT,0,41,0,-127.0,-210.0,1713,1200,213,0.7,2.962,2.0,28.62,34.94,1,1
90,2026-03-12 05:35:28.464,14.0922,43.0,30.0,80.0,80.0,0.1598,7.0,-1.0,44.26,CSRT,0,50,0,-277.0,-210.0,1983,1200,483,0.7,3.998,2.0,27.06,36.96,1,1
100,2026-03-12 05:35:29.964,15.5924,90.5,24.5,77.0,77.0,0.1494,-25.0,-6.0,172.14,CSRT,0,60,0,-229.5,-215.5,2200,1200,700,0.7,3.811,2.0,28.74,34.8,1,1
110,2026-03-12 05:35:31.521,17.149,18.5,24.5,75.0,75.0,0.9611,-11.0,-3.0,11.86,CSRT,0,64,0,-301.5,-215.5,2200,1200,700,0.7,3.988,2.0,27.48,36.39,1,1
120,2026-03-12 05:35:33.112,18.7406,30.0,28.0,72.0,72.0,0.1591,-3.0,1.0,19.87,CSRT,0,74,0,-290.0,-212.0,2200,1200,700,0.7,4.0,2.0,27.12,36.87,1,1
130,2026-03-12 05:35:34.713,20.3409,53.0,25.0,72.0,72.0,0.1649,-14.0,-12.0,111.79,CSRT,0,82,0,-267.0,-215.0,2200,1200,700,0.7,4.0,2.0,30.24,33.07,1,1
140,2026-03-12 05:35:36.285,21.9128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,91,0,0.0,0.0,2200,1200,0.0,0.0,0.0,0.0,7.32,136.66,1,1
150,2026-03-12 05:35:37.896,23.5246,27.5,27.5,75.0,75.0,0.1596,-4.0,0.0,25.06,CSRT,0,97,0,-292.5,-212.5,2200,1200,700,0.7,4.0,2.0,26.99,37.06,1,1
160,2026-03-12 05:35:39.493,25.1208,31.5,26.5,75.0,75.0,0.1607,2.0,1.0,13.91,CSRT,0,107,0,-288.5,-213.5,2200,1200,700,0.7,4.0,2.0,27.17,36.8,1,1
170,2026-03-12 05:35:41.083,26.7112,30.5,25.5,71.0,71.0,0.1553,0.5,0.5,4.55,CSRT,0,117,0,-289.5,-214.5,2200,1200,700,0.7,4.0,2.0,25.4,39.37,1,1
180,2026-03-12 05:35:42.600,28.2286,27.5,26.5,71.0,71.0,0.1613,-1.0,-2.0,13.86,CSRT,0,126,0,-292.5,-213.5,2200,1200,700,0.7,4.0,2.0,26.76,37.37,1,1
190,2026-03-12 05:35:44.177,29.8048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,134,0,0.0,0.0,2200,1200,0.0,0.0,0.0,0.0,7.06,141.72,1,1
200,2026-03-12 05:35:45.789,31.4167,29.5,24.5,71.0,71.0,0.1565,2.0,-1.0,14.29,CSRT,0,143,0,-290.5,-215.5,2200,1200,700,0.7,4.0,2.0,26.79,37.33,1,1
210,2026-03-12 05:35:47.384,33.0122,28.5,26.5,71.0,71.0,0.1592,0.0,0.0,0.0,CSRT,0,153,0,-291.5,-213.5,2200,1200,700,0.7,4.0,2.0,26.09,38.33,1,1
220,2026-03-12 05:35:48.980,34.608,45.5,25.5,71.0,71.0,0.1577,18.0,0.0,114.17,CSRT,0,163,0,-274.5,-214.5,2200,1200,700,0.7,4.0,2.0,25.92,38.59,1,1
230,2026-03-12 05:35:50.572,36.1999,196.0,25.0,70.0,70.0,0.1554,-4.0,-1.0,26.54,CSRT,0,173,0,-124.0,-215.0,2200,1200,700,0.7,3.047,2.0,25.56,39.12,1,1
240,2026-03-12 05:35:52.170,37.7979,27.0,26.0,70.0,70.0,0.16,3.0,1.0,19.77,CSRT,0,181,0,-293.0,-214.0,2200,1200,700,0.7,3.786,2.0,27.63,36.19,1,1
250,2026-03-12 05:35:53.765,39.3931,29.0,26.0,70.0,70.0,0.1604,-1.0,0.0,6.24,CSRT,0,191,0,-291.0,-214.0,2200,1200,700,0.7,4.0,2.0,26.62,37.56,1,1
260,2026-03-12 05:35:55.355,40.9834,24.0,23.0,68.0,68.0,0.1597,-1.0,0.0,6.26,CSRT,0,201,0,-296.0,-217.0,2200,1200,700,0.7,4.0,2.0,25.06,39.9,1,1
270,2026-03-12 05:35:56.963,42.5912,22.0,22.0,68.0,68.0,0.1602,-3.0,-2.0,22.5,CSRT,0,211,0,-298.0,-218.0,2200,1200,700,0.7,4.0,2.0,26.43,37.84,1,1
280,2026-03-12 05:35:58.548,44.1762,25.0,24.0,68.0,68.0,0.1595,0.0,-1.0,6.27,CSRT,0,221,0,-295.0,-216.0,2200,1200,700,0.7,4.0,2.0,25.74,38.85,1,1
290,2026-03-12 05:36:00.152,45.7802,249.0,24.0,66.0,66.0,0.1709,9.0,0.0,52.67,CSRT,0,231,0,-71.0,-216.0,2200,1200,700,0.7,2.766,2.0,27.38,36.53,1,1
300,2026-03-12 05:36:01.737,47.365,169.0,23.0,66.0,66.0,0.1598,-9.0,-2.0,57.7,CSRT,0,241,0,-151.0,-217.0,2200,1200,700,0.7,3.191,2.0,26.29,38.04,1,1
310,2026-03-12 05:36:03.337,48.9655,90.0,23.0,66.0,66.0,0.1597,-14.0,-1.0,87.88,CSRT,0,251,0,-230.0,-217.0,2200,1200,700,0.7,3.801,2.0,30.84,32.43,1,1
320,2026-03-12 05:36:04.924,50.5522,153.5,23.5,67.0,67.0,0.1476,46.0,0.0,311.57,CSRT,0,261,0,-166.5,-216.5,2200,1200,700,0.7,3.614,2.0,25.45,39.29,1,1
330,2026-03-12 05:36:06.521,52.1493,338.5,21.5,67.0,67.0,0.1589,5.0,-1.0,32.09,CSRT,0,271,0,18.5,-218.5,2198,1200,698,0.7,1.954,2.0,26.45,37.81,1,1
340,2026-03-12 05:36:08.112,53.7403,22.0,22.0,68.0,68.0,0.3157,-260.0,-2.0,823.48,CSRT,0,280,0,-298.0,-218.0,2200,1200,700,0.7,3.173,2.0,25.38,39.4,1,1
350,2026-03-12 05:36:09.709,55.3368,27.5,23.5,67.0,67.0,0.1595,3.0,1.0,19.82,CSRT,0,288,0,-292.5,-216.5,2200,1200,700,0.7,3.997,2.0,25.89,38.62,1,1
360,2026-03-12 05:36:11.305,56.9328,19.5,22.5,67.0,67.0,1.4344,-12.0,-2.0,8.48,CSRT,0,290,0,-300.5,-217.5,2200,1200,700,0.7,3.999,2.0,25.83,38.72,1,1
