Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 05:31:24.988,1.3638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.29,776.87,1,1
20,2026-03-12 05:31:26.448,2.8232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.91,1104.64,1,1
30,2026-03-12 05:31:27.908,4.2834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.9,1106.68,1,1
40,2026-03-12 05:31:29.384,5.7595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.91,1096.26,1,1
50,2026-03-12 05:31:30.980,7.3556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.9,1107.55,1,1
60,2026-03-12 05:31:32.572,8.9476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.9,1111.96,1,1
70,2026-03-12 05:31:34.168,10.5438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.02,977.47,1,1
80,2026-03-12 05:31:35.791,12.1669,339.5,227.5,71.0,71.0,0.1588,-1.5,5.5,35.89,CSRT,0,7,0,19.5,-12.5,1469,1478,-31,0.76,-0.233,0.0,28.17,35.49,1,1
90,2026-03-12 05:31:37.385,13.7605,328.0,318.0,78.0,78.0,0.1605,-17.0,13.0,133.31,CSRT,0,17,0,8.0,78.0,1443,1521,-57,0.327,-0.767,-0.684,29.59,33.79,1,1
100,2026-03-12 05:31:38.982,15.3575,324.0,443.0,78.0,78.0,0.1606,13.0,-1.0,81.2,CSRT,0,27,0,4.0,203.0,1488,1735,-12,-0.116,0.124,0.0,30.58,32.7,1,1
