Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 05:18:40.690,1.5374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.43,697.66,1,1
20,2026-03-12 05:18:42.285,3.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.92,1084.08,1,1
30,2026-03-12 05:18:43.877,4.7241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.93,1076.01,1,1
40,2026-03-12 05:18:45.473,6.3205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.3,769.03,1,1
50,2026-03-12 05:18:47.079,7.9267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.89,1120.57,1,1
60,2026-03-12 05:18:48.662,9.5088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.31,763.29,1,1
70,2026-03-12 05:18:50.257,11.1044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.91,1096.26,1,1
80,2026-03-12 05:18:51.865,12.7121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.34,747.65,1,1
90,2026-03-12 05:18:53.473,14.3207,321.5,233.5,83.0,83.0,0.1595,0.5,3.5,22.16,CSRT,0,4,0,1.5,-6.5,1500,1500,0,0.688,0.0,0.0,29.12,34.34,1,1
100,2026-03-12 05:18:55.069,15.9166,334.0,313.0,90.0,90.0,0.1601,-2.0,-19.0,119.37,CSRT,0,14,0,14.0,73.0,1498,1549,-2,0.417,-0.12,0.0,28.97,34.52,1,1
110,2026-03-12 05:18:56.665,17.5121,37.5,29.5,87.0,87.0,0.1599,5.0,6.0,48.85,CSRT,0,22,0,-282.5,-210.5,1584,1556,84,0.668,2.678,1.008,28.43,35.18,1,1
120,2026-03-12 05:18:58.246,19.0933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,22,0,0.0,0.0,1584,1556,0.0,0.0,0.0,0.0,7.3,136.97,1,1
130,2026-03-12 05:18:59.825,20.6725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1584,1556,0.0,0.0,0.0,0.0,0.72,1388.38,1,1
140,2026-03-12 05:19:01.417,22.2647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1584,1556,0.0,0.0,0.0,0.0,0.72,1398.1,1,1
150,2026-03-12 05:19:03.015,23.8618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1584,1556,0.0,0.0,0.0,0.0,1.17,857.56,1,1
160,2026-03-12 05:19:04.637,25.4843,420.0,175.0,80.0,80.0,0.1398,0.0,0.0,0.0,CSRT,0,2,1,100.0,-65.0,1554,1536,54,0.504,-0.106,0.648,28.22,35.43,1,1
170,2026-03-12 05:19:06.229,27.0759,373.5,295.5,71.0,71.0,0.1537,17.5,7.5,123.9,CSRT,0,12,1,53.5,55.5,1471,1537,-29,0.52,-0.427,0.0,27.76,36.02,1,1
180,2026-03-12 05:19:10.367,31.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,15,1,0.0,0.0,1431,1575,0.0,0.0,0.0,0.0,7.29,137.08,1,1
190,2026-03-12 05:19:11.942,32.7895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1431,1575,0.0,0.0,0.0,0.0,1.0,999.12,1,1
200,2026-03-12 05:19:13.538,34.3853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1431,1575,0.0,0.0,0.0,0.0,0.87,1152.28,1,1
210,2026-03-12 05:19:15.135,35.9825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1431,1575,0.0,0.0,0.0,0.0,1.17,857.38,1,1
220,2026-03-12 05:19:16.754,37.601,325.5,296.5,83.0,83.0,0.1528,7.0,21.0,144.9,CSRT,0,10,2,5.5,56.5,1461,1547,-39,0.544,0.019,0.0,28.4,35.21,1,1
230,2026-03-12 05:19:18.352,39.1996,445.0,208.0,78.0,78.0,0.1514,-8.0,8.0,74.73,CSRT,0,20,2,125.0,-32.0,1295,1513,-205,0.592,-3.046,-2.0,31.0,32.26,1,1
240,2026-03-12 05:19:19.946,40.7928,347.0,240.0,80.0,80.0,0.1604,12.0,-14.0,114.97,CSRT,0,30,2,27.0,0.0,1239,1510,-261,0.481,-2.163,-2.0,28.07,35.63,1,1
250,2026-03-12 05:19:21.538,42.385,417.5,222.5,83.0,83.0,0.1589,-21.5,3.5,137.06,CSRT,0,40,2,97.5,-17.5,1151,1450,-349,0.556,-2.873,-2.0,28.25,35.4,1,1
260,2026-03-12 05:19:23.135,43.9824,338.5,214.5,83.0,83.0,0.1621,5.5,-7.5,57.37,CSRT,0,50,2,18.5,-25.5,1101,1435,-399,0.54,-2.214,-2.0,29.58,33.8,1,1
270,2026-03-12 05:19:24.725,45.5724,325.0,208.0,80.0,80.0,0.1557,1.0,-7.0,45.4,CSRT,0,60,2,5.0,-32.0,1079,1414,-421,0.562,-2.06,-2.0,27.34,36.58,1,1
280,2026-03-12 05:19:26.321,47.168,338.0,228.0,80.0,80.0,0.1558,1.0,-8.0,51.75,CSRT,0,70,2,18.0,-12.0,1044,1391,-456,0.511,-2.214,-2.0,26.99,37.05,1,1
290,2026-03-12 05:19:27.918,48.7647,350.0,214.0,80.0,80.0,0.1606,1.0,-1.0,8.8,CSRT,0,80,2,30.0,-26.0,1001,1367,-499,0.559,-2.284,-2.0,27.67,36.14,1,1
300,2026-03-12 05:19:29.512,50.3597,160.0,284.0,82.0,82.0,0.1637,-56.0,-2.0,342.21,CSRT,0,90,2,-160.0,44.0,1023,1398,-477,0.37,-1.071,-2.0,30.44,32.86,1,1
310,2026-03-12 05:19:31.105,51.9522,459.0,258.0,82.0,82.0,0.1587,37.0,29.0,296.13,CSRT,0,100,2,139.0,18.0,1071,1365,-429,0.511,-2.839,-2.0,26.83,37.27,1,1
320,2026-03-12 05:19:32.682,53.5297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,104,2,0.0,0.0,1030,1381,0.0,0.0,0.0,0.0,8.27,120.89,1,1
330,2026-03-12 05:19:34.267,55.1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1030,1381,0.0,0.0,0.0,0.0,0.87,1154.82,1,1
340,2026-03-12 05:19:35.863,56.7105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1030,1381,0.0,0.0,0.0,0.0,0.96,1043.62,1,1
350,2026-03-12 05:19:37.455,58.3025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1030,1381,0.0,0.0,0.0,0.0,0.96,1041.8,1,1
360,2026-03-12 05:19:39.052,59.8996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1030,1381,0.0,0.0,0.0,0.0,1.96,511.19,1,1
370,2026-03-12 05:19:40.647,61.4946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1030,1381,0.0,0.0,0.0,0.0,0.89,1125.69,1,1
380,2026-03-12 05:19:42.250,63.0971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1030,1381,0.0,0.0,0.0,0.0,0.86,1165.73,1,1
390,2026-03-12 05:19:43.836,64.6828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1030,1381,0.0,0.0,0.0,0.0,0.95,1053.58,1,1
400,2026-03-12 05:19:45.432,66.2794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1030,1381,0.0,0.0,0.0,0.0,1.65,606.73,1,1
410,2026-03-12 05:19:47.024,67.8708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1030,1381,0.0,0.0,0.0,0.0,0.86,1156.41,1,1
420,2026-03-12 05:19:48.631,69.4787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1030,1381,0.0,0.0,0.0,0.0,1.4,716.0,1,1
430,2026-03-12 05:19:50.217,71.0643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1030,1381,0.0,0.0,0.0,0.0,1.42,704.81,1,1
440,2026-03-12 05:19:51.810,72.657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1030,1381,0.0,0.0,0.0,0.0,2.59,386.75,1,1
450,2026-03-12 05:19:53.404,74.2514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1030,1381,0.0,0.0,0.0,0.0,0.89,1127.5,1,1
460,2026-03-12 05:19:55.000,75.8471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1030,1381,0.0,0.0,0.0,0.0,0.86,1158.01,1,1
