Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 05:21:49.091,1.5738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.46,684.67,1,1
20,2026-03-12 05:21:50.845,3.3284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1.16,861.96,1,1
30,2026-03-12 05:21:52.447,4.9305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.75,1341.32,1,1
40,2026-03-12 05:21:54.033,6.5162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,0.83,1201.81,1,1
50,2026-03-12 05:21:55.682,8.1651,353.0,210.0,80.0,80.0,0.0,0.0,0.0,0.0,CSRT,0,1,0,33.0,-30.0,1495,1495,-5,0.41,-0.162,0.0,53.71,18.62,1,1
60,2026-03-12 05:21:57.252,9.7352,343.0,259.0,96.0,96.0,0.159,-3.0,8.0,53.74,CSRT,0,11,0,23.0,19.0,1449,1480,-51,0.558,-0.562,-0.612,30.98,32.28,1,1
70,2026-03-12 05:21:58.858,11.3407,429.5,241.5,99.0,99.0,0.1705,16.0,2.0,94.57,CSRT,0,21,0,109.5,1.5,1385,1498,-115,0.478,-1.986,-1.38,30.67,32.6,1,1
80,2026-03-12 05:22:00.452,12.9346,224.5,222.5,87.0,87.0,0.1704,3.0,2.0,21.16,CSRT,0,31,0,-95.5,-17.5,1369,1524,-131,0.524,-1.029,-1.572,28.69,34.86,1,1
90,2026-03-12 05:22:02.044,14.5275,291.0,294.0,88.0,88.0,0.1601,-14.0,3.0,89.42,CSRT,0,41,0,-29.0,54.0,1392,1534,-108,0.372,-1.195,-1.296,29.44,33.97,1,1
100,2026-03-12 05:22:03.634,16.1167,302.0,392.0,96.0,96.0,0.16,-14.0,-23.0,168.24,CSRT,0,51,0,-18.0,152.0,1505,1718,5,0.086,0.217,0.0,33.01,30.29,1,1
110,2026-03-12 05:22:05.204,17.6871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,54,0,0.0,0.0,1503,1796,0.0,0.0,0.0,0.0,7.32,136.62,1,1
120,2026-03-12 05:22:06.550,19.0327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1503,1796,0.0,0.0,0.0,0.0,0.75,1334.92,1,1
130,2026-03-12 05:22:07.758,20.2415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1503,1796,0.0,0.0,0.0,0.0,1.21,825.98,1,1
140,2026-03-12 05:22:08.981,21.4638,320.0,69.0,80.0,80.0,0.1303,2.0,3.0,27.67,CSRT,0,3,1,0.0,-171.0,1503,1717,3,0.875,0.0,0.0,29.45,33.95,1,1
150,2026-03-12 05:22:10.252,22.7351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,10,1,0.0,0.0,1513,1711,0.0,0.0,0.0,0.0,7.15,139.84,1,1
160,2026-03-12 05:22:11.706,24.1891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1513,1711,0.0,0.0,0.0,0.0,0.94,1062.12,1,1
170,2026-03-12 05:22:13.312,25.7952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1513,1711,0.0,0.0,0.0,0.0,0.78,1278.75,1,1
180,2026-03-12 05:22:14.894,27.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1513,1711,0.0,0.0,0.0,0.0,0.79,1273.7,1,1
190,2026-03-12 05:22:16.492,28.9747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1513,1711,0.0,0.0,0.0,0.0,0.89,1129.63,1,1
