Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 02:01:24.820,6.3717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,635.53,1.57,0,1
20,2026-03-12 02:01:30.802,12.3544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,539.62,1.85,0,1
30,2026-03-12 02:01:37.937,19.4896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1014.52,0.99,0,1
40,2026-03-12 02:01:43.044,24.5958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,482.91,2.07,0,1
50,2026-03-12 02:01:47.963,29.5147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,486.94,2.05,0,0
60,2026-03-12 02:01:53.420,34.9717,263.05,281.51,54.03,54.03,0.5282,0.09,0.02,0.17,YOLO+SORT,0,2,0,-56.95,41.51,1518,1512,18,0.401,0.387,0.0,516.24,1.94,0,1
70,2026-03-12 02:01:58.339,39.8909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,2,0,0.0,0.0,1518,1512,0.0,0.0,0.0,0.0,475.7,2.1,0,0
80,2026-03-12 02:02:03.590,45.1427,294.88,271.94,50.37,50.37,0.5093,0.04,0.05,0.13,YOLO+SORT,0,2,1,-25.12,31.94,1526,1522,26,0.429,0.196,0.0,497.77,2.01,0,1
90,2026-03-12 02:02:08.451,50.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,3,1,0.0,0.0,1530,1528,0.0,0.0,0.0,0.0,467.25,2.14,0,0
100,2026-03-12 02:02:13.330,54.8817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1530,1528,0.0,0.0,0.0,0.0,471.86,2.12,0,0
110,2026-03-12 02:02:19.263,60.8151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1530,1528,0.0,0.0,0.0,0.0,628.83,1.59,0,1
120,2026-03-12 02:02:24.935,66.4868,305.4,245.2,112.78,112.78,0.5585,2.24,7.13,13.38,YOLO+SORT,0,6,2,-14.6,5.2,1543,1515,43,0.696,0.184,0.0,518.84,1.93,0,1
130,2026-03-12 02:02:30.280,71.8322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,12,2,0.0,0.0,1529,1512,0.0,0.0,0.0,0.0,501.6,1.99,0,1
140,2026-03-12 02:02:36.179,77.7312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1529,1512,0.0,0.0,0.0,0.0,517.04,1.93,0,1
150,2026-03-12 02:02:41.808,83.3602,347.71,185.64,120.1,120.1,0.5152,2.05,5.22,10.88,YOLO+SORT,0,2,3,27.71,-54.36,1521,1495,21,0.693,-0.207,0.0,493.22,2.03,0,1
160,2026-03-12 02:02:46.838,88.3906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,7,3,0.0,0.0,1491,1481,0.0,0.0,0.0,0.0,493.47,2.03,0,1
170,2026-03-12 02:02:52.199,93.7512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1491,1481,0.0,0.0,0.0,0.0,699.08,1.43,0,0
180,2026-03-12 02:02:57.846,99.3979,340.32,247.97,101.31,101.31,0.5194,-11.07,-7.49,25.73,YOLO+SORT,0,4,4,20.32,7.97,1472,1489,-28,0.611,-0.253,0.0,505.28,1.98,0,1
190,2026-03-12 02:03:03.708,105.2605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,6,4,0.0,0.0,1459,1489,0.0,0.0,0.0,0.0,545.05,1.83,0,1
200,2026-03-12 02:03:09.748,111.2998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,5,0.0,0.0,1459,1489,0.0,0.0,0.0,0.0,619.13,1.62,0,1
210,2026-03-12 02:03:15.013,116.5656,342.91,211.83,75.83,75.83,2.1093,-26.91,-33.81,20.49,YOLO+SORT,0,6,5,22.91,-28.17,1398,1490,-102,0.509,-1.533,-1.224,496.69,2.01,0,1
220,2026-03-12 02:03:20.440,121.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,6,5,0.0,0.0,1398,1490,0.0,0.0,0.0,0.0,538.41,1.86,0,1
230,2026-03-12 02:03:26.494,128.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,6,0.0,0.0,1398,1490,0.0,0.0,0.0,0.0,673.11,1.49,0,0
