Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 01:50:16.088,6.3482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,842.12,1.19,0,1
20,2026-03-12 01:50:23.260,13.5204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,899.18,1.11,0,1
30,2026-03-12 01:50:28.888,19.1481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,497.59,2.01,0,1
40,2026-03-12 01:50:35.619,25.8796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,497.6,2.01,0,1
50,2026-03-12 01:50:40.896,31.1563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,695.27,1.44,0,1
60,2026-03-12 01:50:46.680,36.9401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,485.55,2.06,0,1
70,2026-03-12 01:50:51.833,42.0936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,487.02,2.05,0,1
80,2026-03-12 01:50:56.682,46.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,3,0,0.0,0.0,1506,1529,0.0,0.0,0.0,0.0,473.26,2.11,0,0
90,2026-03-12 01:51:01.536,51.7961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1506,1529,0.0,0.0,0.0,0.0,492.76,2.03,0,1
100,2026-03-12 01:51:06.704,56.9644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,2,1,0.0,0.0,1526,1549,0.0,0.0,0.0,0.0,455.29,2.2,0,0
110,2026-03-12 01:51:11.566,61.8267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1526,1549,0.0,0.0,0.0,0.0,480.13,2.08,0,0
120,2026-03-12 01:51:16.873,67.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,3,2,0.0,0.0,1520,1581,0.0,0.0,0.0,0.0,478.95,2.09,0,0
130,2026-03-12 01:51:21.744,72.0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1520,1581,0.0,0.0,0.0,0.0,457.55,2.19,0,0
140,2026-03-12 01:51:27.000,77.261,376.07,259.96,73.03,73.03,0.4996,-0.08,-0.05,0.19,YOLO+SORT,0,2,3,56.07,19.96,1502,1587,2,0.465,-0.382,0.0,485.61,2.06,0,1
150,2026-03-12 01:51:31.920,82.1809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,3,3,0.0,0.0,1495,1594,0.0,0.0,0.0,0.0,472.24,2.12,0,0
160,2026-03-12 01:51:36.912,87.1722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1495,1594,0.0,0.0,0.0,0.0,550.93,1.82,0,1
170,2026-03-12 01:51:42.350,92.6108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,3,4,0.0,0.0,1475,1612,0.0,0.0,0.0,0.0,490.33,2.04,0,0
180,2026-03-12 01:51:47.248,97.5088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,5,0.0,0.0,1475,1612,0.0,0.0,0.0,0.0,489.74,2.04,0,0
190,2026-03-12 01:51:52.716,102.9769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,2,5,0.0,0.0,1495,1612,0.0,0.0,0.0,0.0,477.6,2.09,0,0
200,2026-03-12 01:51:57.628,107.8886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,6,0.0,0.0,1495,1612,0.0,0.0,0.0,0.0,481.51,2.08,0,0
210,2026-03-12 01:52:02.510,112.7704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,6,0.0,0.0,1495,1612,0.0,0.0,0.0,0.0,491.92,2.03,0,0
