Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 02:11:42.067,8.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,467.37,2.14,0,0
20,2026-03-12 02:11:47.635,14.0486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,572.27,1.75,0,0
30,2026-03-12 02:11:53.517,19.9299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,433.39,2.31,0,0
40,2026-03-12 02:11:58.885,25.298,151.35,223.72,31.87,31.87,0.5032,-0.04,-0.03,0.1,YOLO+SORT,0,2,0,-168.65,-16.28,1550,1494,50,0.574,1.057,0.0,492.18,2.03,0,1
50,2026-03-12 02:12:03.737,30.1506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,2,0,0.0,0.0,1550,1494,0.0,0.0,0.0,0.0,469.1,2.13,0,0
60,2026-03-12 02:12:08.532,34.9453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1550,1494,0.0,0.0,0.0,0.0,464.86,2.15,0,1
70,2026-03-12 02:12:13.681,40.0939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,3,1,0.0,0.0,1535,1531,0.0,0.0,0.0,0.0,476.75,2.1,0,0
80,2026-03-12 02:12:18.458,44.8713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1535,1531,0.0,0.0,0.0,0.0,467.26,2.14,0,0
90,2026-03-12 02:12:23.628,50.041,319.43,240.82,43.89,43.89,11.8859,-33.45,-86.46,7.8,YOLO+SORT,0,1,2,-0.57,0.82,1535,1531,35,0.348,0.0,0.0,536.11,1.87,0,1
100,2026-03-12 02:12:28.497,54.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,3,2,0.0,0.0,1535,1531,0.0,0.0,0.0,0.0,476.94,2.1,0,0
110,2026-03-12 02:12:33.245,59.6582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1535,1531,0.0,0.0,0.0,0.0,467.45,2.14,0,0
120,2026-03-12 02:12:38.337,64.7506,240.95,262.35,53.9,53.9,13.6985,-73.21,16.38,5.48,YOLO+SORT,0,1,3,-79.05,22.35,1547,1534,47,0.305,0.346,0.0,502.27,1.99,0,1
130,2026-03-12 02:12:43.189,69.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,3,3,0.0,0.0,1569,1542,0.0,0.0,0.0,0.0,476.08,2.1,0,0
140,2026-03-12 02:12:47.911,74.3243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1569,1542,0.0,0.0,0.0,0.0,468.96,2.13,0,0
150,2026-03-12 02:12:53.087,79.4999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,3,4,0.0,0.0,1525,1542,0.0,0.0,0.0,0.0,464.7,2.15,0,0
160,2026-03-12 02:12:57.871,84.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,5,0.0,0.0,1525,1542,0.0,0.0,0.0,0.0,468.92,2.13,0,0
170,2026-03-12 02:13:02.639,89.0526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,5,0.0,0.0,1525,1542,0.0,0.0,0.0,0.0,471.15,2.12,0,0
180,2026-03-12 02:13:07.713,94.1266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,3,5,0.0,0.0,1512,1546,0.0,0.0,0.0,0.0,462.56,2.16,0,0
190,2026-03-12 02:13:12.549,98.9627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,6,0.0,0.0,1512,1546,0.0,0.0,0.0,0.0,467.64,2.14,0,0
200,2026-03-12 02:13:17.286,103.6994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,6,0.0,0.0,1512,1546,0.0,0.0,0.0,0.0,465.44,2.15,0,1
210,2026-03-12 02:13:22.528,108.9414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,2,6,0.0,0.0,1464,1534,0.0,0.0,0.0,0.0,458.2,2.18,0,0
220,2026-03-12 02:13:27.249,113.6625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,7,0.0,0.0,1464,1534,0.0,0.0,0.0,0.0,467.88,2.14,0,0
230,2026-03-12 02:13:32.412,118.8255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,7,0.0,0.0,1464,1534,0.0,0.0,0.0,0.0,473.23,2.11,0,1
