Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 02:05:37.300,6.9065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,712.35,1.4,0,0
20,2026-03-12 02:05:43.546,13.1526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,473.5,2.11,0,0
30,2026-03-12 02:05:49.140,18.7473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,511.47,1.96,0,0
40,2026-03-12 02:05:55.481,25.0876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,675.83,1.48,0,0
50,2026-03-12 02:06:01.521,31.1276,297.76,221.81,85.59,85.59,0.0,0.0,0.0,0.0,YOLO+SORT,0,1,0,-22.24,-18.19,1503,1497,3,0.0,0.0,0.0,554.72,1.8,0,1
60,2026-03-12 02:06:06.734,36.3413,288.33,216.17,87.31,87.31,0.4998,1.49,2.2,5.33,YOLO+SORT,0,11,0,-31.67,-23.83,1557,1462,57,0.0,0.0,0.0,491.92,2.03,0,1
70,2026-03-12 02:06:11.863,41.4698,324.66,223.34,88.61,88.61,0.497,0.49,-0.53,1.46,YOLO+SORT,0,21,0,4.66,-16.66,1567,1438,67,0.0,0.0,0.0,490.94,2.04,0,1
80,2026-03-12 02:06:17.732,47.3394,325.62,244.57,90.31,90.31,0.6429,1.65,0.33,2.62,YOLO+SORT,0,31,0,5.62,4.57,1567,1436,67,0.0,0.0,0.0,629.58,1.59,0,1
90,2026-03-12 02:06:24.602,54.2087,335.81,254.34,90.64,90.64,0.6478,-0.72,-7.85,12.17,YOLO+SORT,0,41,0,15.81,14.34,1563,1466,63,0.411,0.557,0.756,629.05,1.59,0,1
100,2026-03-12 02:06:29.832,59.4385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,45,0,0.0,0.0,1558,1476,0.0,0.0,0.0,0.0,522.2,1.91,0,1
110,2026-03-12 02:06:35.236,64.8427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1558,1476,0.0,0.0,0.0,0.0,585.68,1.71,0,1
120,2026-03-12 02:06:41.428,71.0353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1558,1476,0.0,0.0,0.0,0.0,529.82,1.89,0,1
130,2026-03-12 02:06:47.044,76.6506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,2,1,0.0,0.0,1578,1487,0.0,0.0,0.0,0.0,539.2,1.85,0,1
140,2026-03-12 02:06:52.786,82.3934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1578,1487,0.0,0.0,0.0,0.0,650.77,1.54,0,0
150,2026-03-12 02:06:58.890,88.497,314.87,234.15,58.38,58.38,13.3553,68.76,-40.84,5.99,YOLO+SORT,0,1,2,-5.13,-5.85,1578,1487,78,0.253,0.519,0.936,493.73,2.03,0,1
160,2026-03-12 02:07:04.171,93.7779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,7,2,0.0,0.0,1615,1496,0.0,0.0,0.0,0.0,524.51,1.91,0,1
170,2026-03-12 02:07:09.518,99.1253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1615,1496,0.0,0.0,0.0,0.0,653.3,1.53,0,0
180,2026-03-12 02:07:16.364,105.9711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1615,1496,0.0,0.0,0.0,0.0,873.54,1.14,0,0
