Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 01:43:29.610,6.8563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,448.04,2.23,0,0
20,2026-03-12 01:43:35.371,12.6173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,770.5,1.3,0,0
30,2026-03-12 01:43:41.523,18.7694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,645.93,1.55,0,0
40,2026-03-12 01:43:46.808,24.0542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,480.18,2.08,0,1
50,2026-03-12 01:43:52.428,29.6746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,761.6,1.31,0,1
60,2026-03-12 01:43:58.649,35.8959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,537.99,1.86,0,1
70,2026-03-12 01:44:03.924,41.1708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,492.51,2.03,0,1
80,2026-03-12 01:44:08.891,46.1382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,474.68,2.11,0,1
90,2026-03-12 01:44:13.860,51.1067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,468.39,2.13,0,1
100,2026-03-12 01:44:18.880,56.1262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,491.4,2.03,0,1
110,2026-03-12 01:44:23.875,61.1222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,491.77,2.03,0,1
120,2026-03-12 01:44:28.896,66.1423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,497.17,2.01,0,1
130,2026-03-12 01:44:33.943,71.1902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,490.12,2.04,0,1
140,2026-03-12 01:44:38.904,76.1502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,475.91,2.1,0,1
150,2026-03-12 01:44:44.385,81.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,489.73,2.04,0,1
160,2026-03-12 01:44:49.315,86.5616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,472.19,2.12,0,0
170,2026-03-12 01:44:55.000,92.2468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,471.32,2.12,0,0
180,2026-03-12 01:45:00.127,97.3732,337.07,248.02,36.72,36.72,0.0,0.0,0.0,0.0,YOLO+SORT,0,1,0,17.07,8.02,1497,1500,-3,0.0,0.0,0.0,486.47,2.06,0,1
190,2026-03-12 01:45:05.443,102.6896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,1,0,0.0,0.0,1497,1500,0.0,0.0,0.0,0.0,484.25,2.07,0,0
200,2026-03-12 01:45:10.779,108.0257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,1,0,0.0,0.0,1497,1500,0.0,0.0,0.0,0.0,564.01,1.77,0,0
210,2026-03-12 01:45:15.733,112.9792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,1,0,0.0,0.0,1497,1500,0.0,0.0,0.0,0.0,465.67,2.15,0,0
220,2026-03-12 01:45:20.772,118.0182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,1,0,0.0,0.0,1497,1500,0.0,0.0,0.0,0.0,494.64,2.02,0,1
