Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 01:24:42.155,8.0701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,628.94,1.59,0,0
20,2026-03-12 01:24:48.026,13.9406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,434.36,2.3,0,0
30,2026-03-12 01:24:53.013,18.9273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,439.47,2.28,0,0
40,2026-03-12 01:24:58.881,24.7956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,542.82,1.84,0,0
50,2026-03-12 01:25:03.737,29.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,469.55,2.13,0,0
60,2026-03-12 01:25:08.720,34.6343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,521.67,1.92,0,1
70,2026-03-12 01:25:14.768,40.6829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,3,0,0.0,0.0,1562,1500,0.0,0.0,0.0,0.0,653.77,1.53,0,1
80,2026-03-12 01:25:19.885,45.7995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1562,1500,0.0,0.0,0.0,0.0,645.2,1.55,0,1
90,2026-03-12 01:25:25.940,51.8552,340.25,232.98,30.97,30.97,0.5143,-5.65,-0.08,10.99,YOLO+SORT,0,6,1,20.25,-7.02,1535,1500,35,0.0,0.0,0.0,499.18,2.0,0,1
100,2026-03-12 01:25:31.481,57.3961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,12,1,0.0,0.0,1532,1500,0.0,0.0,0.0,0.0,490.76,2.04,0,0
