Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Candidates_Count
10,2026-03-12 01:56:24.667,5.9256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,681.66,1.47,0,0
20,2026-03-12 01:56:31.531,12.7892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,745.59,1.34,0,0
30,2026-03-12 01:56:37.592,18.8499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,553.08,1.81,0,0
40,2026-03-12 01:56:44.818,26.0761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,788.92,1.27,0,0
50,2026-03-12 01:56:49.772,31.0299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,483.83,2.07,0,1
60,2026-03-12 01:56:55.399,36.6578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,3,0,0.0,0.0,1491,1504,0.0,0.0,0.0,0.0,503.75,1.99,0,0
70,2026-03-12 01:57:00.355,41.6138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1491,1504,0.0,0.0,0.0,0.0,482.49,2.07,0,0
80,2026-03-12 01:57:05.340,46.5979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1491,1504,0.0,0.0,0.0,0.0,501.86,1.99,0,1
90,2026-03-12 01:57:10.780,52.0379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,3,1,0.0,0.0,1491,1527,0.0,0.0,0.0,0.0,480.76,2.08,0,0
100,2026-03-12 01:57:15.716,56.9742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1491,1527,0.0,0.0,0.0,0.0,481.09,2.08,0,0
110,2026-03-12 01:57:21.036,62.2939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,2,0.0,0.0,1491,1527,0.0,0.0,0.0,0.0,670.01,1.49,0,1
120,2026-03-12 01:57:26.028,67.2861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,2,2,0.0,0.0,1539,1533,0.0,0.0,0.0,0.0,469.77,2.13,0,0
130,2026-03-12 01:57:30.981,72.2394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1539,1533,0.0,0.0,0.0,0.0,590.75,1.69,0,0
140,2026-03-12 01:57:36.273,77.5311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1539,1533,0.0,0.0,0.0,0.0,561.14,1.78,0,0
150,2026-03-12 01:57:41.728,82.9861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1539,1533,0.0,0.0,0.0,0.0,552.41,1.81,0,0
160,2026-03-12 01:57:47.166,88.4249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,3,0.0,0.0,1539,1533,0.0,0.0,0.0,0.0,505.09,1.98,0,0
170,2026-03-12 01:57:52.488,93.7465,339.85,235.57,43.23,43.23,0.5349,-0.02,-0.03,0.07,YOLO+SORT,0,2,3,19.85,-4.43,1533,1533,33,0.538,-0.164,0.0,518.29,1.93,0,1
180,2026-03-12 01:57:57.543,98.8016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,3,3,0.0,0.0,1533,1533,0.0,0.0,0.0,0.0,489.7,2.04,0,0
190,2026-03-12 01:58:02.632,103.8901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,4,0.0,0.0,1533,1533,0.0,0.0,0.0,0.0,486.41,2.06,0,1
